n03911767 penlight
n03629231 kurta
n02132788 kodiak
n02825961 bell_gable
n02710600 aneroid_barometer
n12023726 tansy
n03413684 gambrel_roof
n01855476 hooded_merganser
n02747802 ashtray
n09618880 ex_president
n05482922 subarachnoid_space
n01808291 rock_partridge
n07897116 retsina
n04955160 gloss
n02212958 paper_wasp
n02730568 appointment
n04261116 sorter
n03500090 hawse
n03707372 magnetic_needle
n12006930 mexican_hat
n09384106 pallasite
n03945928 pipe_cleaner
n02988679 cd_rom
n04036776 rebate
n12691428 elephant_tree
n03512030 helicon
n04172776 sentry_box
n01579260 corvus_corax
n03676087 lip_gloss
n04450749 tongs
n03386726 foulard
n02445394 sea_otter
n15092059 nicotinic_acid
n11756870 black_wattle
n07731767 belgian_endive
n01611800 gyrfalcon
n01646802 american_toad
n12344283 evening_primrose
n03443149 goalpost
n04603399 workstation
n04168541 seine
n12402596 ficus_religiosa
n03646809 latrine
n01743086 anaconda
n04431745 pushpin
n03168774 deckle
n02147328 serotine
n03190458 dibble
n01888411 doe
n00466880 croquet
n02380745 broncho
n12464476 hellebore
n03271260 electric_clock
n04213264 sickbed
n02191273 glossina
n03276179 electromagnet
n04545984 walk_in
n03072201 color_tv
n03238131 dressing_room
n03625943 knitwear
n02960903 decanter
n01612476 hobby
n04506506 ultracentrifuge
n07879072 succotash
n00453313 deer_hunting
n02530999 allis
n04955160 polish
n12827537 moonflower
n03237992 dressing_gown
n09231117 caldera
n04434531 tie_rod
n07868830 galantine
n02055107 tropicbird
n02956699 capitol
n04049585 rain_gauge
n12086012 vanda
n07898745 table_wine
n02771547 backstop
n02898585 wedding_gown
n07709881 tofu
n04412416 teepee
n03017835 inglenook
n02340640 rice_rat
n02048115 horned_puffin
n02786331 bandbox
n01643896 crapaud
n04470741 skin_patch
n10469874 press_photographer
n02710201 humanoid
n12402348 banian
n03204134 dipole_antenna
n07887099 draft_beer
n09224725 bluff
n02327656 arctic_hare
n04320973 stirrup
n02207805 worker_bee
n12531727 gliricidia
n03006626 chanter
n01611472 peregrine
n03854506 oled
n01796019 blackcock
n11690088 peach_pit
n07842753 omelet
n04518343 vacuum_gauge
n01461315 spawn
n02536165 red_salmon
n03300443 ethernet_cable
n03431570 gearbox
n04255899 soddy
n04401680 phone_booth
n07904934 ouzo
n04299963 stamp
n09877951 pal
n03229526 downstage
n08596076 sands
n12312728 kangaroo_paw
n04128710 sailcloth
n09927089 cleaner
n04524941 velours
n01490360 dusky_shark
n02445171 lutra_lutra
n03653110 imitation_leather
n12882945 digitalis_purpurea
n10405694 patient
n04075813 repp
n02885882 box_office
n02581482 mackerel_scad
n03049924 flat_cap
n07925116 pineapple_juice
n02414442 rambouillet
n02564720 black_bass
n03332271 violin_bow
n04002629 primary_coil
n03885904 pantyhose
n12735160 sandalwood_tree
n07859142 saccharin
n01848648 wigeon
n03334492 fife
n02152740 predator
n12353431 abaca
n12753007 silver_maple
n01847806 anas_platyrhynchos
n02532451 pacific_herring
n04526800 ventilation_shaft
n11668117 monocot
n02208498 killer_bee
n12403994 paper_mulberry
n11614420 ponderosa
n02256172 psylla
n03256166 dump_truck
n01449980 mollie
n04533499 victrola
n02437482 bactrian_camel
n12737383 family_loranthaceae
n06281040 reception
n02910864 buckskins
n07916041 martini
n04316498 stereoscope
n02846511 chalkboard
n04083649 retort
n03229244 dowel
n04063868 recording
n11656123 huon_pine
n03688504 long_tom
n11793403 malanga
n03350204 fish_bowl
n04370774 sweats
n02853218 blockade
n02058747 gooney
n04300509 stamper
n02761034 automatic_transmission
n01442972 minnow
n12048399 caladenia
n12045860 arethusa
n02977330 cashmere
n03981760 pontoon_bridge
n07587618 corn_chowder
n07926540 malted_milk
n04402449 telegraph_pole
n03567066 brooder
n02499022 slow_loris
n13190060 bracken
n03994008 powder
n03983499 popgun
n13084834 cultivar
n09223487 bladder_stone
n07567139 colouring
n04524594 velcro
n07886057 homebrew
n03367410 florist
n02429456 pronghorn
n13064457 blister_rust
n03090172 confessional
n07562379 diabetic_diet
n02998003 cereal_box
n04538552 vise
n03030353 cigar_box
n02776205 bait
n02089232 dachshund
n02666943 abattoir
n04261281 souk
n12973443 mucor
n04040247 radial_tire
n11765568 honey_mesquite
n03029197 church_tower
n03199775 dinette
n02879087 posy
n10655594 steward
n03632852 ladder_truck
n01557962 mistle_thrush
n03027001 chronometer
n02799323 baseball_cap
n13067330 ustilago_maydis
n02469248 scapular
n12612170 water_plantain
n03133415 crock
n03321954 fan_vaulting
n04586072 shelterbelt
n03247083 dropper
n02415829 mouflon
n03835197 nude
n02166229 bean_beetle
n04344734 studio
n04592465 winery
n02003037 adjutant
n13092078 ascus
n11943407 calendula
n03952576 pizzeria
n03610524 kennel
n12723062 creosote_bush
n13081999 dry_rot
n13897528 hypotenuse
n13181811 walking_fern
n07651025 puree
n03818343 neon_tube
n04247011 smoke_screen
n04401828 telephone_cord
n07720277 chard
n02682311 adze
n07738224 clingstone
n07834872 russian_dressing
n01655344 caecilian
n03796522 mud_brick
n11723227 monkshood
n02761696 car_factory
n04129766 sailor_suit
n07614103 apple_dumpling
n02850732 blender
n01697178 crocodile
n04357930 supercharger
n07741461 pippin
n02125494 ocelot
n04288533 spring_balance
n11793779 arum_lily
n03390673 frail
n07907831 sour_mash
n12979829 white_fungus
n12726528 arctic_willow
n02344528 lemming
n07852376 gorgonzola
n02405302 yak
n03066849 colander
n02425086 mountain_nyala
n02736798 argyle
n07890750 mead
n03356446 flambeau
n03849814 opera
n02336826 vesper_mouse
n02874442 bootjack
n12566954 kudzu
n03797896 mulch
n07838441 marinara
n03010795 chasuble
n02008041 heron
n13137225 syconium
n03469832 gunnery
n01777304 deer_tick
n04255899 sod_house
n04127117 safety_net
n02759387 autogyro
n12304286 swamp_ash
n07934282 iced_tea
n10151760 guitar_player
n03724538 five_iron
n02884859 box_girder
n04592465 wine_maker
n07611046 compote
n02867966 bomber_jacket
n04217546 signal_box
n03015478 chest_protector
n03159535 dairy_farm
n01958531 geoduck
n12927758 tung
n07840520 worcestershire
n10562135 scorer
n03268918 electrical_cable
n12126084 oryza_sativa
n12754648 acer_campestre
n03253279 duckpin
n07624466 turnover
n12945177 water_parsnip
n01857325 brent
n00466524 stroke_play
n03725506 masonite
n01958346 littleneck
n04310507 steam_shovel
n12932173 archangel
n07804543 brown_rice
n04475411 trapeze
n04562262 water_ski
n03109033 corker
n03251533 drydock
n03929091 piccolo
n03879456 pallet
n07902937 arak
n04112252 rotary_wing
n12345899 mangrove
n00141669 check_in
n02278980 purple_emperor
n02505998 mastodon
n04119478 game_room
n04045397 raft
n02700895 amati
n02009380 snowy_egret
n03435593 geodesic_dome
n03772077 minster
n02752810 atlas
n04325208 stockyard
n13065089 puccinia_graminis
n02281015 small_white
n01481498 rabbitfish
n03474779 hacksaw
n04142175 scaler
n04969952 royal_blue
n12914923 verbena
n12761905 pistacia_terebinthus
n00434075 tumbling
n02826886 bell_tower
n04591517 wind_turbine
n04102872 roll_film
n12001707 cineraria
n01322898 lion_cub
n03303217 exhaust_fan
n01589286 creeper
n04174705 serration
n03836906 nylon
n03361550 flats
n12119238 wild_rye
n07803779 cracked_wheat
n02416104 barbary_sheep
n15092650 biotin
n02710201 android
n03152303 customhouse
n04016240 lopper
n01583495 currawong
n03215076 diwan
n04219580 silks
n07693048 cinnamon_roll
n04207343 shoulder_bag
n03415252 brolly
n00440382 long_jump
n13001206 toadstool
n11552133 cryptogam
n07607492 life_saver
n02393161 diceros_bicornis
n07569644 graham_flour
n03620967 kitchen_table
n03465818 guidance_system
n03013850 chenille
n03401129 fuel_gauge
n07805594 bird_food
n02629716 swordfish
n02826068 bell_jar
n04969242 azure
n03390786 fraise
n04419868 thermal_printer
n03374649 flywheel
n03684143 lock_gate
n10536416 rock_star
n07853232 cheshire_cheese
n07928696 coke
n12321873 shagbark
n03206282 discotheque
n10806113 zoo_keeper
n07921239 turkish_coffee
n03941684 pincer
n02932693 second_class
n04358117 supercomputer
n04953296 glint
n03288742 cor_anglais
n03546235 housetop
n02201000 aedes_albopictus
n03878294 palanquin
n03496486 harris_tweed
n12407222 dutch_elm
n01839330 downy_woodpecker
n07905474 schnapps
n01381044 streptococcus
n07568241 farina
n11624192 atlas_cedar
n03004409 chambray
n10707233 healer
n03557590 ice_machine
n12079523 pleurothallis
n07904072 kirsch
n03647423 launch
n04585980 winchester
n03882611 paneling
n04130907 salade
n04470741 transdermal_patch
n02961035 caravanserai
n00474769 hardball
n03085781 computer_store
n03314608 faceplate
n07806774 green_salad
n04514241 uplift
n04391445 tappa
n03842986 ohmmeter
n02488415 hanuman
n07902121 ethyl_alcohol
n03583419 ion_engine
n03256788 dune_buggy
n03241335 bubbler
n03904657 pediment
n01783017 myriapod
n03431570 gear_box
n04363082 surface_ship
n02990758 celesta
n03109253 corncrib
n01405616 ascophyllum_nodosum
n02986160 cattle_guard
n04487894 troopship
n03560860 ignition_coil
n03973402 pocket_flap
n09451237 supernova
n01693783 chameleon
n12322099 mockernut
n02072040 river_dolphin
n03605417 jump_seat
n11682659 gemma
n03062122 cocktail_lounge
n03332591 field_coil
n01552034 bellbird
n03072201 colour_tv
n11689815 cottonseed
n03678729 little_theatre
n02888569 bracket
n02696165 alehouse
n02714751 answering_machine
n03075946 command_module
n02734835 architrave
n01469103 sea_squirt
n12766869 toxicodendron_radicans
n13078021 verticillium
n01947139 neritina
n12651229 firethorn
n01606978 chicken_hawk
n03790953 motorized_wheelchair
n07569873 soy_flour
n07740597 empire
n03373611 flying_boat
n01504344 nestling
n03296217 escape_wheel
n12510343 palas
n12882779 foxglove
n02125081 felis_silvestris
n02196896 apple_maggot
n08596076 litoral
n13898207 conformation
n08659242 coal_seam
n03396074 fret
n04064213 recording_system
n12927758 tung_tree
n03992436 potsherd
n02843909 biretta
n01790812 cochin
n02127482 bobcat
n03397087 frieze
n07599649 bonbon
n04568841 webbing
n01419888 giardia
n03426134 petrol_tank
n02831335 berlin
n12610328 eichhornia_crassipes
n01548301 kingbird
n03105645 corbel_arch
n02202124 culex_quinquefasciatus
n04351550 suite
n02822064 bedsit
n03637480 lanai
n03861048 output_device
n07932454 spruce_beer
n13098962 phloem
n04422875 thermostat
n12413880 iris_germanica
n07607361 liquorice
n04396335 taximeter
n02366959 coypu
n11627908 mountain_hemlock
n01649170 spadefoot
n03123553 coverlet
n03364156 flipper
n04021503 pulse_generator
n03330947 fetter
n02418465 mountain_goat
n11691046 corolla
n07915491 mint_julep
n01879217 pademelon
n04173907 serape
n02839592 billiard_room
n04165409 sectional
n02981024 catacomb
n02109150 guide_dog
n07621264 nonpareil
n12681893 weigela
n09199101 anthill
n02769290 backhoe
n03063485 coffee_mill
n13030337 elf_cup
n09191635 air_bubble
n07899976 generic
n00444846 scuba_diving
n02775178 baggage_claim
n09906704 champion
n03525693 holding_cell
n12764008 sugar_bush
n03236217 dredge
n10735984 ump
n03236093 dreadnought
n01891633 shrew
n03900194 patrol_boat
n00442981 dive
n04384910 rear_lamp
n02937010 cagoule
n07714802 red_cabbage
n01504344 baby_bird
n03520493 hijab
n11623967 cedrus_deodara
n08583455 heronry
n12646397 islay
n03655720 leisure_wear
n03040376 white_room
n02878534 boudoir
n02793089 baritone_horn
n07607967 cough_drop
n04134008 sandbag
n12782915 dionaea_muscipula
n13915113 tetrahedron
n04038338 single_shell
n02519340 pout
n02987950 c_battery
n07594066 cake_mix
n02413050 black_sheep
n04257223 soft_pedal
n09398076 pothole
n13079073 monilia
n01381044 streptococci
n04040247 radial
n12412355 bearded_iris
n01453087 john_dory
n04395106 plaid
n03529629 homestead
n04419073 theodolite
n01618503 secretary_bird
n02271897 thrips
n03718458 manor_house
n03343234 fipple
n03493792 hardware
n03533014 chicha
n04368496 morning_coat
n04414101 terra_cotta
n02857477 boarding_house
n03016209 chicane
n12281974 betula_papyrifera
n04141712 scaffolding
n04271531 specialty_store
n01690466 glass_lizard
n04070415 refractometer
n12480895 sansevieria
n02814116 bb_gun
n04382695 tachograph
n09877951 sidekick
n01334217 variola_major
n03577312 integrator
n02475078 neanderthal_man
n04131208 beauty_parlour
n02685253 aileron
n01681940 horned_lizard
n09450163 sun
n01469723 salpa
n11774513 frangipani
n12285512 red_alder
n07736692 spinach
n07925500 tomato_juice
n04301760 stick_shift
n07609728 turkish_delight
n04293744 squinch
n13163553 deadwood
n12351091 achira
n02210427 andrena
n03034405 circuitry
n02412210 wether
n04476116 dragger
n12277800 quercus_rubra
n03063199 coffee_filter
n02202006 culex_pipiens
n12086778 vanilla_orchid
n04443766 toby_jug
n02761696 automobile_factory
n02324850 oryctolagus_cuniculus
n04466871 scrambler
n12807409 american_sycamore
n03300216 ethernet
n12988158 lecanora
n01931520 threadworm
n04137897 satellite_tv
n02209354 carpenter_bee
n02212062 wasp
n07615289 sherbert
n02679257 adding_machine
n12915140 lantana
n03304197 exocet
n03652389 leaf_spring
n03421324 garter_belt
n11599324 welwitschia_mirabilis
n07867616 cheese_fondue
n03389889 four_wheeler
n04110178 rosette
n04216860 sifter
n03376279 folder
n13055577 boletus_edulis
n03123809 cowshed
n12843557 lesser_calamint
n03568117 indicator
n12796022 bergenia
n03947798 pique
n01500854 devil_ray
n00455076 overcast
n07915918 margarita
n03823312 nicad
n02571652 bigeye
n03158668 dado
n03529175 homeroom
n03607923 kameez
n03973839 pocket_watch
n07628068 phyllo
n11616852 virginia_pine
n02648625 greenling
n03475581 hairbrush
n03854722 organ_loft
n03995265 power_cord
n03718789 mansard_roof
n04356925 sun_porch
n04295571 stacks
n03005285 pendant
n03986949 portmanteau
n12133682 bluestem
n04110068 rose_water
n02742468 arrester
n03355768 flagon
n01788579 eurypterid
n03397947 frisbee
n11870418 garlic_mustard
n12402348 banyan
n09990777 dance_master
n04331443 straightedge
n02181477 mealworm
n04136045 sarcophagus
n07936093 sugar_water
n02710600 aneroid
n02286089 gypsy_moth
n00825773 judo
n03012897 chemical_plant
n04267246 spandrel
n03727067 mastaba
n04207151 shoulder
n09403086 rabbit_hole
n02368116 viscacha
n03370646 fluoroscope
n12732966 eastern_cottonwood
n02317781 brittle_star
n07618119 duff
n01751472 taipan
n05242928 squamous_cell
n09248399 coastland
n02042759 kittiwake
n02427470 kob
n03978966 polo_shirt
n03282295 embassy
n03516844 wellington
n12624568 japonica
n03223686 threshold
n01830915 motmot
n09452395 swampland
n12014355 artemisia_maritima
n07896060 california_wine
n03031152 cigarette_holder
n04095342 rivet
n02432291 odocoileus_virginianus
n04569063 webcam
n01603600 waxwing
n02161338 defoliator
n07848093 sour_cream
n03369407 fluid_drive
n12335664 mallee
n01386182 commensal
n03257210 duplex
n07911249 sambuca
n03621377 kitchenware
n11771924 carissa_macrocarpa
n03879705 palette
n12791329 syringa
n07858978 honey
n01984245 nephrops_norvegicus
n12640839 prunus_mume
n02266050 dobson
n02228341 katydid
n04132985 samovar
n02871824 boom
n03114379 cosy
n01381044 strep
n04020912 pullman_car
n03729308 matchbook
n04441662 tithe_barn
n02259708 treehopper
n03934565 pier_table
n04541662 vomitory
n11694469 ilama
n09877951 buddy
n04385536 tailpipe
n03275681 electrolytic_capacitor
n03005515 chandlery
n04325041 western_saddle
n07561848 balanced_diet
n13880994 parallel
n07911061 ratafia
n04266162 space_station
n11849871 mammillaria
n12676534 woodbine
n02961451 carbine
n01339336 herpes_zoster
n04368496 swallowtail
n02326862 european_hare
n03697366 lem
n03948242 piste
n01382033 spirochete
n03018712 chinese_lantern
n04330998 strad
n03204558 dip_switch
n02382850 exmoor
n12658846 service_tree
n13895262 belly
n02923682 machine_pistol
n12606438 commelina
n07692517 bialy
n07876550 scampi
n02739427 armlet
n03102859 cooling
n02565324 largemouth_bass
n04417361 textile_mill
n11683838 nectary
n02693246 airport_terminal
n02578454 lookdown
n02772435 badminton_court
n11927215 arnica_montana
n02128598 leopardess
n03801353 music_box
n12277578 common_oak
n02973236 cartwheel
n04308397 stealth_fighter
n07906572 blended_whisky
n02660208 halibut
n01481498 chimaera_monstrosa
n02890662 brake_pad
n01824035 roadrunner
n13206817 maidenhair
n04210120 shredder
n04415257 test_equipment
n07852919 cheddar_cheese
n02605703 chaetodon
n11696450 lancewood
n01462803 morula
n07740342 golden_delicious
n04310604 steam_turbine
n03138344 crowbar
n07834507 mayonnaise
n07822197 tomato_ketchup
n04307986 steak_knife
n02784124 banana_boat
n09411189 riparian_forest
n01944955 garden_snail
n01472303 amniota
n03533014 kalian
n13185658 doodia
n04229620 ski_jump
n02390015 jenny
n06596607 pulp
n07828378 msg
n02846511 blackboard
n03017698 chimney_breast
n02751067 astrodome
n04257790 solar_battery
n07727252 pinto_bean
n07864756 chicken_kiev
n03225108 dorm_room
n02745611 artificial_horizon
n03826186 quonset_hut
n02426813 eland
n03320519 masquerade
n12697152 cedrela_odorata
n03643737 laser_printer
n04393549 tapis
n09348460 massif
n04450133 tommy_gun
n07722485 spring_onion
n02587300 mangrove_snapper
n02414290 merino
n07616046 frozen_yogurt
n02203152 midge
