n07594066 cake_mix
n04287451 sprag
n02709637 anchor_chain
n02776505 baize
n04409384 tenement_house
n07928696 coca_cola
n12615710 pondweed
n07917133 sazerac
n07846359 evaporated_milk
n02153109 big_game
n07714287 chinese_cabbage
n07855317 velveeta
n04538552 vise
n07739923 baldwin
n00440509 high_jump
n04449290 tolbooth
n03451798 graffiti
n04284572 sporran
n02562971 black_crappie
n07774295 hickory_nut
n03422771 gas_engine
n02195819 bee_fly
n04525821 venn_diagram
n03614782 keyhole
n03329302 ferris_wheel
n02476567 australopithecus_afarensis
n02454794 peba
n03225108 dorm_room
n12550210 mucuna
n11650558 yellowwood
n02395931 porker
n01855188 smew
n03216402 diving_suit
n04137897 satellite_television
n02527622 conger
n05427346 ganglion_cell
n12762049 mastic
n11745817 zebrawood
n07904072 kirsch
n12482893 yucca_brevifolia
n01419888 giardia
n12163035 bryony
n03129753 credenza
n03902482 peach_orchard
n01668892 cooter
n12275317 quercus_mongolica
n02816768 beanie
n12717072 ailanthus
n03401721 fuel_system
n04497442 tun
n12070381 liparis
n09327077 kopje
n02520147 goujon
n03911767 penlight
n11759853 saman
n01734808 house_snake
n07560331 finger_food
n04280259 spiral_spring
n12937130 daucus_carota
n04330998 strad
n03988758 postage_meter
n04471632 junction_transistor
n08614632 fairground
n03329663 ferryboat
n00326094 rock_climbing
n04035748 quirt
n11808299 sweet_william
n03904433 cycle_rickshaw
n07709172 potherb
n03164344 data_system
n01912152 hydra
n07835921 bourguignon
n03882960 panhandle
n03993703 dog_pound
n07823951 curry
n01748906 hamadryad
n04258859 soldering_iron
n02204249 sandfly
n02186153 flea
n00446493 fight
n10514429 referee
n02824058 stein
n03865557 overpass
n00449892 camel_racing
n09990777 dancing_master
n12402348 banyan_tree
n03533014 water_pipe
n02201000 aedes_albopictus
n08645212 weald
n03555564 hypodermic_needle
n04213264 sickbed
n02540983 sparling
n04168541 seine
n03062122 cocktail_lounge
n01987076 pistol_shrimp
n07584332 bisque
n01734808 milk_snake
n02542432 bonefish
n02835724 bicycle_pump
n04168199 segway
n12946849 dogwood
n04070545 refrigeration_system
n03088707 conductor
n03566193 incinerator
n04448185 tokamak
n12851469 motherwort
n12099342 statice
n01339336 herpes_zoster
n01857632 canada_goose
n11626152 picea_sitchensis
n11624531 spruce
n09199101 anthill
n12564083 winged_bean
n02033882 eskimo_curlew
n01545574 lyrebird
n01911063 scyphozoan
n02788572 baptismal_font
n12726670 weeping_willow
n02892499 brasserie
n03082280 compound_microscope
n06625062 encyclical
n07880458 wiener_schnitzel
n09315159 ion
n12095647 moneywort
n07919787 decaffeinated_coffee
n07800740 fodder
n03260206 dye_works
n01931520 enterobius_vermicularis
n02950943 cannonball
n02010453 night_raven
n02652132 butterflyfish
n03592931 jammer
n03296217 escape_wheel
n04257986 solar_cell
n01790398 cornish
n07575076 lunch
n03677682 lisle
n03663433 life_office
n12112008 grama
n02169974 potato_beetle
n07887967 light_beer
n03697366 lem
n03321563 fanny_pack
n04219185 silex
n09376526 ocean_floor
n03487090 handlebar
n11615607 jack_pine
n03844815 oilskin
n11614420 pinus_ponderosa
n03781683 money_belt
n03875806 paintball
n02191273 glossina
n06596474 news_magazine
n07580253 special
n04533946 dvd
n03671914 linac
n02904505 broadside
n12402348 banian
n10334009 motorcyclist
n02488415 hanuman
n11662128 pacific_yew
n04561287 water_meter
n03240140 electric_drill
n02812949 bayonet
n03349296 firkin
n07812184 spice
n12731835 balsam_poplar
n02904927 brogue
n03516844 wellington
n03225108 dormitory
n12261808 american_beech
n02430830 fawn
n04102872 roll_film
n12916511 tectona_grandis
n03087069 cement_mixer
n02788572 baptistry
n02315487 brachiopod
n03482523 hand
n04290259 gad
n10421470 pharmacist
n12320806 bitternut
n07820497 sage
n02228341 katydid
n15090065 retinol
n03109253 corncrib
n02122430 mouser
n01922717 parasitic_worm
n07902121 ethyl_alcohol
n03604311 jumbo_jet
n04979002 aposematic_coloration
n02420828 gerenuk
n02751067 astrodome
n03439348 glebe_house
n02683558 afterburner
n02644501 rasher
n04499300 turkish_bath
n03385295 formica
n01489501 bull_shark
n04528079 verdigris
n04041243 radiator_cap
n04046974 rail_fence
n13077295 mildew
n03199488 dimmer
n12014355 artemisia_maritima
n04186051 shaving_cream
n04042985 radiometer
n03801353 musical_box
n11625632 white_spruce
n02895328 breast_pocket
n04592465 wine_maker
n07851443 double_cream
n03364156 flipper
n03596543 jetliner
n04085017 reverse
n02576906 crevalle_jack
n02434712 brocket
n13898645 spheroid
n03209910 floppy
n03529629 homestead
n03099274 convenience_store
n01477875 sea_lamprey
n02397744 collared_peccary
n09206896 arroyo
n04417361 textile_mill
n11989393 edelweiss
n02207345 queen_bee
n02971167 automobile_tire
n00445226 water_skiing
n04533802 vcr
n01462042 blastocyst
n04131208 beauty_salon
n04312916 steering_linkage
n07684517 raisin_bread
n02375302 roan
n04356925 solarium
n07802863 groats
n04137773 satellite_receiver
n02678897 adaptor
n02184473 pediculus_humanus
n03323096 farmstead
n04119091 rumble
n03487331 handloom
n04209509 shower_room
n10803978 yogi
n01796019 blackcock
n03038870 clavichord
n04124573 saddle_seat
n03306385 express
n07879174 sukiyaki
n11943407 calendula
n04482177 tricorn
n04125257 safe_deposit
n02808829 bathyscaphe
n07846143 powdered_milk
n11661372 yew
n02694045 aisle
n02262803 stonefly
n03306385 limited
n04351699 suiting
n03697913 longyi
n04459122 touring_car
n04178190 seventy_eight
n11844371 saguaro
n01617443 bearded_vulture
n11628793 pseudotsuga_menziesii
n12236160 shallon
n02783994 baluster
n02426176 saiga
n13155611 glume
n02125689 jaguarundi
n02808968 bathysphere
n07886463 aperitif
n13096779 lignum
n13004423 chanterelle
n04401680 telephone_kiosk
n03019938 chintz
n11599324 welwitschia_mirabilis
n07903731 armagnac
n03718789 mansard
n03498441 hatbox
n02443015 american_mink
n02970408 tote_bag
n04449550 tollgate
n12449296 quamash
n02561381 northern_pike
n04075291 remote_station
n03426134 gas_tank
n10087434 fighter_pilot
n03325941 stetson
n02522399 cod
n03205143 directional_microphone
n03035832 cittern
n12335664 mallee
n07808904 tabbouleh
n02344528 lemming
n04308273 stealth_bomber
n07731436 postum
n12981954 white_rust
n11689815 cottonseed
n03176763 department_store
n02275560 mourning_cloak
n04255899 soddy
n07875086 loblolly
n15091846 folic_acid
n01593553 verdin
n04122685 sachet
n04388473 tandoor
n07915800 rob_roy
n02152881 prey
n11939699 bellis_perennis
n02250280 cochineal
n04134523 sandbox
n03949145 piston_ring
n02848921 dummy
n02536456 chinook
n02501583 tarsier
n03514129 hematocrit
n07818995 oregano
n03005033 chancellery
n03516844 wellington_boot
n02873733 bootie
n02203152 midge
n03356559 flamethrower
n02068206 beaked_whale
n02571652 bigeye
n04409625 tennis_camp
n04533700 videocassette
n12281974 paper_birch
n02879309 boutique
n04150371 scow
n04578112 whipcord
n04430896 thumb
n01340522 polyoma_virus
n02429456 antilocapra_americana
n07865196 chop_suey
n04066476 redoubt
n11688069 microsporophyll
n03431570 gearbox
n02196119 robber_fly
n04292921 squeegee
n03788914 muumuu
n07768230 bartlett
n04373089 switchblade
n02636854 mojarra
n07831267 tomato_sauce
n03320519 fancy_dress
n04409806 tennis_racket
n07879072 succotash
n06596727 glossy
n01481498 rabbitfish
n12682411 teasle
n07851767 pot_cheese
n03115014 cotter_pin
n02844214 bistro
n01555305 scissortail
n07876026 sauerbraten
n03159535 dairy
n12284821 alnus_glutinosa
n13030337 elf_cup
n07822845 chili_sauce
n12139196 broomcorn
n03599964 jobcentre
n12278650 cork_oak
n04114069 roundel
n03236217 dredge
n15062057 stucco
n03443912 goggles
n07693590 danish_pastry
n04563790 waterworks
n03992436 potsherd
n03077741 communications_satellite
n03082656 tourniquet
n04304680 starting_gate
n13131028 umbel
n07727252 pinto_bean
n02885882 ticket_booth
n02692232 airdrome
n03171635 defibrillator
n12898342 belladonna
n03919096 personnel_carrier
n02610664 parrotfish
n12236160 salal
n03978815 polonaise
n13882639 nonagon
n04592596 wineskin
n05468739 oligodendrocyte
n12489815 poinciana
n02069412 common_dolphin
n02666501 abandoned_ship
n03548086 hubcap
n04332580 straitjacket
n02710201 mechanical_man
n04316498 stereoscope
n01807828 grey_partridge
n03136369 crossbow
n12320627 pignut
n01795088 grouse
n02428508 gemsbok
n02973236 cartwheel
n04252653 snow_blower
n13147689 malvasia
n03236093 dreadnought
n04207151 shoulder
n02976350 casement
n11760785 calliandra
n03517647 hideaway
n02836607 bifocals
n03767459 mimeo
n07842753 omelette
n03006788 chantry
n02823124 pager
n04121342 russet
n07887461 bock
n01322685 cub
n03571280 inhaler
n02343320 golden_hamster
n07586485 oxtail_soup
n03982895 poorhouse
n11845793 hedgehog_cactus
n01636829 dusky_salamander
n02852173 blinker
n02882190 bowling_alley
n07714802 red_cabbage
n03645577 lateen
n02984469 catheter
n03603594 junk
n03285578 encaustic
n01779629 mite
n12133462 prairie_grass
n02089725 american_foxhound
n02030287 tattler
n04064747 record_sleeve
n12294124 gentianella
n02570838 surfperch
n15091304 vitamin_b12
n04341288 strop
n03981924 donkey_cart
n03340723 viewfinder
n03729402 matchbox
n02266050 dobson
n12103894 shortgrass
n07846557 skimmed_milk
n10092794 first_lady
n04324387 stock_room
n03180865 single_dwelling
n03163381 dashiki
n02561514 muskellunge
n03522990 hitching_post
n02869249 bones
n12374418 rockrose
n03646148 lath
n04136161 sari
n04349401 subwoofer
n02940570 caller_id
n07804543 brown_rice
n03356446 flambeau
n04401680 telephone_box
n10421470 chemist
n04156946 scull
n02413593 hampshire
n07560193 fast_food
n12138444 milo
n01758895 carrion
n13001529 agaricus_campestris
n04078574 reservoir
n03408340 fustian
n03442597 gnomon
n07919310 fizz
n04579230 whispering_gallery
n03466839 guildhall
n02697221 a_line
n04059947 rearview_mirror
n09289596 glen
n02714751 answering_machine
n03529175 home_room
n15089803 vitamin_a
n02424486 greater_kudu
n02505998 mastodon
n04355267 sun_deck
n01847407 dabbling_duck
n11926365 silversword
n03475581 hairbrush
n02190790 musca_domestica
n03954393 planchet
n03159535 dairy_farm
n02788572 baptistery
n04384910 rear_lamp
n07601572 candy_cane
n09294877 grotto
n11692792 thistledown
n02380745 bronco
n12351091 arrowroot
n13055577 boletus_edulis
n07936093 sugar_water
n12957803 nardoo
n04595855 wiring
n03776877 moccasin
n12305654 green_ash
n02414763 argal
n03004409 chambray
n02375438 stable_companion
n01844551 quetzal
n13024500 clavicipitaceae
n12982468 pythium
n11722466 creeping_buttercup
n02124484 manx
n00470554 professional_football
n02731629 aqualung
n01563449 gnatcatcher
n01851038 pochard
n02065407 minke_whale
n02386310 workhorse
n12152532 cotton_grass
n07808587 slaw
n02184720 body_louse
n03657511 body_suit
n02469472 tadpole
n07605597 chocolate_fudge
n12934036 astrantia
n01322898 lion_cub
n07696839 club_sandwich
n03876111 paintbox
n07573347 spam
n04253168 snuffer
n02885882 box_office
n09885866 furniture_maker
n02619550 mudskipper
n03436075 ghat
n02763604 volary
n02689144 airframe
n03334382 fieldwork
n02834642 bicorne
n03984643 porkpie
n07840520 worcestershire_sauce
n00453396 duck_hunting
n03134394 crookes_tube
n03861048 output_device
n04052658 ranch_house
n03605417 jump_seat
n02735361 arc_lamp
n11618525 torrey_pine
n07835701 bercy
n01672432 spiny_softshell
n02287799 cankerworm
n02840515 bindery
n03175081 den
n02761696 automobile_factory
n03580845 interphone
n02197185 medfly
n03128248 crayon
n00467320 quoits
n04496614 tulle
n04414909 tessera
n03437430 gilt
n02404028 maverick
n13879049 quadrate
n03711999 mainmast
n02415130 urial
n01449980 molly
n02060133 fulmar
n07854184 mozzarella
n12218274 grevillea_robusta
n03949317 piston_rod
n02126640 margay
n13915113 tetrahedron
n02653145 triggerfish
n02404432 longhorn
n11818069 stellaria_media
n04488202 trophy_case
n02709908 and_circuit
n01528396 wagtail
n11643835 arborvitae
n01847806 anas_platyrhynchos
n07876189 sauerkraut
n10155849 stylist
n12277578 quercus_robur
n02095050 fox_terrier
n02063662 right_whale
n04018155 pa_system
n02310334 corn_earworm
n02843909 biretta
n08580944 half_mast
n03738066 player_piano
n00449517 auto_racing
n02405799 santa_gertrudis
n01620735 king_vulture
n07925116 pineapple_juice
n04385079 tailor_made
n01841679 wryneck
n04320871 stirrer
n02220055 pharaoh_ant
n08677424 veld
n12441958 asphodel
n03774461 miter
n12872914 butterwort
n04255899 sod_house
n04560882 water_jump
n03516844 jackboot
n03322836 farmhouse
n02418465 mountain_goat
n12365158 maria
n03939677 pilothouse
n03263076 eaves
n07880458 schnitzel
n14976759 pantile
n04110439 positioner
n13173488 leatherleaf
n02961035 caravanserai
n04075291 remote_terminal
n02338722 cotton_rat
n03831757 nose_flute
n04453390 toothpick
n03855214 organza
n07915618 manhattan
n01619835 vultur_gryphus
n07567139 colouring
n03307037 extension_cord
n10421470 apothecary
n04040247 radial_tire
n03612010 ketch
n12496427 chicot
n01472303 amniota
n03270854 electric_blanket
n02094721 manchester_terrier
n03571625 inkpot
n07918706 swizzle
n02056728 emperor_penguin
n02990373 ceiling
n09245515 cwm
n03523506 hobble_skirt
n04255163 socket
n04146862 school_ship
n02918964 bumper_car
n03090000 conference_table
n12541403 grass_pea
n02377063 ridgling
n03251533 dry_dock
n07721195 pimiento
n08596076 littoral
n03920867 pew
n03206718 disguise
n12100187 barbasco
n02884859 box_beam
n02365108 mara
n01951274 sea_hare
n01533893 crossbill
n12031927 ironweed
n03524976 hogshead
n03153246 cutlass
n04282992 spode
n07599649 bonbon
n01683558 night_lizard
n02247655 superbug
n03970546 plush
n01690466 glass_lizard
n01555004 pitta
n07581607 canape
n01628770 caudate
n03527149 hollowware
n04253057 snuffbox
n01643507 robber_frog
n02542958 argentine
n04346428 pigpen
n12345899 rhizophora_mangle
n12580012 keurboom
n07925229 lemon_juice
n03127408 crankshaft
n03653833 lederhosen
n06596845 trade_magazine
n11636204 sugi
n07851554 mascarpone
n08501887 intergalactic_space
n02281136 large_white
n01558765 ring_ouzel
n04305323 stately_home
n12137791 durra
n02977936 gambling_casino
n13027557 aspergillus_fumigatus
n02643836 stonefish
n05459101 spermatid
n12729729 red_willow
n04146976 school_system
n04270371 speakerphone
n01847806 mallard
n12755225 acer_negundo
n14938389 linoleum
n02395694 piglet
n01972541 cuttle
n02742468 arrester
n12407222 dutch_elm
n01925916 cercaria
n12230540 madrona
n01579729 chough
n04016846 psaltery
n12836212 nemophila
n02584449 caribe
n03425595 gas_stove
n04969798 aquamarine
n05259914 pigtail
n03401279 fuel_injection
n03241335 bubbler
n09932508 coal_miner
n01422185 sporozoite
n01606978 chicken_hawk
n07624757 knish
n04962062 silver_grey
n01369484 salmonella_typhi
n07913537 virgin_mary
n02485371 grivet
n03658635 levee
n03769610 minibar
n03772584 minute_hand
n12365285 laurelwood
n04350688 sugar_refinery
n02706806 amusement_arcade
n03653583 reading_desk
n11730015 blue_jasmine
n12552309 sainfoin
n02775178 baggage_claim
n03072201 color_television
n01381044 strep
n03293741 equaliser
n02631775 white_marlin
n11599324 welwitschia
n02137888 ichneumon
n13065089 puccinia_graminis
n03572631 inlay
n07903101 bitters
n01906749 sponge
n03042139 clevis
n04083649 retort
n12825497 dodder
n03543394 hot_rod
n02230187 field_cricket
n12402596 sacred_fig
n07910656 pernod
n04963307 turkey_red
n04340521 strobe_light
n07909593 drambuie
n02494383 woolly_monkey
n02981024 catacomb
n04301760 stick_shift
n02688273 air_filter
n12267931 cupule
n03201638 evening_gown
n03266749 duvet
n12762896 sumac
n14975598 papyrus
n03610682 kepi
n01731764 coachwhip
n02445004 river_otter
n03365231 floatplane
n04570815 weekender
n03680858 lobster_pot
n01359762 trichodesmium
n03865557 flyover
n12204730 corchorus
n03386726 foulard
n00474881 perfect_game
n02291748 clothes_moth
n04037873 raceway
n11542137 peat_moss
n03009794 charnel_house
n03903133 peavy
n12639376 beach_plum
n12549192 black_medick
n09421799 sandbank
n04583212 fisheye_lens
n07607361 liquorice
n01649170 spadefoot_toad
n02755675 attenuator
n12733870 populus_tremula
n02084732 doggy
n00470966 rugger
n04246855 smoking_car
n02421449 wildebeest
n03536122 horizontal_stabilizer
n07878283 stuffed_cabbage
n02919890 bungee
n02917607 bullnose
n12584715 sugar_palm
n14853210 high_explosive
n04518343 vacuum_gauge
n12307240 jessamine
n04482297 tricot
n12790430 deutzia
n03123553 coverlet
n02214499 potter_wasp
n03178430 derrick
n03181667 detention_house
n07567139 coloring
n04446162 threads
n01853195 eider
n04375405 rotary_converter
n02019190 great_bustard
n04969540 steel_blue
n01929186 rotifer
n03669245 limber
n03452594 grandfather_clock
n11614039 whitebark_pine
n04228581 ski_boot
n12475035 wild_oats
n02413484 cotswold
n10101308 football_hero
n03610418 keg
n02538562 arctic_char
n03543254 hot_plate
n07805966 dog_food
n01834540 thornbill
n03123809 cowhouse
n01790812 cochin
n12079523 pleurothallis
n03437941 girder
n03877351 paisley
n02893608 breadbasket
n04141712 scaffolding
n07730708 celery_root
n03553248 thermonuclear_bomb
n04198562 shirtwaist
n01490360 dusky_shark
n07845166 pasteurized_milk
n04419073 transit
n03192543 dictaphone
n11533212 basidiocarp
n12500518 cassia_tora
n03140292 rood
n04484432 triode
n04303497 stapler
n04562262 water_ski
n05282652 diastema
n04234763 slate_pencil
n02850732 blender
n01469723 salp
n04108822 rope_bridge
n00452864 beagling
n03971321 pneumatic_drill
n12536291 anil
n02367492 chinchilla
n01848840 baldpate
n04382695 tachograph
n02880546 string
n03016868 chiffon
n01318894 pet
n03140126 melting_pot
n03102859 cooling_system
n03002341 chair_lift
n02327028 jackrabbit
n12658308 rowan
n03488887 handstamp
n07688898 hushpuppy
n01914830 actinia
n04397452 teacup
n03166514 deanery
n01424420 plasmodium
n07723559 lettuce
n03018712 chinese_lantern
n09445008 steep
n10536416 rock_star
n07827130 juniper_berries
n01633781 giant_salamander
n07806774 green_salad
n02491107 tamarin
n09269882 draw
n04582205 caning
n02387093 percheron
n04559620 water_filter
n01541922 towhee
n02526425 elver
n02821202 bedpan
n04132985 samovar
n12726528 arctic_willow
n12858150 monarda
n02312640 chrysalis
n12777680 snowbell
n01449980 mollie
n06892775 concert
n07924443 cranberry_juice
n02095727 welsh_terrier
n02174659 cockchafer
n01777304 deer_tick
n03595409 jeroboam
n07835457 hollandaise
n09384106 pallasite
n07898745 table_wine
n03551395 hydraulic_press
n03222722 doorcase
n02771004 backspacer
n02180233 bark_beetle
n03451365 grade_separation
n09270735 sand_dune
n01536644 song_sparrow
n12392549 stinging_nettle
n03813946 nebuchadnezzar
n12663023 coffea_arabica
n12810595 phlox
n02487547 macaca_mulatta
n03256166 dump_truck
n04950952 woodgrain
n07584423 borsht
n12190410 ceiba_tree
n09382099 oxbow
n03538300 horsecar
n00470966 rugby_football
n01379389 staphylococcus
n02239192 chinch_bug
n02053584 booby
n02793842 barn_door
n12584365 areca_catechu
n02736798 argyll
n12463743 bog_asphodel
n07817315 coriander
n03325941 homburg
n04346428 pigsty
n03386544 foucault_pendulum
n03698815 lychgate
n04189816 sheetrock
n07624924 pirozhki
n02598878 queenfish
n02313709 bryozoan
n07843464 souffle
n03572321 inkwell
n04457910 torque_wrench
n12001707 cineraria
n03119396 coupe
n07822197 tomato_ketchup
n11902200 papaver_rhoeas
n09295210 growler
n03565288 imprint
n01581730 nutcracker
n14698884 gravel
n02431628 sambar
n02881757 derby
n07567139 food_colouring
n02780315 roller_bearing
n12188635 thespesia_populnea
n03892178 parquet
n02169023 sawyer
n11635830 alaska_cedar
n10769188 washerwoman
n04244847 smack
n04389854 tank_locomotive
n03133415 crock
n11846765 epiphyllum
n04471632 transistor
n01858281 coscoroba
n04349913 suction_cup
n03945928 pipe_cleaner
n03304197 exocet
n01948573 limpet
n07628068 phyllo
n12696492 neem_tree
n02043063 tern
n03149686 curbstone
n11676500 pistil
n00478262 association_football
n03345837 fire_extinguisher
n09260907 cultivated_land
n02255391 woolly_adelgid
n04198722 shiv
n04123123 sackbut
n02786837 bandsaw
n07904934 ouzo
n02835412 bicycle_chain
n05241485 melanocyte
n02469248 scapular
n01848123 teal
n04086663 rheometer
n12700088 honduras_mahogany
n07828378 monosodium_glutamate
n10443032 plumber
n12903014 tamarillo
n02953197 cantilever_bridge
n04251701 snowbank
n03644378 reata
n03727605 masterpiece
n04002262 pricket
n12946849 cornel
n08547468 cow_pasture
n07870069 souvlaki
n09270735 dune
n12282737 downy_birch
n02762508 autostrada
n07596160 icing_sugar
n01971280 squid
n01561732 wheatear
n02563949 spotted_sunfish
n02023992 kildeer
n04252331 snowshoe
n07708398 raw_vegetable
n11626826 red_spruce
n03978966 polo_shirt
n02874750 bootstrap
n01622352 horned_owl
n09932508 collier
n09189157 aerie
n02947660 narrow_boat
n04266375 spacesuit
n12377198 dipterocarp
n03485198 hand_mirror
n03062985 coffee_can
n13132656 panicle
n04431436 thumbscrew
n02725872 anvil
n00456465 day_game
n03842585 ogee
n01925270 planaria
n02829596 bench_press
n03906590 pelican_crossing
n07868684 frog_legs
n04431925 thunderer
n07763987 mangosteen
n02351870 jerboa
n01560935 whinchat
n11791569 pistia
n04125257 lockbox
n04283585 spokeshave
n04179126 cloaca
n12727518 goat_willow
n03313333 facade
n02950943 cannon_ball
n04422727 thermos
n02897097 bren_gun
n11923174 mayweed
n03784896 horseshoe_arch
n03979377 polyester
n03320519 masquerade
n02585872 cichlid_fish
n02499022 slow_loris
n03725506 masonite
n03837606 oast
n03289985 ensemble
n01858906 cygnet
n07825850 applesauce
n03509608 heat_pump
n03172038 deflector
n09283866 foreshore
n11849271 mescal
n02947660 narrowboat
n04969798 turquoise
n02889996 brake_cylinder
n04301760 standard_transmission
n07818133 fenugreek
n13079567 candida_albicans
n11615387 loblolly_pine
n01663782 chelonia_mydas
n04281260 spittoon
n15091129 aneurin
n07914128 refresher
n02048353 tufted_puffin
n03360133 flat_arch
n07919165 zombie
n01804163 golden_pheasant
n03447358 golliwog
n03421324 garter_belt
n03474352 hacienda
n07864756 chicken_kiev
n04255586 soda_can
n03610524 doghouse
n03855333 oriel
n02776205 decoy
n04395106 tartan
n02762169 autopilot
n04404200 teletypewriter
n04104384 semicircular_arch
n01599556 loggerhead_shrike
n12269406 quercus_agrifolia
n12281788 betula_alleghaniensis
n03492087 hansom_cab
n01575117 cowbird
n03952576 pizzeria
n02746978 art_school
n04449290 tollhouse
n04257790 solar_battery
n07913882 collins
n12498055 palo_verde
n03109033 corker
n03574243 instep
n01790304 plymouth_rock
n02696246 alembic
n01991520 pill_bug
n03996849 power_steering
n13865904 heart
n12980840 downy_mildew
n00482122 netball
n03872273 packsaddle
n06359467 chat_room
n04300643 stanchion
n01849157 pintail
n07861247 pancake_batter
n02692232 aerodrome
n11691046 corolla
n02689748 air_horn
n04604806 worm_gear
n03425595 gas_range
n11632619 mediterranean_cypress
n02407071 durham
n02977330 cashmere
n12920204 poinsettia
n02793089 baritone
n03186199 dhoti
n02759700 autoinjector
n03779884 moldboard
n13915023 ovoid
n12050533 cattleya
n02970408 carryall
n03781055 petrol_bomb
n11616662 pinus_sylvestris
n07904760 geneva
n01815601 sandgrouse
n04024983 punt
n02340358 eastern_woodrat
n07924276 nectar
n01618503 secretary_bird
n12593994 date_palm
n01611472 peregrine_falcon
n03256166 tipper
n12510343 palas
n09260907 tilth
n12321873 shagbark
n03284308 empty
n01538059 reed_bunting
n05467054 neuroglia
n02412629 lambkin
n02811618 battle_cruiser
n03724623 seven_iron
n02469914 primate
n00453313 deer_hunt
n01995686 brine_shrimp
n01794158 meleagris_gallopavo
n02963503 electrocardiograph
n03603442 jungle_gym
n03546112 house_paint
n02122580 stray
n03760310 microprocessor
n04020912 pullman
n11790936 tuckahoe
n02499808 bushbaby
n04139395 sauna
n02701260 amen_corner
n04368365 swagger_stick
n03981760 floating_bridge
n05467758 astrocyte
n07934282 ice_tea
