n02857477 boarding_house
n02922292 grave_mound
n12006766 coneflower
n03626272 pommel
n03173929 delivery_truck
n01664990 hawkbill
n08518171 camping_site
n03326073 feedback_circuit
n03507241 fireside
n02963987 cardroom
n07735294 scorzonera
n02167820 calosoma
n03512030 helicon
n04043733 radio_receiver
n04227144 study
n02597367 whiting
n07840520 worcestershire
n01671125 gopher_tortoise
n04524941 velour
n02538562 salvelinus_alpinus
n02943241 camera_lens
n11733312 larkspur
n03788047 mosaic
n07760501 tokay
n03123809 cow_barn
n07891433 sake
n02921884 sepulchre
n04235291 sledge
n03602365 joss_house
n02197689 drosophila
n04955160 burnish
n03900979 marquee
n02197185 medfly
n03815149 necklet
n07759194 concord_grape
n00452293 hunting
n02706806 amusement_arcade
n01554448 woodcreeper
n13007417 oyster_mushroom
n07623136 pastry
n02448060 meles_meles
n01712008 theropod
n02003204 marabou_stork
n04358491 superhighway
n03116008 couchette
n10304914 medalist
n03534776 hoover
n04290079 spun_yarn
n04231272 skirt
n03009794 charnel
n12583401 palmetto
n02962200 carburetor
n03358172 photoflash
n01616086 sea_eagle
n04317063 sternwheeler
n02931148 cab
n07574780 continental_breakfast
n07613158 syllabub
n01654637 xenopus_laevis
n02386496 draft_horse
n02759387 gyroplane
n02055803 penguin
n03245724 drone
n02538406 charr
n07804323 rice
n03503233 lintel
n07755929 cantaloupe
n07562379 diabetic_diet
n03233123 drapery
n04358874 superstructure
n03582959 inverter
n03253796 duffel
n03619196 kirtle
n11690455 petal
n04453156 toothbrush
n06272803 call
n00440382 broad_jump
n03342432 cot
n03394149 freight_elevator
n12269241 live_oak
n04475900 trawl
n04563413 waterwheel
n02392824 white_rhinoceros
n12737383 loranthaceae
n04397168 tea_chest
n00463543 hockey
n07849912 curd
n03309808 textile
n08571898 flea_market
n02757927 audiovisual
n01876667 bilby
n03450516 gown
n04469813 tram
n03864139 overhand_knot
n04256520 lounge
n05245192 freckle
n03180969 detector
n09896685 carpenter
n02571652 bigeye
n04045085 radio_transmitter
n04541662 vomitory
n07840520 worcestershire_sauce
n12704041 oca
n04491388 nightstick
n07698782 wrap
n13868944 undulation
n03088580 condo
n03537085 horn
n03914831 percale
n09245515 cwm
n02288268 looper
n02860415 reel
n04044307 radiotelegraphy
n01481498 rabbitfish
n02803934 double_bass
n04261506 body
n01807828 grey_partridge
n04250692 snood
n03450974 grab_bag
n07572353 commissariat
n03819595 mesh
n01456756 sea_horse
n03354903 flag
n02823586 beer_garden
n03367410 florist
n03399971 fruit_machine
n03326948 magic_marker
n04244847 smack
n02881193 bowl
n11877860 swede
n04389521 tank
n03038685 classroom
n03973402 pocket_flap
n06271778 telecom
n04147495 scientific_instrument
n07851767 cottage_cheese
n02928608 button
n03724756 musjid
n07567139 food_color
n12665271 woodruff
n03349296 firkin
n01594372 swallow
n01972541 cuttlefish
n12011620 dusty_miller
n03988170 post
n03698815 lychgate
n12352639 musa_acuminata
n02047614 puffin
n13902793 taper
n02670683 throttle
n02251593 citrus_mealybug
n07557165 goody
n12664710 cinchona_bark
n09376526 davy_jones
n02080713 bearded_seal
n04605321 worsted_yarn
n01971620 loligo
n03304197 exocet
n03091374 connective
n02058747 gooney
n02014941 rail
n05263448 attilio
n04540397 voltage_regulator
n03692136 smoking_jacket
n04011827 propellor
n02405929 aberdeen_angus
n02536165 sockeye_salmon
n07709333 greens
n04355267 sun_deck
n01792955 sitter
n07607605 lollipop
n03999992 press
n01806847 california_quail
n07924655 must
n03046257 clock
n11855553 poke
n04181228 shackle
n04041243 radiator_cap
n03457451 greave
n04099429 rocket
n02613181 blenny
n15102455 hardboard
n03351262 fishing_smack
n04192521 sheraton
n03454707 grating
n11931918 aster
n09259025 crag
n03530910 cowl
n07672914 margarine
n03719053 manse
n03292475 epee
n04140631 sawbuck
n01581730 nutcracker
n12697152 cedrela_odorata
n12710295 tangerine
n02697221 a_line
n09445289 steppe
n11658544 matai
n03568117 indicator
n01527617 lark
n04590021 window_seat
n12745386 rambutan
n02412629 lambkin
n03513137 helmet
n01487506 sand_tiger
n12771390 kaki
n09283193 fomite
n12104238 tallgrass
n04131208 beauty_shop
n02951703 canopic_jar
n01381044 strep
n07903543 applejack
n07745357 loganberry
n03124474 cowl
n04962062 silver
n02982416 catboat
n04044307 wireless_telegraph
n04552551 war_room
n04183957 shank
n05458576 oocyte
n10560106 schoolmate
n03159640 pulpit
n03592931 jammer
n03614782 keyhole
n02112826 welsh_corgi
n09874862 bridesmaid
n02740533 armored_vehicle
n12321873 shagbark_hickory
n03201638 formal
n03543603 hot_tub
n03861430 outrigger_canoe
n04488530 trouser
n04317976 control_stick
n15090065 retinol
n03820728 network
n12403513 sycamore_fig
n09428628 seaside
n01321456 adult
n01839598 flicker
n15092227 ergocalciferol
n01392380 ameba
n03726516 spectrometer
n10298912 skipper
n04541136 voltaic_pile
n03903133 peavy
n04043733 radio
n07597145 confiture
n11835251 greasewood
n13901211 barrel
n12733647 aspen
n07747055 citrus
n03409591 gable_roof
n03656484 lens
n07565161 chow
n11773987 rose_bay
n03508101 heater
n04061969 niche
n01314388 pest
n07560542 kosher
n04566257 arms
n03024064 choir
n12301180 olea_europaea
n02736798 argyle
n04025633 purdah
n04401680 telephone_box
n03224603 dormer_window
n01794344 tom
n02917521 bullion
n03055670 coach
n03413428 gaming_house
n04471148 transept
n03859958 outfit
n03004824 bema
n07809096 fixings
n04419073 theodolite
n11769621 allamanda
n02535537 atlantic_salmon
n04193377 shift_key
n02396088 sow
n11919761 ambrosia_artemisiifolia
n12274358 quercus_macrocarpa
n03950899 topi
n02200630 gnat
n03601638 jointer
n01612275 merlin
n11916696 yarrow
n02034661 stilt
n04251791 snowboard
n11615607 jack_pine
n02430830 fawn
n07606538 peppermint_candy
n04408871 patch
n02758960 autoclave
n13108323 pollard
n03154895 cutwork
n12401335 fig_tree
n04164406 second_base
n04089836 riding_crop
n02244173 assassin_bug
n07712559 crisp
n04185804 shaver
n07843636 fried_egg
n04590263 windowsill
n01583209 butcherbird
n04403925 telescopic_sight
n00452152 cockfighting
n03262932 easy_chair
n01734808 milk_snake
n03180969 sensor
n02168427 glowworm
n02435216 musk_deer
n02333909 black_rat
n04121511 sabre
n04457910 torque_wrench
n02087551 hound_dog
n03674270 link
n12236160 salal
n03090000 conference_table
n03268790 electric_automobile
n04171831 semiconductor_device
n02760429 automatic_gun
n12631331 avens
n02983507 caterpillar
n12684379 celandine
n04357930 supercharger
n03344509 firebox
n14810561 choline
n01956764 seashell
n04166281 sedan
n12656369 framboise
n03102859 cooling_system
n07822197 tomato_ketchup
n04047401 railing
n02238594 lace_bug
n01858441 swan
n11828577 chenopodium_album
n10721321 traffic_cop
n07847827 heavy_cream
n03322704 greenmarket
n01323155 kit
n04394630 tarmacadam
n11733054 delphinium
n12564083 winged_bean
n03781055 molotov_cocktail
n03345837 fire_extinguisher
n12261808 white_beech
n03086457 concert_grand
n12649317 japanese_cherry
n02907873 brownstone
n06267893 rag
n11625804 spruce_pine
n01592694 tomtit
n03963028 plating
n02604954 spadefish
n04457157 torpedo
n03007297 frat_house
n02946824 camshaft
n04586932 wind_instrument
n04102162 rollerblade
n05584746 hangnail
n04371979 swing_door
n02601344 mullet
n02670683 gas_pedal
n00434075 acrobatics
n07816164 basil
n12735160 santalum_album
n02419796 antelope
n06419354 collegiate_dictionary
n04008385 production_line
n02341974 water_rat
n08547544 crest
n02472987 humanity
n13032923 verpa
n03397412 frigate
n12877244 snapdragon
n03724538 five_iron
n03272239 electric_heater
n01710177 diplodocus
n13901321 tube
n02677718 action
n02386224 hackney
n04412416 teepee
n02627292 bluefin_tuna
n01744100 reticulated_python
n03541091 hospital_room
n07683360 bannock
n04172776 sentry_box
n03781787 monitor
n04529962 tail_fin
n03171356 defense
n03038281 clasp
n04004475 printer
n03827536 noisemaker
n02276355 red_admiral
n02387722 poster
n02049088 diver
n04282872 split_rail
n03688066 long_iron
n02658531 plaice
n11985053 iva
n03262932 lounge_chair
n11783920 anthurium
n03451798 graffito
n02425228 bushbuck
n02990373 ceiling
n15091669 vitamin_b6
n12684379 jewelweed
n07899976 generic
n02625851 king_mackerel
n01323493 dam
n00449517 auto_racing
n12558230 lima_bean
n03732114 mausoleum
n01857325 brent_goose
n03525693 holding_cell
n08618831 perihelion
n13152339 yerba_mansa
n07688757 dodger
n03338821 photographic_film
n04164002 secondary
n02708711 analyser
n00483705 real_tennis
n12596709 roystonea_regia
n11811473 lychnis
n02127381 canada_lynx
n03397947 frisbee
n03743279 megaphone
n03193597 diesel_locomotive
n11770256 dita
n02196344 fruit_fly
n01664990 hawksbill
n01972541 cuttle
n04393095 tape_machine
n12061380 butterfly_orchid
n02089555 foxhound
n01639765 anuran
n14564779 wall
n04365484 surveying_instrument
n02694662 alarm_clock
n01845132 waterfowl
n02847461 blackjack
n07572957 canned_foods
n02380052 lipizzan
n08640531 resort
n01965889 escallop
n12421917 jonquil
n14820180 concrete
n07864756 chicken_kiev
n11533212 basidiocarp
n03159640 podium
n12385830 weld
n04593866 wiper
n07845166 pasteurized_milk
n03070854 collimator
n02766534 baby_carriage
n02407071 durham
n03513376 helmet
n03405111 furnace_room
n08685188 zodiac
n03984381 porch
n07932841 tea
n02803934 string_bass
n02851099 blind
n02715513 hall
n07815839 black_pepper
n06359467 chatroom
n03657511 cat_suit
n03411927 gallery
n12950126 valerian
n03905947 peg
n11685621 silique
n04227900 skewer
n03530189 homing_torpedo
n02916350 slug
n03002711 chaise
n02714535 anode
n10185793 horseman
n06255081 vehicle
n07601290 orange_peel
n04445952 toggle_switch
n03041265 cleat
n10147710 grocer
n02750169 assembly_plant
n02426813 eland
n12659356 spiraea
n01634227 olm
n07904865 grog
n07895100 pinot_blanc
n04084889 revers
n04026053 purifier
n01579578 daw
n03490649 handwheel
n04530566 watercraft
n03013580 shimmy
n07743723 wintergreen
n11542137 peat_moss
n13918717 trapezohedron
n03956922 industrial_plant
n03426462 gastroscope
n01931520 pinworm
n01726692 ophidian
n07721456 chili_pepper
n03495941 harpoon_gun
n04065464 recreation_room
n12166128 bottle_gourd
n02606384 demoiselle
n07897865 rioja
n01322604 puppy
n12086778 vanilla_orchid
n02431785 american_elk
n12237486 kalmia
n11700058 mayapple
n13043926 puffball
n04328329 storage_battery
n02952585 canteen
n01930852 ascaris_lumbricoides
n04004475 printing_machine
n12949361 kapuka
n11600372 cycad
n01379389 staphylococcus
n07870894 lobster_thermidor
n09308572 berg
n04300509 stamper
n02752615 supporter
n12126084 oryza_sativa
n07916437 old_fashioned
n11794519 duckweed
n03625943 knitwear
n07925500 tomato_juice
n07846471 condensed_milk
n01959492 tridacna_gigas
n04006411 probe
n04093625 skating_rink
n01818832 kea
n03103563 coonskin
n03227856 double_reed
n07803213 pearl_barley
n03875218 pigment
n12052787 coelogyne
n02404028 maverick
n03073545 columbarium
n02835724 bicycle_pump
n02803934 bass_fiddle
n12437513 kniphofia
n03826186 quonset_hut
n09406793 reef
n02042180 laughing_gull
n02938886 calculator
n03126385 crampon
n02286089 gipsy_moth
n05581932 cuticle
n03293863 equatorial
n03315644 cladding
n10474064 princess
n02217563 chalcid
n00446804 sparring
n02973904 carving_knife
n02570838 surfperch
n02414043 karakul
n01887623 bull
n03092166 hothouse
n04245218 scsi
n04274985 sphygmomanometer
n02957427 capstone
n04220250 silo
n04448070 toilet_water
n04583022 wickiup
n02113335 poodle
n03796974 muff
n13079073 monilia
n03817647 wrapper
n01697178 crocodile
n03871860 packing_plant
n04425977 third
n02379430 walking_horse
n03920737 petticoat
n01573074 meadowlark
n02933462 storage_locker
n03086670 concertina
n02921756 burglar_alarm
n10507482 rapper
n07905296 demerara
n01641739 green_frog
n12184912 pavonia
n11793403 malanga
n02797692 pedestal
n12682411 teasle
n03775747 mizen
n04225729 skate
n02843553 feeder
n02911332 buffer
n12365285 laurelwood
n03170872 deerstalker
n07905474 schnaps
n01593028 bushtit
n13141141 buckthorn
n02375438 stable_companion
n02920259 bunk
n07925966 ade
n09257843 cove
n07910970 kahlua
n02475669 modern_man
n12143215 emmer
n03047171 clockwork
n02854926 blouse
n12806732 sycamore
n03324928 fatigues
n03535284 hopper
n04979002 warning_coloration
n10316862 military_leader
n07686873 toast
n12332555 feijoa
n09459979 tor
n09245515 corrie
n02694426 warning_device
n02910864 buckskins
n03981094 bodkin
n04450465 tone_arm
n09245515 cirque
n07898895 tokay
n13919547 wedge
n02166229 bean_beetle
n03978966 polo_shirt
n00449168 speed_skating
n02129463 lioness
n12428076 martagon
n11965627 fleabane
n04961331 bone
n01982650 lobster
n02944075 camisole
n02473857 peking_man
n03168107 deck
n12368028 tutsan
n12392070 nettle
n03236735 dress
n04077889 research_center
n03778817 module
n03356279 flail
n11758276 acacia_pycnantha
n01531344 linnet
n07715561 squash
n07642471 preserves
n02983357 catchment
n03524150 hockey_stick
n04607869 wristwatch
n00468480 football
n12721477 palo_santo
n09893191 captain
n03837606 oast
n12749679 burning_bush
n01958346 littleneck
n03947466 pipe_wrench
n02283617 miller
n03035832 gittern
n04279063 spinning_jenny
n03108624 core_drill
n02407390 holstein
n04246855 smoking_car
n04567746 weather_ship
n01753032 puff_adder
n03819595 net
n12709103 shaddock
n01885498 anteater
n04278932 spinning_frame
n04455048 topknot
n07605804 panoche
n02527271 moray_eel
n01745125 elapid_snake
n02404573 bos_indicus
n02836607 bifocals
n12728656 dwarf_willow
n04089152 ridgepole
n12023108 feverfew
n01541386 redbird
n03361550 flats
n03844233 oil_paint
n12744387 litchi
n04404200 teleprinter
n02067240 cachalot
n11753700 white_clover
n07841495 boiled_egg
n04185529 sharpie
n04123567 bagging
n07890352 stout
n13137225 syconium
n04510706 universal
n03948830 pistol_grip
n04553389 wash
n03610524 kennel
n02966545 clawhammer
n07642471 conserve
n03603442 jungle_gym
n02813252 bay_rum
n12014355 artemisia_maritima
n07890617 kvass
n01981702 spider_crab
n06272290 telephony
n04207343 shoulder_bag
n04181718 shade
n12602262 eriogonum
n03156071 cyclotron
n02174659 cockchafer
n03905730 thole
n07811416 herb
n09472413 crater
n07938313 soul_food
n02359324 prairie_dog
n04460130 tower
n09931640 handler
n01732614 corn_snake
n03236217 dredge
n12911673 tomatillo
n00444340 jackknife
n03739518 health_facility
n03551395 hydraulic_press
n03637181 lamppost
n04068601 reflector
n04596492 witness_stand
n04469813 aerial_tramway
n03996004 power_pack
n01558461 redwing
n06267145 newspaper
n03381450 force_pump
n02995345 processor
n12494794 delonix_regia
n03956331 epicyclic_gear
n12836862 phacelia
n11656123 huon_pine
n11622591 subalpine_fir
n06267991 yellow_journalism
n12774641 sapodilla
n03109693 quoin
n12217851 grevillea_banksii
n04024983 punt
n10227266 junior
n03051540 wear
n02089232 dachshund
n02132788 kodiak
n07820145 rosemary
n03387323 foundation_garment
n02861509 bodkin
n08640531 resort_hotel
n12629666 loquat
n01903346 scute
n04486616 troika
n01850373 whistler
n03628728 kris
n11860555 bitterroot
n07768423 plantain
n04136161 sari
n11876634 cauliflower
n07903962 grappa
n03138669 diadem
n03794136 hair_gel
n04487724 troop_carrier
n04402984 telegraph_wire
n00454493 troll
n02692232 aerodrome
n02828427 belting
n04129766 sailor_suit
n02926591 bustle
n07906111 vodka
n06254669 medium
n06263609 print_media
n12270946 quercus_chrysolepis
n12278650 cork_oak
n02792409 bareboat
n02882301 bowling_ball
n07854066 limburger
n02629230 bonito
n03245724 bourdon
n11695974 cananga_odorata
n03350204 fish_bowl
n02670683 accelerator_pedal
n03327133 felucca
n03902220 pc_board
n02774152 bag
n04469813 tramway
n03613592 key
n03585438 chains
n02563792 bluegill
n01922717 helminth
n02523110 whiting
n03041114 cleat
n07572353 provisions
n04241249 slip_on
n03848033 open_circuit
n04343740 student_union
n02533834 anchovy
n10735984 ump
n03469031 gun_emplacement
n04082710 retaining_wall
n06255613 paper
n02745492 artificial_heart
n03365374 flood
n02975212 display_case
n03322704 green_market
n04189282 sheeting
n03120198 court
n02698473 alpaca
n01974773 crustacean
n02995345 cpu
n01694709 monitor_lizard
n03644378 lasso
n04113406 roulette_wheel
n03786715 mortar
n01560636 chat
n11994150 tarweed
n07588111 fish_chowder
n03306869 extension
n04158250 scythe
n01809752 hoatzin
n07900225 varietal
n01997825 ostracod
n00446411 in_fighting
n03622839 knee_brace
n04485884 triskelion
n02760855 automatic_rifle
n07750449 citron
n01375204 actinomycete
n12062781 chatterbox
n02557182 yellow_perch
n03389611 4wd
n12843557 lesser_calamint
n03943115 pinion
n04189816 sheetrock
n03063338 coffee_maker
n03159640 soapbox
n03339643 filter
n07900406 fortified_wine
n02028451 lesser_yellowlegs
n04103094 rolling_mill
n02797692 base
n03956922 works
n04358491 information_superhighway
n01527194 accentor
n03097673 control_key
n12330469 myrtle
n03407369 fuse
n04234455 slat
n14131950 herpes
n11752937 shamrock
n02867592 bomb
n07928163 cream_soda
n02777100 balance
n03405265 furnishing
n12321077 pecan
n12373100 papaya
n02813544 bazaar
n03064350 coffer
n02061853 diving_petrel
n12098403 plumbago
n02449350 glutton
n01925270 planaria
n03325941 stetson
n12641413 cherry
n11895092 radish
n04062428 lounger
n09210862 atoll
n01570267 ovenbird
n01803893 argus
n01326291 microorganism
n02257284 periodical_cicada
n03646020 latex
n07881800 drink
n01958531 geoduck
n03244047 driver
n02428089 puku
n13068434 bunt
n02991847 cellar
n02920259 bunk_bed
n03034663 buzz_saw
n03770834 miniver
n02934451 car
n07614198 frappe
n04469003 tramway
n07710616 irish_potato
n11537327 bryophyte
