n11845793 hedgehog_cactus
n02877962 bottle_opener
n11978233 sunflower
n01619536 condor
n03122073 covered_bridge
n12092262 pimpernel
n01480106 placoderm
n04533802 vcr
n02749670 assagai
n04139859 savings_bank
n02759387 autogyro
n04393095 tape_recorder
n11971248 gazania
n04586932 wind
n02863750 steam_boiler
n12065649 frog_orchid
n02022684 shorebird
n03983612 poplin
n04568557 web
n03957315 planter
n03826039 niqab
n02710044 firedog
n03931980 picture_rail
n02820210 bedding
n09218641 ben
n07763987 mangosteen
n05218119 remains
n03419014 garment
n04543509 wagon
n02872529 booster_station
n04340750 strongbox
n03581125 carrefour
n11904109 corydalis
n02523427 burbot
n07731122 coffee_substitute
n07884567 alcoholic_beverage
n03681477 lan
n03731019 mattock
n03128427 crazy_quilt
n03652729 lean_to
n02084732 barker
n04288272 spring
n07584423 borsch
n03927539 photostat
n03343047 fin_keel
n01922303 worm
n07581346 appetizer
n03430418 gazebo
n03085915 computer_system
n02803934 contrabass
n07893891 burgundy_wine
n02761034 automatic_transmission
n04381994 tableware
n11805956 sandwort
n03494537 organ
n02776205 lure
n03129753 credence
n03572631 inlay
n03035715 cistern
n07587023 potage
n04127904 canvass
n03309687 eyeshadow
n04972451 deep_brown
n07617708 plum_pudding
n04177820 settee
n07596684 sweet
n12276477 quercus_petraea
n02223266 termite
n03541696 hostelry
n07928887 root_beer
n12433178 shallot
n03365231 floatplane
n02088839 coonhound
n03511175 hedge
n02034661 longlegs
n04060647 receiving_system
n12493208 carob
n03797896 mulch
n02123478 angora
n02878222 bottom
n03814817 neckerchief
n07766530 mammee
n03986949 portmanteau
n13081999 dry_rot
n03615406 khaki
n03675235 linotype_machine
n02654425 trunkfish
n03471347 gusset
n11953038 chicory
n01617095 gyps_fulvus
n04305323 stately_home
n02393580 tapir
n01584225 wren
n12854048 horehound
n07726672 cowpea
n03504723 main_office
n03798061 mule
n12862828 patchouli
n01533651 serin
n03883054 panic_button
n12953484 osmunda_regalis
n03342015 fingerpaint
n04524594 velcro
n07765361 guava
n03264906 edger
n02715513 anteroom
n02495242 tree_shrew
n04261638 sound_camera
n07866723 egg_roll
n02766534 pusher
n11765568 honey_mesquite
n02036711 avocet
n03567066 brooder
n03068181 neckband
n02537319 brown_trout
n03924069 record
n03684823 engine
n03688943 observation_tower
n07574176 potluck
n00483313 singles
n03595409 jeroboam
n04363777 surcoat
n12124818 perennial_ryegrass
n07838073 gravy
n02695627 alcazar
n03302790 exercise_device
n03776997 mock_up
n02539424 lake_whitefish
n04453910 cover
n12305986 mountain_ash
n03360731 flat
n12117695 barnyard_grass
n04216634 screen
n02062017 aquatic_mammal
n02791665 barbican
n04123228 sackcloth
n04501837 turntable
n11657585 nagi
n12848499 hyssop
n03036022 city_hall
n02525382 torsk
n14765422 leopard
n01781570 acarus
n07751004 peach
n02447762 american_badger
n03431745 gearing
n02774630 luggage
n13900422 column
n01573360 western_meadowlark
n12548280 trefoil
n02770211 back_porch
n03073977 pillar
n12263204 castanea_sativa
n03085781 computer_store
n03449451 calabash
n09448690 creek_bed
n04266162 space_platform
n02922292 grave_mound
n12006766 coneflower
n07595649 cane_sugar
n03626272 pommel
n03889726 parasail
n03173929 delivery_truck
n01664990 hawkbill
n08518171 camping_site
n03326073 feedback_circuit
n02963987 cardroom
n07735294 scorzonera
n02167820 calosoma
n04043733 radio_receiver
n04227144 study
n03745146 zoological_garden
n02597367 whiting
n07840520 worcestershire
n01671125 gopher_tortoise
n04524941 velour
n02538562 salvelinus_alpinus
n02943241 camera_lens
n11733312 larkspur
n04215402 pavement
n07760501 tokay
n03123809 cow_barn
n07891433 sake
n02921884 sepulchre
n04235291 sledge
n03602365 joss_house
n00483605 doubles
n02197689 drosophila
n07866015 croquette
n04955160 burnish
n01680264 spiny_lizard
n03746005 menorah
n07693590 danish_pastry
n03900979 marquee
n03870980 pack
n01670802 giant_tortoise
n02197185 medfly
n03815149 necklet
n07759194 concord_grape
n00452293 hunting
n01554448 woodcreeper
n13007417 oyster_mushroom
n03145277 cuddy
n07623136 pastry
n02448060 meles_meles
n12621619 eglantine
n01712008 theropod
n02003204 marabou_stork
n03116008 couchette
n04407435 temple
n10304914 medalist
n03534776 hoover
n04290079 spun_yarn
n03620353 kitchenette
n04191595 shelter
n03009794 charnel
n12047345 brassavola
n12583401 palmetto
n02962200 carburetor
n03358172 photoflash
n01616086 sea_eagle
n04317063 sternwheeler
n02931148 cab
n11612349 mountain_pine
n02603317 barracuda
n01654637 xenopus_laevis
n02386496 draft_horse
n02759387 gyroplane
n02055803 penguin
n07804323 rice
n03503233 lintel
n07755929 cantaloupe
n13905792 crinkle
n04358874 superstructure
n11758799 red_sandalwood
n03582959 inverter
n11602873 dioon
n03253796 duffel
n03619196 kirtle
n11690455 petal
n04453156 toothbrush
n06272803 call
n00440382 broad_jump
n03342432 cot
n03394149 freight_elevator
n01589286 creeper
n09435739 sink
n03852280 optical_instrument
n04475900 trawl
n02176747 firefly
n04563413 waterwheel
n02003037 adjutant
n02392824 white_rhinoceros
n12737383 loranthaceae
n04397168 tea_chest
n00463543 hockey
n02557318 european_perch
n01537895 ortolan
n03309808 textile
n08571898 flea_market
n02895328 breast_pocket
n02757927 audiovisual
n04126852 safety_lamp
n01876667 bilby
n03450516 gown
n04469813 tram
n01555004 pitta
n03864139 overhand_knot
n02125081 felis_silvestris
n09896685 carpenter
n02571652 bigeye
n03662887 life_jacket
n04045085 radio_transmitter
n04541662 vomitory
n07840520 worcestershire_sauce
n12704041 oca
n04491388 nightstick
n07698782 wrap
n03088580 condo
n03914831 percale
n09245515 cwm
n02288268 looper
n02860415 reel
n04044307 radiotelegraphy
n02803934 double_bass
n04261506 body
n01807828 grey_partridge
n04250692 snood
n02395003 swine
n07572353 commissariat
n03819595 mesh
n01456756 sea_horse
n03354903 flag
n02823586 beer_garden
n03399971 fruit_machine
n03326948 magic_marker
n04244847 smack
n02881193 bowl
n11877860 swede
n04389521 tank
n03360133 flat_arch
n03038685 classroom
n03973402 pocket_flap
n13886260 bell
n06271778 telecom
n07851767 cottage_cheese
n02928608 button
n07567139 food_color
n12665271 woodruff
n03349296 firkin
n12011620 dusty_miller
n03988170 post
n12352639 musa_acuminata
n02047614 puffin
n13902793 taper
n02670683 throttle
n02251593 citrus_mealybug
n07557165 goody
n12664710 cinchona_bark
n01852671 muscovy_duck
n09376526 davy_jones
n04605321 worsted_yarn
n01971620 loligo
n03304197 exocet
n04452848 tooth
n09818022 spaceman
n03091374 connective
n02014941 rail
n05263448 attilio
n07854982 emmentaler
n09381242 outcrop
n04540397 voltage_regulator
n04011827 propellor
n02405929 aberdeen_angus
n07709333 greens
n01792955 sitter
n03999992 press
n07924655 must
n11855553 poke
n04181228 shackle
n03457451 greave
n04489008 trouser
n02613181 blenny
n03454707 grating
n11931918 aster
n03530910 cowl
n01813385 turtledove
n07672914 margarine
n03719053 manse
n03292475 epee
n01533893 crossbill
n12710295 tangerine
n02697221 a_line
n09445289 steppe
n09470222 vein
n03685820 rooming_house
n01527617 lark
n02841506 binocular_microscope
n12745386 rambutan
n03493219 hardtop
n03513137 helmet
n04268142 spark_arrester
n09283193 fomite
n04264914 spacecraft
n05218119 corpse
n02951703 canopic_jar
n01381044 strep
n07903543 applejack
n07745357 loganberry
n03668488 lightship
n03124474 cowl
n04962062 silver
n01769347 arachnoid
n02982416 catboat
n04044307 wireless_telegraph
n04552551 war_room
n04183957 shank
n05458576 oocyte
n03159640 pulpit
n03497100 hash_house
n03592931 jammer
n03614782 keyhole
n02112826 welsh_corgi
n09874862 bridesmaid
n02740533 armored_vehicle
n12321873 shagbark_hickory
n03201638 formal
n03543603 hot_tub
n02184720 cootie
n04488530 trouser
n04317976 control_stick
n07869937 kedgeree
n15090065 retinol
n04468005 train
n12403513 sycamore_fig
n01321456 adult
n02924116 omnibus
n02472293 human_being
n02986160 cattle_guard
n10142747 granny
n15092227 ergocalciferol
n01392380 ameba
n10298912 skipper
n04043733 radio
n11835251 greasewood
n02576906 crevalle_jack
n12733647 aspen
n07747055 citrus
n03751065 mess_hall
n03493792 ironware
n03891051 windbreaker
n03409591 gable_roof
n03656484 lens
n07565161 chow
n04134632 sandglass
n12329260 crape_myrtle
n03508101 heater
n11728099 cowslip
n03378442 foot
n01314388 pest
n07560542 kosher
n04566257 arms
n03024064 choir
n12409840 sugarberry
n07767171 mulberry
n03487886 hand_pump
n12301180 olea_europaea
n02736798 argyle
n04025633 purdah
n03431243 gear
n04401680 telephone_box
n07917133 sazerac
n01504344 baby_bird
n03224603 dormer_window
n01794344 tom
n04543158 wagon
n02917521 bullion
n04471148 transept
n03004824 bema
n03146687 cullis
n04419073 theodolite
n02535537 atlantic_salmon
n04193377 shift_key
n11919761 ambrosia_artemisiifolia
n12274358 quercus_macrocarpa
n03950899 topi
n13163553 deadwood
n03601638 jointer
n01612275 merlin
n11916696 yarrow
n02034661 stilt
n04251791 snowboard
n03376159 sheep_pen
n11615607 jack_pine
n02430830 fawn
n04408871 patch
n02758960 autoclave
n13108323 pollard
n04097373 roadster
n03154895 cutwork
n12401335 fig_tree
n04164406 second_base
n04089836 riding_crop
n02244173 assassin_bug
n07712559 crisp
n04185804 shaver
n07843636 fried_egg
n01583209 butcherbird
n02024763 lapwing
n00452152 cockfighting
n03262932 easy_chair
n01734808 milk_snake
n02168427 glowworm
n02435216 musk_deer
n13133932 spadix
n02333909 black_rat
n04121511 sabre
n04457910 torque_wrench
n02382132 hack
n02889996 master_cylinder
n03674270 link
n02087551 hound_dog
n03090000 conference_table
n02869563 boneshaker
n13907272 crack
n00825773 judo
n02760429 automatic_gun
n12631331 avens
n02983507 caterpillar
n12684379 celandine
n03344509 firebox
n14810561 choline
n02404186 beef
n12656369 framboise
n02583567 characin
n03266371 eggbeater
n02238594 lace_bug
n01858441 swan
n10721321 traffic_cop
n03924069 platter
n07847827 heavy_cream
n03322704 greenmarket
n01323155 kit
n04394630 tarmacadam
n11733054 delphinium
n12564083 winged_bean
n03781055 molotov_cocktail
n02958343 car
n03086457 concert_grand
n12261808 white_beech
n12649317 japanese_cherry
n02907873 brownstone
n06267893 rag
n02024763 peewit
n01592694 tomtit
n03963028 plating
n02604954 spadefish
n04457157 torpedo
n03007297 frat_house
n07821610 tarragon
n02946824 camshaft
n02285179 codling_moth
n02958343 machine
n02936570 kaftan
n04102162 rollerblade
n05584746 hangnail
n04586932 wind_instrument
n02670683 gas_pedal
n07816164 basil
n10149867 turnkey
n12735160 santalum_album
n06419354 collegiate_dictionary
n02341974 water_rat
n08547544 crest
n07902520 moonshine
n07840672 coconut_milk
n12877244 snapdragon
n03724538 five_iron
n12621619 briar
n03272239 electric_heater
n01710177 diplodocus
n01444339 electric_eel
n13901321 tube
n03813946 nebuchadnezzar
n02677718 action
n02386224 hackney
n04412416 teepee
n02627292 bluefin_tuna
n01744100 reticulated_python
n07683360 bannock
n12933274 wild_celery
n04172776 sentry_box
n03781787 monitor
n04529962 tail_fin
n03171356 defense
n03038281 clasp
n04004475 printer
n03827536 noisemaker
n02276355 red_admiral
n02387722 poster
n02049088 diver
n04282872 split_rail
n02658531 plaice
n11985053 iva
n03262932 lounge_chair
n11783920 anthurium
n02425228 bushbuck
n02990373 ceiling
n03819448 nest_egg
n12684379 jewelweed
n07899976 generic
n02278210 fritillary
n02625851 king_mackerel
n12402051 ficus_aurea
n01323493 dam
n00449517 auto_racing
n12558230 lima_bean
n03732114 mausoleum
n01748906 hamadryad
n08618831 perihelion
n01857325 brent_goose
n12086012 vanda
n07688757 dodger
n02195526 clegg
n02708711 analyser
n02838345 bilge_pump
n00483705 real_tennis
n04023249 punch
n02127381 canada_lynx
n03397947 frisbee
n03743279 megaphone
n11770256 dita
n01664990 hawksbill
n04393095 tape_machine
n12061380 butterfly_orchid
n02089555 foxhound
n02393161 black_rhinoceros
n01639765 anuran
n04365484 surveying_instrument
n02694662 alarm_clock
n01845132 waterfowl
n02847461 blackjack
n07572957 canned_foods
n02380052 lipizzan
n08640531 resort
n01965889 escallop
n12421917 jonquil
n03159640 podium
n11533212 basidiocarp
n12385830 weld
n03357716 flaps
n03070854 collimator
n02766534 baby_carriage
n02407071 durham
n07801779 alfalfa
n03405111 furnace_room
n08685188 zodiac
n03984381 porch
n07932841 tea
n02803934 string_bass
n02851099 blind
n13864035 bulb
n02715513 hall
n07815839 black_pepper
n11664418 ginkgo
n03411927 gallery
n12950126 valerian
n03905947 peg
n11685621 silique
n04227900 skewer
n03530189 homing_torpedo
n04371563 bathing_suit
n03002711 chaise
n02714535 anode
n11944954 carduus_nutans
n06255081 vehicle
n07601290 orange_peel
n04445952 toggle_switch
n03041265 cleat
n10147710 grocer
n07643026 lemon_curd
n02750169 assembly_plant
n12455950 gloriosa
n11722982 aconite
n12451915 fritillary
n01634227 olm
n13579829 cordage
n02805283 baster
n07895100 pinot_blanc
n07904865 grog
n04026053 purifier
n03490649 handwheel
n03610682 kepi
n04530566 watercraft
n12622875 agrimony
n07614348 sorbet
n02243562 water_strider
n03903424 pedal
n07758680 grape
n11542137 peat_moss
n03164722 davenport
n03553019 foil
n03956922 industrial_plant
n00021265 nutrient
n02606384 demoiselle
n04065464 recreation_room
n07897865 rioja
n04192238 shelter
n01322604 puppy
n12086778 vanilla_orchid
n04507453 undercarriage
n02780315 roller_bearing
n02431785 american_elk
n12237486 kalmia
n04328329 storage_battery
n02952585 canteen
n04004475 printing_machine
n01315581 ectotherm
n07866868 eggs_benedict
n01379389 staphylococcus
n07870894 lobster_thermidor
n09308572 berg
n02752615 supporter
n07916437 old_fashioned
n07925500 tomato_juice
n07846471 condensed_milk
n04093625 skating_rink
n03227856 double_reed
n07803213 pearl_barley
n03875218 pigment
n12052787 coelogyne
n04967191 greenness
n02404028 maverick
n02803934 bass_fiddle
n12437513 kniphofia
n02283951 tortricid
n03826186 quonset_hut
n01693783 chamaeleon
n02109811 sled_dog
n09406793 reef
n04094720 riser
n02042180 laughing_gull
n02938886 calculator
n03126385 crampon
n04101701 roller
n03293863 equatorial
n01804653 northern_bobwhite
n01838598 woodpecker
n03315644 cladding
n04052442 cattle_ranch
n10474064 princess
n02217563 chalcid
n04461879 toy
n00446804 sparring
n02973904 carving_knife
n02570838 surfperch
n02414043 karakul
n01448951 poeciliid
n01887623 bull
n04245218 scsi
n04274985 sphygmomanometer
n04220250 silo
n03505504 headscarf
n04583022 wickiup
n02113335 poodle
n11706942 persea_borbonia
n13079073 monilia
n03796974 muff
n04375615 synchronous_motor
n03824713 night_light
n01697178 crocodile
n03627954 hinge_joint
n12585629 borassus_flabellifer
n04425977 third
n02379430 walking_horse
n04441662 tithe_barn
n03920737 petticoat
n01573074 meadowlark
n01576076 golden_oriole
n02921756 burglar_alarm
n03232309 drainage_ditch
n10507482 rapper
n12858397 beebalm
n12184912 pavonia
n11793403 malanga
n02797692 pedestal
n12682411 teasle
n03708962 magnetron
n07759576 scuppernong
n02843553 feeder
n03385295 formica
n07740855 jonathan
n02911332 buffer
n12365285 laurelwood
n03170872 deerstalker
n03578251 icbm
n01748906 king_cobra
n02920259 bunk
n07925966 ade
n03714235 makeup
n07910970 kahlua
n03047171 clockwork
n02854926 blouse
n03782190 monitoring_device
n03324928 fatigues
n03535284 hopper
n04979002 warning_coloration
n10316862 military_leader
n07686873 toast
n12332555 feijoa
n09459979 tor
n09245515 corrie
n02694426 warning_device
n04103665 roll_on
n02910864 buckskins
n04175147 server
n02125081 european_wildcat
n03502509 headdress
n09245515 cirque
n03364008 thong
n07898895 tokay
n13919547 wedge
n03429137 gatling_gun
n12642600 gean
n02166229 bean_beetle
n07922764 hot_chocolate
n12753573 red_maple
n03978966 polo_shirt
n00449168 speed_skating
n02129463 lioness
n01886756 placental
n12428076 martagon
n02388143 pacesetter
n02509515 coati
n04961331 bone
n03695452 luff
n02944075 camisole
n02473857 peking_man
n03168107 deck
n12368028 tutsan
n12392070 nettle
n00021265 food
n03778817 module
n03356279 flail
n11758276 acacia_pycnantha
n01531344 linnet
n12455950 gloriosa_superba
n07715561 squash
n13908201 cleft
n01605630 hawk
n03500699 haymaker
n03129636 creche
n07642471 preserves
n02689274 air_rifle
n03033362 electrical_circuit
n12721477 palo_santo
n03663531 flotation_device
n03959701 shell
n09893191 captain
n03837606 oast
n01796729 moorhen
n01958346 littleneck
n09326662 knoll
n03154073 cutter
n02283617 miller
n03390786 fraise
n03035832 gittern
n04018667 public_lavatory
n04279063 spinning_jenny
n02599347 weakfish
n07757312 black_cherry
n01753032 puff_adder
n03819595 net
n07736813 cocoyam
n04455048 topknot
n01885498 anteater
n04278932 spinning_frame
n07605804 panoche
n12728656 dwarf_willow
n04089152 ridgepole
n02406533 brown_swiss
n07922147 perry
n01541386 redbird
n04140777 sawmill
n03361550 flats
n11616852 jersey_pine
n04404200 teleprinter
n01521756 nandu
n04968056 emerald
n11753700 white_clover
n07841495 boiled_egg
n04185529 sharpie
n04123567 bagging
n07890352 stout
n04577293 wherry
n04118021 rug
n03801533 music_hall
n03519387 high_rise
n04510706 universal
n07565259 board
n03948830 pistol_grip
n03610524 kennel
n02966545 clawhammer
n07642471 conserve
n03603442 jungle_gym
n09442595 tongue
n12014355 artemisia_maritima
n02813252 bay_rum
n07890617 kvass
n01981702 spider_crab
n06272290 telephony
n04207343 shoulder_bag
n04181718 shade
n12602262 eriogonum
n03156071 cyclotron
n02174659 cockchafer
n13173488 leatherleaf
n03905730 thole
n07811416 herb
n07938313 soul_food
n07807594 potato_salad
n02359324 prairie_dog
n04460130 tower
n01732614 corn_snake
n03661340 lid
n03236217 dredge
n00444340 jackknife
n03739518 health_facility
n02000954 wading_bird
n03637181 lamppost
n04068601 reflector
n04596492 witness_stand
n04469813 aerial_tramway
n11609475 pinyon
n03996004 power_pack
n01558461 redwing
n04190997 racing_shell
n06277135 radiocommunication
n07697699 sloppy_joe
n03956331 epicyclic_gear
n12836862 phacelia
n12494794 delonix_regia
n11622591 subalpine_fir
n06267991 yellow_journalism
n12774641 sapodilla
n02734725 architecture
n12217851 grevillea_banksii
n10227266 junior
n01947396 whelk
n02132788 kodiak
n07820145 rosemary
n03387323 foundation_garment
n07618119 duff
n08640531 resort_hotel
n12629666 loquat
n13907272 fissure
n02610066 tautog
n04475749 trawl
n01850373 whistler
n03628728 kris
n11860555 bitterroot
n07768423 plantain
n04136161 sari
n07903962 grappa
n01689081 spiny_lizard
n01977485 stone_crab
n04402984 telegraph_wire
n00454493 troll
n02828427 belting
n03736064 meat_grinder
n02926591 bustle
n07906111 vodka
n06254669 medium
n03870290 artificial_pacemaker
n12270946 quercus_chrysolepis
n12278650 cork_oak
n00471613 baseball_game
n01558594 merl
n04209811 showroom
n02629230 bonito
n03350204 fish_bowl
n07745046 boysenberry
n02670683 accelerator_pedal
n03327133 felucca
n03902220 pc_board
n02774152 bag
n04469813 tramway
n03613592 key
n03585438 chains
n02563792 bluegill
n01565599 sedge_warbler
n07572353 provisions
n04241249 slip_on
n03848033 open_circuit
n04343740 student_union
n10735984 ump
n04082710 retaining_wall
n02745492 artificial_heart
n02975212 display_case
n03322704 green_market
n07692517 bialy
n03120198 court
n04189282 sheeting
n01974773 crustacean
n02698473 alpaca
n01694709 monitor_lizard
n11812910 sandwort
n03644378 lasso
n04294426 stabilizer
n01560636 chat
n03391613 frame_buffer
n03306869 extension
n04158250 scythe
n01809752 hoatzin
n07900225 varietal
n03622839 knee_brace
n07896661 macon
n04485884 triskelion
n07750449 citron
n01375204 actinomycete
n03079136 compact
n12062781 chatterbox
n03056583 coaming
n02557182 yellow_perch
n03235042 drawing_room
n03943115 pinion
n04189816 sheetrock
n03063338 coffee_maker
n03135030 croquet_mallet
n01814921 homer
n03159640 soapbox
n03339643 filter
n12495146 locust
n07900406 fortified_wine
n02028451 lesser_yellowlegs
n10297234 mascot
n02797692 base
n03956922 works
n01527194 accentor
n03431243 gear_mechanism
n03097673 control_key
n04234455 slat
n11752937 shamrock
n02867592 bomb
n07928163 cream_soda
n02777100 balance
n03405265 furnishing
n12321077 pecan
n02026629 surfbird
n12373100 papaya
n02813544 bazaar
n03064350 coffer
n12098403 plumbago
n01316422 scavenger
n03325941 stetson
n12641413 cherry
n04062428 lounger
n09210862 atoll
n01803893 argus
n02257284 periodical_cicada
n03646020 latex
n07881800 drink
n03244047 driver
