n03158668 dado
n01368672 klebsiella
n02986160 cattle_guard
n12407222 dutch_elm
n07567139 food_color
n10618342 soccer_player
n03668803 lilo
n03517760 hi_fi
n03347617 fire_tower
n01797601 sage_grouse
n02132580 silvertip
n09249034 col
n13103877 snag
n03994614 powder_horn
n02414763 argali
n02885108 boxcar
n01915700 sea_pen
n03249342 pharmacy
n04285965 suv
n01560935 whinchat
n02136103 bearcat
n11986511 lactuca_sativa
n05245192 lentigo
n04070415 refractometer
n02281136 large_white
n03522100 hip_roof
n08494231 funfair
n04953678 iridescence
n07874441 sicilian_pizza
n02079851 common_seal
n13155095 bracteole
n13108545 shade_tree
n11958499 brass_buttons
n04525821 venn_diagram
n03402941 funeral_parlor
n02321170 feather_star
n13898207 conformation
n00447463 bobsledding
n04146976 school_system
n12479537 dracaena
n02417785 markhor
n02253127 greenfly
n12002428 butterbur
n07908923 chartreuse
n02380745 bronc
n02582721 pomfret
n03304197 exocet
n03704834 magic_lantern
n02084732 pooch
n15093298 ascorbic_acid
n03348868 firing_chamber
n13108323 pollard
n04126852 safety_lamp
n12915140 lantana
n12585629 borassus_flabellifer
n02423589 springbok
n07607361 licorice
n03249342 drugstore
n12304286 swamp_ash
n02730568 appointment
n03738472 mechanism
n09443281 spoor
n01469103 sea_squirt
n07616386 parfait
n00478262 soccer
n02842573 biplane
n11846765 epiphyllum
n02588794 margate
n04070207 refracting_telescope
n09462600 troposphere
n02692086 prop
n03912821 penthouse
n11625632 white_spruce
n03307792 external_drive
n04381860 tabletop
n12139196 broomcorn
n02336826 vesper_mouse
n04303357 tacker
n04225222 six_pack
n02338145 muskrat
n02995871 centrifugal_pump
n07722888 red_onion
n04265428 space_helmet
n09208496 asterism
n02762508 autostrada
n03577312 integrator
n03212406 distaff
n07899769 vouvray
n03102516 coolant_system
n01415626 eukaryote
n02428089 puku
n00444937 snorkeling
n02338145 musquash
n02421449 gnu
n13884930 cuboid
n07838811 mushroom_sauce
n12876899 figwort
n11690088 peach_pit
n03272810 power_meter
n07700003 spaghetti
n07741357 pearmain
n05468739 oligodendrocyte
n12455950 gloriosa
n02873623 boot_camp
n02875948 borstal
n02519862 blue_catfish
n01857632 honker
n02439398 okapi
n04023695 punch_bowl
n03732020 mauser
n03989349 postern
n04975739 complementary_color
n12898342 belladonna
n12277578 common_oak
n03326475 fell
n07877675 steak_tartare
n02392434 indian_rhinoceros
n03723267 marquetry
n01999767 peripatus
n12218274 grevillea_robusta
n01339083 hs1
n02822762 beefcake
n04419642 theremin
n07897116 retsina
n03858183 otoscope
n02869249 castanets
n12058822 dactylorhiza_fuchsii
n03386544 foucault_pendulum
n12625383 cotoneaster
n04441093 tire_iron
n09245515 cwm
n12552309 sainfoin
n03980026 pomade
n13154494 frond
n03016737 chicken_run
n12023726 tanacetum_vulgare
n03152303 customhouse
n02871963 throwing_stick
n02660640 pacific_halibut
n01756089 prairie_rattlesnake
n04443433 toboggan
n05467054 glia
n02377291 stud
n02059852 giant_petrel
n03340723 finder
n06273986 local_call
n12351091 achira
n07605804 penuche
n04492749 truss_bridge
n03764822 milk_float
n03188290 diamante
n11782761 amorphophallus
n02375438 stable_companion
n03801533 vaudeville_theater
n02632039 spearfish
n03294604 eprom
n00449517 auto_racing
n03653740 lecture_room
n04299963 stamp
n02776205 lure
n03005285 pendent
n02530999 allis
n04367371 suture
n01972131 giant_squid
n01386007 pathogen
n03616428 kickstand
n03055857 coach_house
n01914830 actinia
n04324515 stocks
n07868200 french_toast
n07826653 aniseed
n11676850 gynophore
n02023992 killdeer
n02880546 string
n03779884 moldboard
n07643200 strawberry_jam
n05244755 bacterial_plaque
n08517676 bus_stop
n04320598 stink_bomb
n04529962 tail_fin
n01319685 bycatch
n01559477 hermit_thrush
n02734835 architrave
n03718458 manor_house
n04445154 toga_virilis
n08633683 waterfront
n07852919 american_cheese
n01555305 scissortail
n02122580 stray
n07721325 hot_pepper
n03487533 hand_luggage
n04532831 vibraphone
n04973020 tan
n10803978 yogi
n07924655 must
n03904433 pedicab
n04255899 adobe_house
n07904637 sloe_gin
n03586631 ironmongery
n01380754 pneumococcus
n03610524 kennel
n02414763 argal
n12793015 saxifrage
n03548086 hubcap
n07928696 coca_cola
n08613733 open_air
n12393269 ramie
n12610328 water_hyacinth
n03823312 nicad
n15089803 vitamin_a
n12934036 astrantia
n04020912 pullman
n02780815 tutu
n11646694 bunya_bunya
n03416775 garand_rifle
n04395106 plaid
n02950943 round_shot
n01533339 canary
n07866723 spring_roll
n13102775 tendril
n01618503 secretary_bird
n03488887 handstamp
n02686379 air_conditioner
n02916179 dozer
n07696527 butty
n09224725 bluff
n11906127 golden_cup
n12604228 rumex_acetosa
n04123228 sackcloth
n02180875 rove_beetle
n03547397 howdah
n03543603 hot_tub
n01847978 black_duck
n04301760 stick_shift
n07922147 perry
n02454794 dasypus_novemcinctus
n02579928 permit
n02445004 river_otter
n02146371 brown_bat
n04164757 second_hand
n12814643 catalpa
n04189816 sheetrock
n07567139 food_coloring
n12402596 bo_tree
n04538249 viscometer
n12133462 prairie_grass
n09990777 dance_master
n04250473 snips
n04000592 press_box
n03484809 hand_drill
n03260206 dye_works
n03379204 football_stadium
n01340522 polyoma_virus
n01998741 acorn_barnacle
n04261281 souk
n03900194 patrol_boat
n02379430 walking_horse
n12723062 coville
n03147280 culvert
n13882276 hexagon
n00467320 horseshoes
n13079567 candida_albicans
n03508881 heating_pad
n12754468 vine_maple
n03811965 naval_gun
n02879309 dress_shop
n07720084 sugar_beet
n01643896 crapaud
n07741235 northern_spy
n14820180 concrete
n07888229 pilsener
n07611046 compote
n07765208 elderberry
n02771286 backstay
n04436992 time_capsule
n12117017 crabgrass
n03981924 donkey_cart
n12922763 croton
n02764505 axe_head
n03052464 clothing_store
n03331077 fez
n04121426 rya
n12449296 camas
n03241335 bubbler
n12552893 restharrow
n03225458 dosimeter
n06273555 call_in
n03034244 breaker
n12861345 phlomis
n07879450 sushi
n01424420 plasmodium
n10721321 traffic_cop
n01541102 pine_grosbeak
n02089232 dachshund
n02190790 musca_domestica
n03374649 flywheel
n01890860 shrew_mole
n12546962 wild_lupine
n12733870 quaking_aspen
n02405929 angus
n03835197 nude
n02758863 autobahn
n05604434 abdominal_wall
n04233295 skywalk
n03171635 defibrillator
n04002629 primary_coil
n01537895 ortolan
n12732009 abele
n04305210 statehouse
n09206896 arroyo
n04255899 sod_house
n01734808 house_snake
n04328580 secondary_cell
n02030035 ruff
n11552133 cryptogam
n01606522 goshawk
n01477875 sea_lamprey
n02337001 peromyscus_maniculatus
n02705429 amphora
n03497352 hasp
n12176953 upland_cotton
n10229883 keyboardist
n03981760 pontoon_bridge
n01992773 amphipod
n04244379 penstock
n02513248 rough_fish
n02291748 clothes_moth
n12691661 gumbo_limbo
n07928163 cream_soda
n04290259 spur
n00470554 professional_football
n07871588 porcupines
n03517509 hibachi
n03270695 electric_bell
n02918112 bullring
n04224543 sister_ship
n12374418 rock_rose
n03726516 spectrometer
n03868406 oxford
n02967626 underlay
n12782915 dionaea_muscipula
n10007995 desk_clerk
n01850873 canvasback
n03699754 machicolation
n04401680 telephone_booth
n04045397 raft
n12945177 water_parsnip
n08521623 necropolis
n10634849 speedskater
n02375438 stablemate
n11625003 norway_spruce
n03089477 cone_clutch
n04385536 tailpipe
n01857325 brent_goose
n01632601 tiger_salamander
n03405111 furnace_room
n01579260 raven
n04566756 weathercock
n01446760 killifish
n07868340 fried_rice
n02749670 assegai
n07847917 light_cream
n02937010 cagoule
n07827750 poppy_seed
n09283866 foreshore
n02512752 fingerling
n02983357 catchment
n02922798 gunny
n01438581 loach
n01035504 last_supper
n12766869 toxicodendron_radicans
n04525191 velveteen
n03565830 in_basket
n04282494 splint
n12991184 cladonia_rangiferina
n13205058 nephrolepis_exaltata
n01839086 green_woodpecker
n03309465 eyepiece
n04125257 lockbox
n04615644 zoot_suit
n02378870 prancer
n07586099 marmite
n03518135 highball_glass
n02332156 mus_musculus
n03367410 florist
n13132940 cyme
n07612137 pavlova
n11695974 cananga_odorata
n04541662 vomitory
n03345837 fire_extinguisher
n03123809 cow_barn
n04304215 spaceship
n07903543 applejack
n04590553 windshield
n04176295 servomechanism
n04969798 turquoise
n01664990 hawkbill
n04409384 tenement_house
n07896422 dubonnet
n03342127 finger_painting
n12753762 striped_maple
n02739550 armoire
n07893425 sacramental_wine
n11602478 ceratozamia
n04102618 roller_skate
n03844965 oil_slick
n04574348 whaleboat
n04086663 rheometer
n08256735 wedding
n03326795 felt
n03738066 pianola
n15091669 pyridoxamine
n03758992 microbrewery
n04289576 spritsail
n12399384 white_mulberry
n12269406 quercus_agrifolia
n02213543 vespula_vulgaris
n04012482 propjet
n03087245 diffusion_pump
n04220805 silver_plate
n04962062 silver
n12937130 daucus_carota
n03250588 smoother
n07618119 duff
n02771004 backspacer
n03228365 doubletree
n02885882 ticket_booth
n02930214 bvd
n01539925 house_sparrow
n03697913 lungi
n03052917 clout
n03534776 hoover
n03356446 flambeau
n02115096 jackal
n04449449 toll_bridge
n11916696 achillea_millefolium
n03423306 gas_gun
n04036303 qwerty_keyboard
n01690466 glass_lizard
n07858978 honey
n03649674 lawn_chair
n07628068 phyllo
n00324978 tightrope_walking
n02895008 breast_implant
n11628793 pseudotsuga_menziesii
n03193107 diesel_motor
n03028596 church_bell
n03991202 potbelly
n01813088 wood_pigeon
n03086580 concert_hall
n11616852 jersey_pine
n04209509 shower_room
n04278605 spinner
n03475581 hairbrush
n01315581 ectotherm
n03567066 brooder
n02241008 backswimmer
n13108481 sapling
n12286826 hornbeam
n03005515 chandlery
n11717399 nelumbo_nucifera
n12163035 briony
n11628456 douglas_fir
n01830479 wood_hoopoe
n12765846 spondias_mombin
n12906498 mandrake
n01394492 arcella
n02970408 tote_bag
n02557182 yellow_perch
n01710177 diplodocus
n12957803 nardo
n03394149 service_elevator
n03375171 foghorn
n03034405 circuitry
n03460297 grindstone
n03781055 molotov_cocktail
n02822579 bedstead
n01876326 bandicoot
n03215076 divan
n02766168 babushka
n09436708 sky
n07869937 kedgeree
n12965626 ergot
n03731019 mattock
n03530511 hone
n04486616 troika
n11683838 nectary
n05451384 lymphocyte
n03122073 covered_bridge
n11609475 pinon
n03767203 mill_wheel
n03097535 control_circuit
n02907082 broom_handle
n03668279 light_pen
n11686912 sporophyte
n04306592 stator
n07871436 meatball
n03420801 garrison_cap
n07775197 sunflower_seed
n13192625 shield_fern
n11610215 pinus_monophylla
n01856553 greylag_goose
n01557185 thrush
n03923564 phillips_screw
n11769803 golden_trumpet
n07852229 stilton
n12387103 halophyte
n02276355 red_admiral
n01792429 cockerel
n03693860 lowboy
n12124818 perennial_ryegrass
n03170635 freezer
n04963588 deep_red
n03391613 frame_buffer
n11759853 saman
n04963588 ruby
n12908093 nicotiana_rustica
n02816768 beanie
n03521076 hinge
n02217563 chalcid_wasp
n01318279 hatchling
n02950018 cannery
n10655594 steward
n02878628 boule
n07816296 bay_leaf
n02808968 bathysphere
n12402596 pipal_tree
n01931520 threadworm
n04373089 switchblade
n01479213 eptatretus
n01742447 rubber_boa
n13911045 node
n03503477 head_gasket
n04066270 red_carpet
n03066359 coil_spring
n00451635 motorcycling
n01533893 crossbill
n04110178 rosette
n07768230 bartlett
n03140126 crucible
n03492087 hansom
n07861247 pancake_batter
n04204755 short
n04307878 steakhouse
n04102406 big_dipper
n10769188 laundress
n01334217 variola_major
n03492250 harbour
n02536456 chinook
n05469861 dendrite
n12596709 royal_palm
n03664159 life_support
n03262932 easy_chair
n11657585 nagi
n07580253 special
n11676500 pistil
n03228533 douche
n02652132 butterflyfish
n13150894 peperomia
n02932693 economy_class
n10735984 ump
n03767459 mimeograph_machine
n01714231 allosaurus
n04087709 ribbed_vault
n03674731 link_trainer
n07845087 formula
n03303217 exhaust_fan
n03385295 formica
n03178674 derringer
n03533014 chicha
n04070964 refrigerator_car
n02536165 sockeye
n04581102 whitewash
n02046939 black_guillemot
n12583401 palmetto
n02420509 black_buck
n08614632 fairground
n02942147 cambric
n02146201 red_bat
n04257790 solar_panel
n07913537 virgin_mary
n03177059 departure_lounge
n07883384 elixir
n03282401 embellishment
n02003037 adjutant
n02775689 bailey
n14900342 blood_agar
n01339801 cmv
n07579917 adobo
n02208498 killer_bee
n02817650 beater
n02150134 mastiff_bat
n03175983 dental_implant
n12980840 downy_mildew
n12762896 sumach
n04075715 rendering
n07619004 custard
n03415252 gamp
n10735984 umpire
n02759700 autoinjector
n12733870 populus_tremula
n11791341 philodendron
n03616763 kick_starter
n03415252 brolly
n04329681 storm_cellar
n04404200 teleprinter
n02147947 pipistrelle
n12261571 copper_beech
n01615458 erne
n03463381 first_floor
n03607659 kalashnikov
n09445289 steppe
n07605804 panoche
n02960903 carafe
n03280394 electrostatic_generator
n02739427 armlet
n04969952 royal_blue
n03876111 paintbox
n03707372 magnetic_needle
n11602873 dioon
n12113195 feathertop
n01952712 physa
n03174731 demitasse
n04251701 snowbank
n03431570 gearbox
n04157099 scullery
n04371979 swing_door
n01841102 sapsucker
n04422409 fusion_reactor
n12320627 pignut
n07814203 cinnamon
n01979874 blue_crab
n03785237 moquette
n01964271 mytilus_edulis
n12045860 arethusa
n03289985 ensemble
n01558149 song_thrush
n07803779 cracked_wheat
n04393549 tapis
n12584191 areca
n03119203 country_store
n11712282 liriodendron_tulipifera
n04442441 toaster_oven
n02823335 beer_barrel
n07752514 dried_apricot
n02080146 harp_seal
n12475774 pia
n04564278 wattmeter
n03096439 contrabassoon
n03220237 dolmen
n03260504 dynamo
n04224395 siren
n02631330 blue_marlin
n03858085 ossuary
n04458201 torture_chamber
n10253296 legal_representative
n13028611 cup_fungus
n12643313 myrobalan
n02340640 rice_rat
n01543383 whydah
n02940385 call_centre
n08500819 interplanetary_space
n02961544 car_bomb
n01665932 snapping_turtle
n01655344 caecilian
n02618827 dragonet
n03888022 parabolic_reflector
n02178717 boll_weevil
n12928307 candelilla
n03643737 laser_printer
n04266968 spaghetti_junction
n01847806 mallard
n02377603 broodmare
n02961035 khan
n03269073 electrical_contact
n02447762 american_badger
n02170400 carpet_beetle
n06596845 trade_magazine
n02499808 galago
n05526957 prepuce
n03695753 luge
n03890358 pargetting
n02856237 blunderbuss
n03836976 nylons
n01322604 puppy
n01536644 song_sparrow
n01961985 pearl_oyster
n12624568 japonica
n03201638 formal
n08555710 crawlspace
n04419868 thermal_printer
n01322685 cub
n02395694 piggy
n04206570 shotgun_shell
n01392380 amoeba
n03821518 newel
n02998841 chadar
n12708941 bergamot
n04285965 sport_utility
n04025633 purdah
n03505015 headrace
n03460147 grinding_wheel
n12865824 ramona
n03859608 outfall
n10772092 weatherman
n03772584 minute_hand
n03231368 drawing_table
n02093056 bull_terrier
n02008041 heron
n12682411 teasel
n11685621 siliqua
n03724066 mascara
n02428508 gemsbok
n00446311 professional_boxing
n02305929 cinnabar
n11542137 peat_moss
n02023992 kildeer
n07918028 sour
n03522990 hitching_post
n04386792 talcum_powder
n07935504 water
n04112252 rotary_wing
n14698884 crushed_rock
n04084889 revere
n02708711 analyzer
n07599649 bonbon
n01593553 verdin
n02325722 eastern_cottontail
n04318892 stiletto
n01987076 pistol_shrimp
n07857170 miso
n02669295 abutment
n01844551 quetzal
n12290748 centaury
n11926365 silversword
n02215770 digger_wasp
n04035748 quirt
n02805283 baster
n13025854 saccharomyces_cerevisiae
n03588841 jabot
n07722485 scallion
n03878294 palanquin
n01856553 greylag
n07854184 mozzarella
n02055107 tropicbird
n04583022 wickiup
n03535024 hope_chest
n02208280 apis_mellifera
n02811350 batting_helmet
n04262161 soundboard
n03772077 minster
n12244650 rosebay
n03973839 pocket_watch
n04085017 reverse
n03561573 imaret
n01553142 antbird
n10080869 father
n13901490 bolus
n02660519 atlantic_halibut
n02230187 field_cricket
n02512830 game_fish
n08613733 outdoors
n02811618 battle_cruiser
n03683708 locker_room
n07624466 turnover
n11628087 tsuga_heterophylla
n04131208 beauty_salon
n11758276 golden_wattle
n02576906 crevalle_jack
n07905474 schnapps
n03988758 postage_meter
n07908812 benedictine
n04232437 skyhook
n04502851 .22
n03669245 limber
n11756870 acacia_auriculiformis
n02338722 cotton_rat
n03036022 city_hall
n02405929 black_angus
n04295777 staddle
n02709908 and_circuit
n01927456 tapeworm
n02132580 grizzly_bear
n02536165 sockeye_salmon
n04452615 tool_chest
n03215191 dive_bomber
n09391386 photosphere
n12631331 avens
n12534862 sulla
n12926039 hevea_brasiliensis
n07713074 aubergine
n03516844 wellington_boot
n01814549 squab
n02918964 bumper_car
n01441117 dace
n12282737 white_birch
n04520962 vaporizer
n03957315 planter
n03325288 fauld
n01490360 dusky_shark
n04582205 caning
n04024983 punt
n02024479 golden_plover
n04091466 rigger
n07908567 amaretto
n04042985 radiometer
n03168774 deckle
n02965529 carillon
n03722646 marlinspike
n02823124 beeper
n07900225 varietal
n03499907 steel_guitar
n02630281 sailfish
n00455076 overcast
n02476567 australopithecus_afarensis
n02191273 glossina
n02298218 fall_armyworm
n01646388 bufo_marinus
n03122295 covered_wagon
n03162460 darkroom
n04348070 submarine_torpedo
n02579557 pompano
n03721590 marina
n02666943 slaughterhouse
n12073991 odontoglossum
n02179012 blister_beetle
n04164406 second_base
n04075813 repp
n12807409 american_plane
n13149970 betel
n04261868 sound_film
n01812662 columba_livia
n12585629 lontar
n03911767 penlight
n04419073 transit
n01480106 placoderm
n13124358 saprobe
n12365462 calophyllum_inophyllum
n02205673 black_fly
n02137888 ichneumon
n07902799 aquavit
n02927053 butcher_knife
n07693048 cinnamon_roll
n11668117 monocotyledon
n03339529 film_advance
n02010453 night_raven
n08583455 heronry
n02841187 binnacle
n07835921 bourguignon
n07896287 dessert_wine
n07908411 absinth
n07711080 french_fries
n01569566 blackpoll
n02823586 beer_garden
n07601572 candy_cane
n03146449 dead_end
n12220829 lomatia
n01611472 peregrine
n02982599 catch
n04601938 workpiece
n03228967 dovetail
n04341288 strop
n03085219 computer_monitor
n03944024 pintle
n02878425 boucle
n07900958 sherry
n02486657 chacma
n07932614 rickey
n15091669 pyridoxine
n07920663 instant_coffee
n07569873 soy_flour
n03222857 doorpost
n12270946 quercus_chrysolepis
