n02483362 gibbon
n03841143 odometer
n02113023 pembroke
n01687978 agama
n02114855 coyote
n02114855 canis_latrans
n03733805 measuring_cup
n03908714 pencil_sharpener
n01644900 tailed_frog
n02091467 elkhound
n02091467 norwegian_elkhound
n02788148 balustrade
n02788148 banister
n02788148 handrail
n02788148 bannister
n02788148 balusters
n03891251 park_bench
n07745940 strawberry
n04326547 stone_wall
n09288635 geyser
n01742172 boa_constrictor
n02094433 yorkshire_terrier
n03085013 keypad
n03085013 computer_keyboard
n02791124 barber_chair
n02174001 rhinoceros_beetle
n02441942 weasel
n02114367 gray_wolf
n02114367 canis_lupus
n02114367 grey_wolf
n02114367 timber_wolf
n03868863 oxygen_mask
n01784675 centipede
n02422699 impala
n03384352 forklift
n04423845 thimble
n03496892 harvester
n03496892 reaper
n02971356 carton
n02105412 kelpie
n02134418 sloth_bear
n01770393 scorpion
n01748264 indian_cobra
n02090721 irish_wolfhound
n02834397 bib
n07711569 mashed_potato
n01592084 chickadee
n12985857 coral_fungus
n03476991 hair_spray
n04120489 running_shoe
n03876231 paintbrush
n02500267 indri
n02492660 howler
n02492660 howler_monkey
n02115913 dhole
n03196217 digital_clock
n01693334 green_lizard
n11939491 daisy
n02787622 banjo
n01751748 sea_snake
n01955084 chiton
n02100583 vizsla
n02486261 patas
n02114712 maned_wolf
n02114712 red_wolf
n02165105 tiger_beetle
n01614925 bald_eagle
n01614925 american_eagle
n02397096 warthog
n02111889 samoyed
n02783161 ballpoint_pen
n02783161 ballpoint
n02783161 biro
n02116738 lycaon_pictus
n02093428 staffordshire_terrier
n02013706 limpkin
n01682714 anole
n02841315 binoculars
n02841315 field_glasses
n02841315 opera_glasses
n03290653 entertainment_center
n09421951 sandbar
n09421951 sand_bar
n04141076 saxophone
n04141076 sax
n03924679 photocopier
n03127747 crash_helmet
n03775546 mixing_bowl
n02097047 miniature_schnauzer
n02085620 chihuahua
n02676566 acoustic_guitar
n04560804 water_jug
n02966687 tool_kit
n04366367 suspension_bridge
n02130308 acinonyx_jubatus
n02130308 cheetah
n03095699 container_ship
n03095699 containership
n03095699 container_vessel
n04487081 trackless_trolley
n04487081 trolleybus
n02110063 malamute
n02110063 alaskan_malamute
n02110063 malemute
n02514041 barracouta
n02514041 snoek
n04486054 triumphal_arch
n03445924 golf_cart
n02106550 rottweiler
n02018207 american_coot
n02056570 king_penguin
n04179913 sewing_machine
n03761084 microwave_oven
n03761084 microwave
n03063599 coffee_mug
n03187595 dial_telephone
n01632777 axolotl
n02111129 leonberg
n02090379 redbone
n03920288 petri_dish
n01530575 brambling
n03444034 go_kart
n03240683 drilling_platform
n01950731 nudibranch
n01950731 sea_slug
n01829413 hornbill
n03599486 jinrikisha
n03599486 rickshaw
n04131690 salt_shaker
n03075370 combination_lock
n04370456 sweatshirt
n03720891 maraca
n04149813 scoreboard
n03785016 moped
n03376595 folding_chair
n04146614 school_bus
n03197337 digital_watch
n03899768 terrace
n03899768 patio
n04599235 woollen
n04599235 woolen
n04599235 wool
n02871525 bookstore
n02871525 bookshop
n02871525 bookstall
n02120079 white_fox
n02120079 arctic_fox
n02814860 beacon
n02814860 beacon_light
n02814860 lighthouse
n02814860 pharos
