n02422699 impala
n02110063 malamute
n02123045 tabby
n06874185 traffic_signal
n02111889 samoyed
n04548362 pocketbook
n03485794 hanky
n03271574 electric_fan
n03873416 paddle
n02012849 crane
n02088364 beagle
n04443257 tobacco_shop
n07248320 dust_jacket
n03207941 dish_washer
n02510455 panda_bear
n03658185 letter_opener
n04482393 tricycle
n04039381 racket
n03538406 horse_cart
n07248320 book_jacket
n03868863 oxygen_mask
n03977966 wagon
n04370456 sweatshirt
n02051845 pelican
n04613696 yurt
n02415577 bighorn_sheep
n03944341 pinwheel
n02097474 tibetan_terrier
n01984695 crayfish
n07248320 dust_cover
n04118538 rugby_ball
n04417672 thatch
n02391049 zebra
n02788148 banister
n03841143 odometer
n02966193 carousel
n07860988 dough
n01496331 torpedo
n03743016 megalith
n02489166 proboscis_monkey
n02783161 ballpoint_pen
n04037443 racer
n07720875 bell_pepper
n07873807 pizza
n01753488 cerastes
n02992211 violoncello
n03657121 lens_cover
n02089973 english_foxhound
n01560419 bulbul
n04086273 revolver
n02487347 macaque
n02256656 cicala
n03691459 loudspeaker
n03838899 oboe
n01534433 junco
n04493381 vat
n02071294 orcinus_orca
n07614500 icecream
n03045698 cloak
n03461385 grocery_store
n06794110 street_sign
n03100240 convertible
n03085013 keypad
n01990800 isopod
n03482405 hamper
n03788195 mosque
n02480495 orangutan
n02443484 ferret
n01677366 iguana_iguana
n03930630 pickup
n02395406 grunter
n07590611 hot_pot
n04019541 hockey_puck
n01950731 nudibranch
n02749479 assault_rifle
n02389026 sorrel
n02481823 chimp
n02256656 cicada
n02895154 aegis
n02112137 chow_chow
n02641379 garfish
n02114367 gray_wolf
n03000684 chain_saw
n04532106 vestment
n02165456 ladybird_beetle
n03388043 fountain
n02769748 knapsack
n04044716 radio_telescope
n07754684 jackfruit
n02917067 bullet
n02676566 acoustic_guitar
n02966193 roundabout
n02747177 garbage_can
n03485794 hankey
n02106550 rottweiler
n02666196 abacus
n04550184 wardrobe
n04482393 trike
n09332890 lakeshore
n10565667 scuba_diver
n07831146 carbonara
n03065424 volute
n01737021 water_snake
n03485794 handkerchief
n02492035 ringtail
n02112018 pomeranian
n02879718 bow
n03673027 ocean_liner
n02814860 beacon
n03787032 mortarboard
n03496892 harvester
n02396427 sus_scrofa
n04070727 icebox
n02835271 tandem
n01968897 nautilus
n03977966 paddy_wagon
n03982430 billiard_table
n03000247 mail
n03690938 lotion
n01807496 partridge
n02747177 ashcan
n01944390 snail
n02098413 lhasa_apso
n04251144 snorkel
n02410509 bison
n02437616 llama
n04428191 thrasher
n02488702 colobus
n02107142 doberman_pinscher
n02930766 cab
n07615774 lolly
n01558993 robin
n02129604 panthera_tigris
n03450230 gown
n04392985 tape_player
n04517823 vacuum
n02783161 ballpoint
n01641577 bullfrog
n01695060 komodo_dragon
n02672831 piano_accordion
n03733805 measuring_cup
n03160309 dyke
n09193705 alp
n03791053 motor_scooter
n04179913 sewing_machine
n02423022 gazelle
n01697457 nile_crocodile
n03743016 megalithic_structure
n01532829 house_finch
n04200800 shoe_shop
n02132136 bruin
n04336792 stretcher
n03903868 plinth
n01537544 indigo_bunting
n02113023 pembroke
n03877472 pyjama
n02111500 great_pyrenees
n04554684 washing_machine
n02930766 taxicab
n03786901 mortar
n03874293 paddle_wheel
n13040303 stinkhorn
n02111129 leonberg
n03995372 power_drill
n02795169 cask
n02123394 persian_cat
n03840681 ocarina
n01873310 platypus
n04296562 stage
n03188531 diaper
n02123597 siamese_cat
n02037110 oystercatcher
n01872401 anteater
n01491361 tiger_shark
n09421951 sandbar
n01664065 caretta_caretta
n03887697 paper_towel
n02090622 borzoi
n02930766 hack
n04467665 rig
n04070727 refrigerator
n03916031 essence
n02892201 plaque
n07836838 chocolate_syrup
n04192698 buckler
n04435653 tile_roof
n01985128 crawfish
n09835506 ballplayer
n02114367 canis_lupus
n03141823 crutch
n03447721 gong
n02165456 lady_beetle
n03680355 loafer
n02132136 brown_bear
n03131574 crib
n02128385 leopard
n01756291 sidewinder
n04522168 vase
n02120505 grey_fox
n02100877 irish_setter
n01735189 grass_snake
n03146219 cuirass
n04487394 trombone
n02814860 beacon_light
n02127052 lynx
n01824575 coucal
n03131574 cot
n02108089 boxer
n03721384 xylophone
n01665541 leatherback_turtle
n03709823 mailbag
n04133789 sandal
n02396427 boar
n03627232 knot
n04350905 suit
n03770439 miniskirt
n04229816 ski_mask
n02088238 basset_hound
n07760859 custard_apple
n02119022 red_fox
n02894605 groyne
n03065424 spiral
n04081281 eating_place
n03089624 confectionery
n04517823 vacuum_cleaner
n02865351 bolo
n04026417 purse
n04153751 screw
n02110063 alaskan_malamute
n03000247 chain_mail
n03891251 park_bench
n02536864 silver_salmon
n03929660 pick
n01531178 goldfinch
n03042490 cliff_dwelling
n02088094 afghan_hound
n03065424 whorl
n02869837 bonnet
n03877472 pajama
n03126707 crane
n02783161 biro
n04515003 upright
n01692333 gila_monster
n02110063 malemute
n02342885 hamster
n03201208 board
n07697537 hotdog
n09428293 seashore
n03404251 fur_coat
n02917067 bullet_train
n02319095 sea_urchin
n03676483 lipstick
n02114367 grey_wolf
n03670208 limo
n04525305 vending_machine
n02692877 airship
n02018795 bustard
n02930766 taxi
n03207941 dishwasher
n02480855 gorilla
n02492660 howler_monkey
n01685808 whiptail_lizard
n03492542 hard_disk
n02747177 wastebin
n02690373 airliner
n03325584 boa
n02835271 tandem_bicycle
n02090721 irish_wolfhound
n06359193 site
n02395406 sus_scrofa
n02974003 car_wheel
n07697537 red_hot
n02927161 butcher_shop
n04597913 wooden_spoon
n03888605 bars
n02117135 hyaena
n04562935 water_tower
n02109047 great_dane
n03895866 coach
n04428191 threshing_machine
n04372370 switch
n02640242 sturgeon
n04554684 washer
n04141076 saxophone
n01687978 agama
n02098413 lhasa
n03838899 hautbois
n02894605 bulwark
n02066245 devilfish
n04252225 snowplow
n04525038 velvet
n02437312 dromedary
n02395406 pig
n03372029 flute
n02871525 bookshop
n04560804 water_jug
n07718472 cucumber
n01843065 jacamar
n01494475 hammerhead
n04033901 quill
n03729826 matchstick
n07718747 artichoke
n04192698 shield
n02484975 guenon
n04347754 submarine
n03982430 pool_table
n07695742 pretzel
n03095699 containership
n03063599 coffee_mug
n02488702 colobus_monkey
n03544143 hourglass
n01532829 linnet
n03016953 commode
n04069434 reflex_camera
n02641379 gar
n07753275 ananas
n03461385 grocery
n03642806 laptop_computer
n03908618 pencil_case
n03160309 dam
n02095889 sealyham
n02120505 gray_fox
n04127249 safety_pin
n03240683 drilling_platform
n02769748 back_pack
n03785016 moped
n03777568 model_t
n02814860 lighthouse
n02494079 squirrel_monkey
n02894605 seawall
n02894605 groin
n04254777 sock
n01955084 chiton
n03947888 pirate
n09246464 drop
n03977966 police_wagon
n03956157 planetarium
n03884397 syrinx
n02841315 binoculars
n01498041 stingray
n02536864 cohoe
n04081281 restaurant
n02843684 birdhouse
n03272562 electric_locomotive
n01806143 peacock
n03670208 limousine
n04286575 spot
n04515003 upright_piano
n01985128 crawdaddy
n02099712 labrador_retriever
n04417672 thatched_roof
n01632458 spotted_salamander
n04041544 radio
n01740131 night_snake
n01797886 ruffed_grouse
n02071294 orca
n02097298 scottish_terrier
n03967562 plow
n03832673 notebook
n01817953 african_grey
n09428293 seacoast
n04540053 volleyball
n02978881 cassette
n04550184 closet
n01729977 green_snake
n07836838 chocolate_sauce
n02091831 saluki
n01871265 tusker
n07745940 strawberry
n02096585 boston_terrier
n02769748 rucksack
n02814533 station_wagon
n01924916 flatworm
n02233338 roach
n01986214 hermit_crab
n04476259 tray
n04552348 military_plane
n03188531 napkin
n02814860 pharos
n12998815 agaric
n02795169 barrel
n01768244 trilobite
n03337140 filing_cabinet
n04409515 tennis_ball
n02790996 barbell
n02480495 orang
n02165456 ladybug
n03535780 horizontal_bar
n03775071 mitten
n01494475 hammerhead_shark
n02117135 hyena
n02120079 white_fox
n02814533 wagon
n03710721 maillot
n01644900 tailed_frog
n02787622 banjo
n02788148 handrail
n02837789 two_piece
n03089624 candy_store
n02114855 canis_latrans
n02980441 castle
n03776460 mobile_home
n01667778 terrapin
n02769748 backpack
n04542943 waffle_iron
n02892201 brass
n04019541 puck
n02441942 weasel
n04429376 throne
n01833805 hummingbird
n01873310 duckbill
n07930864 cup
n03791053 scooter
n04008634 projectile
n03706229 magnetic_compass
n02396427 wild_boar
n03602883 joystick
n02165456 ladybird
n06359193 internet_site
n02992211 cello
n02454379 armadillo
n02127052 catamount
n04285008 sports_car
n02837789 bikini
n03692522 loupe
n02536864 coho
n02129604 tiger
n01614925 american_eagle
n03874293 paddlewheel
n01860187 black_swan
n02730930 apron
n03916031 perfume
n03935335 piggy_bank
n03633091 ladle
n03759954 microphone
n04162706 seat_belt
n07871810 meat_loaf
n04131690 salt_shaker
n04355933 sunglass
n03777754 modem
n03443371 goblet
n04584207 wig
n01795545 black_grouse
n03947888 pirate_ship
n04286575 spotlight
n03594945 jeep
n04147183 schooner
n03697007 lumbermill
n02804610 bassoon
n02093991 irish_terrier
n02071294 killer
n04149813 scoreboard
n03062245 cocktail_shaker
n02346627 hedgehog
n12057211 cypripedium_calceolus
n09246464 cliff
n02231487 walkingstick
n01753488 horned_viper
n01582220 magpie
n02871525 bookstall
n02788148 bannister
n04141076 sax
n02483708 siamang
n04037443 racing_car
n03788365 mosquito_net
n01984695 spiny_lobster
n02834397 bib
n03991062 flowerpot
n04606251 wreck
n03980874 poncho
n04461696 wrecker
n01770081 harvestman
n03534580 crinoline
n12768682 buckeye
n01985128 crawdad
n03888605 parallel_bars
n03255030 dumbbell
n02002556 white_stork
n07753275 pineapple
n03710637 maillot
n03825788 nipple
n03344393 fireboat
n02096051 airedale
n02279972 monarch
n03095699 container_vessel
n02895154 egis
n02859443 boathouse
n03065424 helix
n04326547 stone_wall
n01580077 jay
n03770679 minivan
n03400231 skillet
n12768682 conker
n03977966 black_maria
n02500267 indri
n04447861 toilet_seat
n01667114 mud_turtle
n02279972 danaus_plexippus
n10148035 bridegroom
n03085013 computer_keyboard
n04371430 swimming_trunks
n02002724 black_stork
n02120079 arctic_fox
n02927161 meat_market
n09332890 lakeside
n02088238 basset
n03775546 mixing_bowl
n04465501 tractor
n03400231 frying_pan
n02114712 red_wolf
n03461385 market
n04523525 vault
n01729977 grass_snake
n01983481 american_lobster
n07613480 trifle
n02091635 otterhound
n04209239 shower_curtain
n02119022 vulpes_vulpes
n02894605 mole
n02097298 scottie
n01734418 king_snake
n02747177 trash_bin
n13044778 earthstar
n02823428 beer_bottle
n03814906 necklace
n04065272 recreational_vehicle
n04536866 violin
n06874185 stoplight
n02108551 tibetan_mastiff
n03594734 denim
n03467068 guillotine
n04238763 slide_rule
n03089624 confectionary
n02086240 shih_tzu
n04162706 seatbelt
n04008634 missile
n02363005 beaver
n02510455 panda
n02687172 carrier
n02794156 barometer
n03794056 mousetrap
n02894605 jetty
n02840245 binder
n01855672 goose
n04208210 shovel
n01695060 giant_lizard
n03160309 dike
n07880968 burrito
n02415577 bighorn
n01632777 axolotl
n04483307 trimaran
n02231487 walking_stick
n03481172 hammer
n02326432 hare
n04501370 turnstile
n03938244 pillow
n02105855 shetland
n07697537 hot_dog
n02808440 tub
n02895154 breastplate
n02788148 balusters
n02802426 basketball
n02071294 sea_wolf
n03967562 plough
n01734418 kingsnake
n02086910 papillon
n03763968 military_uniform
n09421951 sand_bar
n02132136 ursus_arctos
n02325366 cottontail_rabbit
n03483316 hair_dryer
n02123597 siamese
n02110806 basenji
n02804414 bassinet
n03492542 hard_disc
n02226429 hopper
n06359193 web_site
n03930630 pickup_truck
n07615774 lollipop
n03721384 marimba
n03461385 food_market
n04039381 racquet
n02939185 caldron
n09468604 valley
n04136333 sarong
n04310018 steam_locomotive
n02808440 bath
n03496892 reaper
n03832673 notebook_computer
n01669191 box_turtle
n02093647 bedlington_terrier
n02356798 fox_squirrel
n04552348 warplane
n04270147 spatula
n03594945 landrover
n12768682 horse_chestnut
n07753592 banana
n02137549 mongoose
n04200800 shoe_store
n04592741 wing
n03977966 patrol_wagon
n03770439 mini
n02408429 water_buffalo
n04204347 shopping_cart
n04357314 sunblock
n02481823 chimpanzee
n02747177 dustbin
n03950228 pitcher
n03271574 blower
n01984695 rock_lobster
n03187595 dial_telephone
n02481823 pan_troglodytes
n02279972 monarch_butterfly
n03595614 tee_shirt
n04311174 steel_drum
n02113799 standard_poodle
n03742115 medicine_chest
n01950731 sea_slug
n02086079 pekingese
n07614500 ice_cream
n02097047 miniature_schnauzer
n01914609 sea_anemone
n03291819 envelope
n02536864 coho_salmon
n03814639 neck_brace
n02444819 otter
n03857828 cro
n04493381 tub
n02206856 bee
n04404412 television
n09428293 coast
n03599486 rickshaw
n03065424 coil
n02105412 kelpie
n03535780 high_bar
n03673027 liner
n01601694 dipper
n02105505 komondor
n02268853 damselfly
n01728572 worm_snake
n03394916 horn
n02395406 squealer
n03976467 polaroid_camera
n07716906 spaghetti_squash
n02123159 tiger_cat
n03017168 bell
n03759954 mike
n02169497 leaf_beetle
n07871810 meatloaf
n04067472 reel
n03000684 chainsaw
n02966193 whirligig
n07730033 cardoon
n04081281 eatery
n04037443 race_car
n02071294 grampus
n01677366 iguana
n01877812 wallaby
n02114367 timber_wolf
n03691459 speaker
n03337140 file
n02276258 admiral
n01755581 diamondback
n01682714 anole
n03584254 ipod
n02415577 cimarron
n03895866 passenger_car
n02395406 hog
n04461696 tow_truck
n04141975 weighing_machine
n03196217 digital_clock
n01616318 vulture
n04357314 sunscreen
n12144580 corn
n02085936 maltese
n03691459 speaker_system
n01558993 american_robin
n02447366 badger
n01665541 leatherback
n02641379 billfish
n02092002 deerhound
n03691459 loudspeaker_system
n02797295 barrow
n02769748 haversack
n01608432 kite
n04258138 solar_collector
n01872401 echidna
n01983481 maine_lobster
n02442845 mink
n04141975 scale
n02514041 snoek
n02325366 cottontail
n02268443 sewing_needle
n03216828 dock
n02088094 afghan
n01770393 scorpion
n03127925 crate
n02841315 field_glasses
n03697007 sawmill
n02966193 carrousel
n04366367 suspension_bridge
n03908714 pencil_sharpener
n03991062 pot
n02841315 opera_glasses
n06874185 traffic_light
n02814533 estate_car
n04332243 strainer
n03977966 police_van
n02398521 hippo
n02088466 bloodhound
n02123045 tabby_cat
n03884397 panpipe
n04228054 ski
n02814533 waggon
n02364673 guinea_pig
n02346627 porcupine
n01704323 triceratops
n02129165 panthera_leo
n02096051 airedale_terrier
n02129165 lion
n01978287 dungeness_crab
n07615774 popsicle
n03188531 nappy
n01784675 centipede
n03372029 transverse_flute
n03661043 library
n03584829 iron
n07590611 hotpot
n04442312 toaster
n01534433 snowbird
n03014705 chest
n01755581 diamondback_rattlesnake
n06359193 website
n02398521 hippopotamus
n02134084 ice_bear
n02006656 spoonbill
n04118776 rule
n04548362 wallet
