n01536035 chipping_sparrow
n03173929 delivery_truck
n03047171 clockwork
n04244379 sluice
n03374838 fob
n11552133 cryptogam
n03640850 lanolin
n03948830 pistol_grip
n03817191 negative
n11890022 woad
n07768318 seckel
n12365462 calophyllum_inophyllum
n11552806 annual
n01843719 toucanet
n02868975 cupel
n03859608 outfall
n12939874 cow_parsnip
n01517966 carinate
n02904505 broadside
n03697913 longyi
n12510343 dhak
n01322508 wolf_cub
n01742821 rosy_boa
n03317788 faience
n03797896 mulch
n07938007 multivitamin
n03796605 mudguard
n12126084 cultivated_rice
n02907873 brownstone
n04583212 fisheye_lens
n03394649 french_door
n12727518 goat_willow
n04350581 sugar_bowl
n11676850 gynophore
n04061681 reception_desk
n07935379 oolong
n01453087 john_dory
n07807834 macaroni_salad
n03174079 delta_wing
n15091129 thiamine
n02745611 artificial_horizon
n10227266 junior
n02809241 batiste
n01786646 millipede
n04278605 spinner
n03911658 penknife
n07689490 cinnamon_toast
n12642964 capulin
n04180888 sextant
n03412906 gallows
n04969798 aqua
n06263202 free_press
n03287351 energizer
n03109033 corker
n02977936 gambling_casino
n02692086 airscrew
n02767038 baby_powder
n03918737 organiser
n01379389 staphylococcus
n04295777 staddle
n02758863 autobahn
n00434075 acrobatics
n12107710 meadow_foxtail
n03986355 portfolio
n03135532 cross
n00478262 association_football
n02380745 broncho
n02630281 sailfish
n04273796 speedometer
n03697913 lungi
n02828299 belt_buckle
n02064000 greenland_whale
n12681893 weigela
n04427559 3d_radar
n01841943 piculet
n09376526 sea_floor
n12390099 pale_violet
n03878511 palaestra
n07732302 hominy
n02998841 chadar
n07751858 greengage
n07852919 cheddar_cheese
n12584715 sugar_palm
n03865557 overpass
n03595409 jeroboam
n12048399 caladenia
n03666362 led
n12112008 grama
n03610418 keg
n03541269 hospital_ship
n12819728 echium_vulgare
n04026180 purl
n04404200 telex
n07864638 tetrazzini
n07931280 wassail
n12278650 cork_oak
n12761905 pistacia_terebinthus
n07840395 curry_sauce
n03222722 doorcase
n03424630 gasoline_engine
n08521623 memorial_park
n02823848 beer_hall
n07907161 irish_whiskey
n13107694 timber_tree
n03718458 manor
n07582811 bean_dip
n03239054 tails
n11924445 burdock
n02102605 water_spaniel
n04542715 waders
n03488887 rubber_stamp
n12307756 privet
n01847407 dabbling_duck
n03038870 clavichord
n07877675 steak_tartare
n03024233 choir_loft
n01851895 wild_duck
n04385536 tailpipe
n07926250 lemonade
n04285803 sportswear
n01560793 stonechat
n07847047 buttermilk
n01949499 keyhole_limpet
n02412210 wether
n03263076 eaves
n03854722 organ_loft
n04075291 remote_terminal
n04192361 sheltered_workshop
n01646292 bufo
n02771004 backspacer
n07687053 wafer
n07808479 chicken_salad
n02763604 aviary
n02414763 argal
n09447666 strand
n02961035 caravansary
n07588574 lentil_soup
n04181718 shade
n00470966 rugby_football
n02407763 beefalo
n02490811 pygmy_marmoset
n01888411 doe
n07585015 beef_broth
n01847978 black_duck
n07727868 green_bean
n03229244 dowel
n02576906 crevalle_jack
n02940385 call_centre
n03991202 potbelly
n04438643 time_switch
n12717644 dika
n12113195 feathertop
n02660640 pacific_halibut
n12898342 deadly_nightshade
n03283221 emergency_room
n03917048 periscope
n12285512 red_alder
n02348788 pocket_mouse
n04312916 steering_linkage
n03381450 force_pump
n06273414 call_forwarding
n02405929 aberdeen_angus
n04398951 tea_table
n02795670 barrelhouse
n06359657 portal
n03339529 film_advance
n04452615 toolbox
n02536456 chinook_salmon
n01858906 cygnet
n02733524 arch
n02650541 sea_robin
n12807409 buttonwood
n11717577 nelumbo_lutea
n03549732 promenade_deck
n02382850 exmoor
n11614420 ponderosa
n04364160 lightning_arrester
n04975739 complementary
n01614038 harpy
n02519862 blue_catfish
n07876550 scampi
n01848648 widgeon
n02132788 kodiak
n03723267 marquetry
n03432360 geiger_counter
n04384593 tailgate
n03276179 electromagnet
n04970398 indigo
n02565072 smallmouth
n03330947 hobble
n12723062 creosote_bush
n04307986 steak_knife
n04056413 rattrap
n03688605 long_pants
n12001707 cineraria
n07905474 schnaps
n01837072 frogmouth
n01698782 chinese_alligator
n02277268 viceroy
n02132580 silvertip
n04510706 universal
n02031298 eurasian_woodcock
n07847827 heavy_cream
n03946162 pipe_fitting
n02109150 guide_dog
n02678897 adaptor
n04182152 shadow_box
n03871524 packaging
n01438581 loach
n04261281 souk
n02963987 cardroom
n03986949 gladstone
n03772584 minute_hand
n02250280 cochineal
n03639230 landing_skid
n09300905 hail
n04228581 ski_boot
n01612476 hobby
n12163035 bryony
n11733312 larkspur
n02983904 cathedra
n03011741 checkout
n12612170 water_plantain
n04103206 rolling_pin
n09452291 swale
n05467054 glia
n02405929 angus
n03595264 jerkin
n04969798 aquamarine
n12973791 rhizopus
n04559994 water_hazard
n04029734 pyrometer
n02180875 rove_beetle
n03288742 english_horn
n03448031 gordian_knot
n02808185 bath_salts
n02499022 slow_loris
n04529962 vertical_stabilizer
n03302938 exhaust_system
n03795976 film_projector
n11916696 achillea_millefolium
n00443231 floating
n03316873 factory_ship
n04332074 straight_razor
n04387706 tamp
n12093600 cyclamen_hederifolium
n12100187 barbasco
n12351091 achira
n03216402 diving_dress
n07601290 orange_peel
n12044467 aerides
n03275681 electrolytic
n03643149 laryngoscope
n03536122 horizontal_stabiliser
n02561661 pickerel
n07896765 moselle
n03323319 farthingale
n02379743 appaloosa
n12230540 manzanita
n10229883 keyboardist
n03723439 marriage_bed
n04591631 wine_bar
n11628087 western_hemlock
n09305898 hot_spring
n04384910 taillight
n07886317 kava
n00456465 day_game
n01958346 littleneck
n07815294 mace
n03744684 memory_chip
n07818133 fenugreek
n04591887 wine_cooler
n07805966 dog_food
n07745197 dewberry
n01392380 amoeba
n07826250 tomato_paste
n10755080 violist
n00120010 hop
n03408444 futon
n03821518 newel_post
n03145277 cuddy
n03864692 overhead_projector
n03465500 guarnerius
n04247011 smokescreen
n11690455 petal
n07848936 ghee
n04062807 reconnaissance_vehicle
n03607659 kalashnikov
n02752199 athenaeum
n02312640 chrysalis
n04969798 peacock_blue
n03978966 polo_shirt
n02486657 chacma_baboon
n05245192 freckle
n03170635 freezer
n01545574 lyrebird
n02808829 bathyscaphe
n01489501 bull_shark
n11680596 pollen_tube
n03325941 fedora
n01710177 diplodocus
n07921239 turkish_coffee
n02660208 halibut
n04070415 refractometer
n07934373 sun_tea
n02710600 aneroid
n07919787 decaf
n12328567 purple_loosestrife
n04444218 toe
n09927089 cleaner
n01319685 by_catch
n03069752 college
n03603442 jungle_gym
n01691217 legless_lizard
n12305819 blue_ash
n01971620 loligo
n08555710 crawl_space
n02432291 whitetail
n00454983 fly_casting
n03854506 oled
n12934479 caraway
n02965216 cargo_liner
n07693223 schnecken
n09357346 molehill
n02332156 mus_musculus
n01664990 eretmochelys_imbricata
n03323096 farmstead
n03602081 jolly
n03268790 electric_car
n02072493 narwal
n02795978 hurdy_gurdy
n12704513 bilimbi
n04570214 wedgwood
n02433318 dama_dama
n03096439 contrabassoon
n13132756 thyrsus
n12754648 acer_campestre
n11757017 gidgee
n03745146 zoo
n02871147 bookmark
n04543772 wagon_wheel
n01783017 myriapod
n03256166 dumper
n03688405 long_sleeve
n04306592 stator
n02079851 harbor_seal
n12485653 buddleia
n01533339 canary
n07568241 farina
n01422335 trophozoite
n03601442 jdam
n07928887 root_beer
n02726017 ao_dai
n04050066 rake
n11717577 american_lotus
n04560882 water_jump
n04012482 propjet
n03344305 fire_bell
n03903133 peavey
n04006411 probe
n04307878 chophouse
n11898639 pennycress
n12737383 loranthaceae
n03495671 harpoon
n04382695 tachograph
n03944024 pintle
n04290615 sputnik
n12407890 english_elm
n03108624 core_drill
n09289596 glen
n02411999 ewe
n03015149 chesterfield
n04262161 sounding_board
n07590320 goulash
n04207763 shoulder_holster
n07852833 camembert
n00440382 long_jump
n00477639 polo
n02977438 register
n12310349 lilac
n12568186 robinia_pseudoacacia
n02172870 june_bug
n02527622 conger
n10707233 therapist
n04139395 sauna
n14820180 concrete
n04413969 terraced_house
n02843029 birch_bark
n03718335 manometer
n07868200 french_toast
n02796318 barrette
n11771924 carissa_macrocarpa
n02885882 ticket_booth
n02286089 gypsy_moth
n03645577 lateen
n02775689 bailey
n02306825 egger
n07713074 aubergine
n03837606 oast
n13226320 quillwort
n02563648 pumpkinseed
n03783430 eyeglass
n13137225 syconium
n04542329 voussoir
n12610328 eichhornia_crassipes
n01991520 pill_bug
n03620353 kitchenette
n08896327 sultanate
n07853762 grated_cheese
n03399971 fruit_machine
n09189157 aerie
n02780815 tutu
n01844551 quetzal
n03983712 popper
n04272928 spectrophotometer
n04344734 studio_apartment
n04432043 thwart
n09231117 caldera
n12448136 calochortus_luteus
n07575076 tiffin
n03340723 finder
n03647423 launch
n07694839 hardtack
n01341090 rotavirus
n04307878 steakhouse
n04138261 satin
n03885194 panting
n04186624 shawm
n03373943 flying_buttress
n03849814 opera
n09452395 swampland
n07691539 brioche
n04282992 spode
n02817650 beater
n04388574 tangram
n03528523 home_computer
n11711764 magnolia_virginiana
n12898342 belladonna
n12855494 mentha_aquatica
n02961544 car_bomb
n00453126 coursing
n01751472 taipan
n00479734 fives
n02003037 adjutant
n02184720 body_louse
n04141712 staging
n04131368 saltbox
n03337494 file_server
n03826039 niqab
n07898745 table_wine
n04134008 sandbag
n01655344 caecilian
n03145522 cue
n01947139 neritina
n03634034 pile_dwelling
n04953678 iridescence
n03697552 lunchroom
n03325288 fauld
n03415252 brolly
n00449054 skateboarding
n02412629 lambkin
n04136045 sarcophagus
n02584449 caribe
n02579557 pompano
n03088707 conductor
n07599649 bonbon
n03321563 fanny_pack
n03378174 food_processor
n03075634 combine
n11599324 welwitschia
n03539678 horse_trail
n12566954 kudzu
n02953455 cantle
n04130257 salad_bowl
n01536644 song_sparrow
n02396796 babirusa
n05427346 ganglion_cell
n03788047 mosaic
n14698884 gravel
n03206282 disco
n04402746 telephone_system
n03108759 corer
n07930062 fruit_punch
n02333909 rattus_rattus
n02276355 red_admiral
n04137897 satellite_television
n03390075 foxhole
n03421669 gas_guzzler
n01793715 orpington
n03402941 funeral_parlour
n02366002 agouti
n07597263 sweetmeat
n07615289 sherbert
n02161457 pollinator
n07880458 wiener_schnitzel
n04168199 segway
n02738741 armet
n02169023 sawyer
n02876084 bosom
n01451426 soldierfish
n04212165 shuttle_bus
n03140292 rood
n13084834 cultivar
n04242408 sloop
n02694045 aisle
n04075468 removable_disk
n04391445 tappa
n07576969 clambake
n01925916 cercaria
n04561965 water_pump
n03382292 forecourt
n03988758 postage_meter
n04124098 saddlebag
n07848196 whipping_cream
n11844371 saguaro
n08571898 flea_market
n07918028 sour
n01461315 spawn
n07925116 pineapple_juice
n01971280 squid
n01722998 pterosaur
n02036228 banded_stilt
n01952712 physa
n03638180 lander
n13108323 pollard
n05244755 dental_plaque
n01967963 piddock
n14919819 inositol
n04381073 tablespoon
n01035504 last_supper
n03655720 leisure_wear
n06281040 reception
n03736064 meat_grinder
n04482297 tricot
n02173373 japanese_beetle
n03271260 electric_clock
n01842504 puffbird
n12330469 myrtle
n09339810 lithosphere
n01697178 crocodile
n02505063 woolly_mammoth
n03460297 grindstone
n12305089 black_ash
n03087069 concrete_mixer
n07617051 frozen_custard
n11902200 papaver_rhoeas
n03972372 poacher
n03365374 floodlight
n02631475 black_marlin
n07592317 chicken_stew
n07816296 bay_leaf
n01555004 pitta
n07770869 betel_nut
n07741138 macoun
n11811921 maltese_cross
n02892392 brassard
n05459457 leydig_cell
n01422450 merozoite
n02682311 adze
n03514129 hematocrit
n06278475 hdtv
n04376400 synthesizer
n03822767 newtonian_reflector
n03844815 oilskin
n13918717 trapezohedron
n01903346 scute
n02486657 chacma
n07821610 tarragon
n03090000 council_board
n02861147 bocce_ball
n02409038 anoa
n12189987 adansonia_digitata
n04393549 tapis
n01617443 bearded_vulture
n13898207 conformation
n03365231 floatplane
n12766869 poison_oak
n02692232 aerodrome
n02234355 american_cockroach
n02390738 kiang
n07605597 chocolate_fudge
n03721590 marina
n15091473 riboflavin
n02964295 car_ferry
n03488887 handstamp
n02919792 cottage
n02878107 bottling_plant
n11610215 single_leaf
n02688273 air_cleaner
n01857632 canada_goose
n02786837 bandsaw
n12651229 firethorn
n01579260 corvus_corax
n04205505 short_sleeve
n04370288 sweatpants
n07752782 sultana
n11801392 birthwort
n09415671 river_bottom
n03425595 gas_range
n03548533 hulk
n12374418 rock_rose
n02971167 car_tire
n07854707 string_cheese
n04112252 rotary_wing
n07859796 sugar_syrup
n01812662 rock_dove
n03355768 flagon
n03052917 clout
n04557522 water_bed
n07616590 split
n03041449 cleats
n05239437 skin_graft
n12780563 trumpets
n03878963 palisade
n12321873 shellbark
n04129766 sailor_suit
n07860805 batter
n03181667 detention_camp
n03251533 graving_dock
n03994614 powder_horn
n02538562 salvelinus_alpinus
n12754648 field_maple
n03239054 dress_suit
n01543383 whydah
n12380761 wild_peach
n01643896 crapaud
n03622058 klaxon
n13882276 hexagon
n02448060 meles_meles
n04233124 skyscraper
n11656123 huon_pine
n09214916 barrier_reef
n02783459 ball_valve
n10092794 first_lady
n08644045 harborage
n02660519 atlantic_halibut
n08500819 interplanetary_space
n03276696 electrometer
n11960245 dahlia
n07864756 chicken_kiev
n02831894 besom
n03141327 cruise_liner
n12596709 roystonea_regia
n11690254 floral_cup
n04204755 short_circuit
n01777304 deer_tick
n02240517 bed_bug
n03280394 electrostatic_generator
n01490360 dusky_shark
n02764398 axe_handle
n12204730 corchorus
n12139575 cordgrass
n03963294 playback
n07767549 black_olive
n00483848 pallone
n12777680 snowbell
n07919165 zombi
n03856465 orrery
n04403413 zoom_lens
n13919919 keel
n08256735 wedding_party
n10080869 male_parent
n05449196 osteocyte
n00466273 professional_golf
n12289310 corylus_americana
n04581102 whitewash
n04087826 ribbing
n11632167 monterey_cypress
n12914923 vervain
n03381231 forceps
n02161338 defoliator
n03188290 diamante
n04579230 whispering_gallery
n04607869 wrist_watch
n04395024 tarpaulin
n02034129 godwit
n02970685 car_seat
n04387932 tampax
n02885108 boxcar
n03487533 hand_luggage
n07752264 victoria_plum
n03350204 fishbowl
n04302988 stanley_steamer
n03904657 pediment
n02797535 bascule
n03900393 pave
n01322604 puppy
n04356925 sunroom
n02776978 balalaika
n02645953 sea_raven
n01643507 robber_frog
n04393549 tapestry
n00452152 cockfighting
n03383211 forestay
n04125257 lockbox
n03823111 nib
n06596845 trade_magazine
n02982599 catch
n02868638 bombproof
n04464615 trackball
n04409911 tenon
n12105353 crested_wheatgrass
n07643891 orange_marmalade
n03503477 head_gasket
n02333546 brown_rat
n02956393 capital_ship
n10769188 washerwoman
n03543603 hot_tub
n12590232 oil_palm
n12877244 snapdragon
n04538403 viscose_rayon
n03039827 dry_cleaners
n02127482 bobcat
n11839823 mirabilis_jalapa
n01606522 goshawk
n04455048 topknot
n03390786 fraise
n04178190 seventy_eight
n01830915 motmot
n04600912 work_clothing
n02432704 blacktail
n13139647 husk
n03745146 menagerie
n03215508 divided_highway
n12651229 pyracantha
n03995535 power_line
n07749192 navel_orange
n02975994 casein_paint
n05260127 pageboy
n12194147 silkwood
n01533651 serin
n02262449 mayfly
n04326676 stoneware
n01333610 reoviridae
n07740461 red_delicious
n02053425 solan
n06892775 concert
n12253229 epacris
n07709881 tofu
n02191273 tsetse
n03026907 chronograph
n12402348 banian
n03892178 parquet
n07813579 seasoned_salt
n02033882 eskimo_curlew
n02533834 anchovy
n03052464 haberdashery
n02085272 lapdog
n02241426 true_bug
n04099003 rocker_arm
n11790936 tuckahoe
n00468299 shinny
n02879087 posy
n07934800 darjeeling
n11616662 pinus_sylvestris
n03941417 pinball_machine
n04955160 burnish
n12583401 palmetto
n01322685 cub
n03296217 escape_wheel
n01636829 dusky_salamander
n01915700 sea_pen
n02916179 dozer
n03970546 plush
n12084890 stanhopea
n01609956 marsh_harrier
n04506895 ultrasuede
n02682569 aerator
n03600722 joinery
n03465151 guard_ship
n07851767 cottage_cheese
n10772092 weather_forecaster
n12282737 betula_pubescens
n02321170 feather_star
n07738105 freestone
n11626826 red_spruce
n02754656 atrium
n07775197 sunflower_seed
n03497352 hasp
n12230540 madrona
n03266749 duvet
n02247655 superbug
n01961985 pearl_oyster
n09818022 cosmonaut
n01641739 green_frog
n03344642 firebrick
n02584145 cardinal_tetra
n12052787 coelogyne
n12937130 daucus_carota
n04059947 rearview_mirror
n12856287 spearmint
n03375171 foghorn
n02215770 digger_wasp
n01984245 norway_lobster
n02692513 air_pump
n03149135 curb_bit
n02378149 remount
n11676500 pistil
n02948293 candlepin
n04348070 submarine_torpedo
n03844673 petroleum_refinery
n04502851 .22
n02262803 stonefly
n03229244 joggle
n07879450 sushi
n13128976 rachis
n10155849 hairdresser
n04201733 shooting_brake
n02450295 pine_marten
n04592005 wine_barrel
n12414329 iris_pallida
n03019938 chintz
n02395694 piggy
n01732614 corn_snake
n12099342 statice
n12199790 brown_oak
n03836976 silk_stocking
n02243562 water_strider
n02910864 buckskins
n02266050 dobsonfly
n07695652 graham_cracker
n08521623 graveyard
n02405440 banteng
n03606347 jury_box
n03082656 tourniquet
n03012013 cheekpiece
n13880551 right_triangle
n07740342 golden_delicious
n04046277 raglan
n07613158 syllabub
n04164002 secondary_winding
n03440216 gps
n01649170 spadefoot_toad
n12947313 cornus_florida
n07567139 coloring
n04537436 virginal
n12519563 crotalaria
n12939874 hogweed
n01448594 rainbow_fish
n12879527 calceolaria
n03796522 mud_brick
n02752199 atheneum
n12546962 wild_lupine
n03722646 marlinspike
n04273796 speed_indicator
n03732543 maxim_gun
n03557590 ice_machine
n11627908 mountain_hemlock
n04065909 recycling_plant
n04260364 sonogram
n02516188 lungfish
n01579410 rook
n03772077 minster
n04471912 transit_instrument
n02593453 scup
n09205509 arete
n12726670 weeping_willow
n10421470 apothecary
n02823124 pager
n03467796 guitar_pick
n01690466 glass_lizard
n04969798 cobalt_blue
n13035707 helvella
n02244173 assassin_bug
n03953901 placket
n02433729 roebuck
n02811350 batting_helmet
n12922763 croton
n12304286 swamp_ash
n02434190 woodland_caribou
n02817031 bearing
n12890265 veronica
n04419073 transit
n03628071 kohl
n12927758 tung_tree
n03422771 gas_engine
n02676938 acropolis
n02687821 hangar
n04969242 azure
n06273555 call_in
n04469514 trampoline
n15091129 aneurin
n02122580 stray
n02706806 amusement_arcade
