n11845793 hedgehog_cactus
n00482298 lawn_tennis
n12817694 alkanet
n02375438 stablemate
n02068206 beaked_whale
n07739035 windfall
n02630739 billfish
n02731398 apse
n01545574 lyrebird
n03462747 ground
n10345015 nan
n11737125 nigella_sativa
n03604536 jumper
n02970408 tote_bag
n03449309 gouge
n02959942 railroad_car
n11532682 volva
n01442710 rudd
n04971211 carnation
n03919096 personnel_carrier
n02338145 muskrat
n06267758 school_paper
n03683606 locker
n10763383 server
n02570164 jewfish
n04384910 rear_lamp
n15091129 vitamin_b1
n04415257 test_equipment
n09421799 sandbank
n01998741 acorn_barnacle
n03723439 marriage_bed
n01561452 redstart
n03305953 etd
n04431745 pushpin
n03988758 postage_meter
n02417534 wild_goat
n01577035 sturnus_vulgaris
n02875436 rock_drill
n09820263 jock
n04518764 valise
n03475823 hairdressing
n07672914 oleomargarine
n04340521 stroboscope
n12112008 grama
n02823510 beer_can
n00466880 croquet
n05578095 heel
n01629962 spotted_salamander
n07607361 licorice
n02984203 duomo
n07694659 shortcake
n01914163 anthozoan
n01733957 gopher_snake
n07928578 phosphate
n04037076 rabbit_ears
n04403638 scope
n04969242 azure
n13900422 pillar
n04181228 trammel
n13866626 convex_polygon
n07870069 souvlaki
n11627512 tsuga_canadensis
n07928790 pepsi_cola
n08494231 funfair
n13132756 thyrsus
n09453008 plateau
n06415688 jotter
n11628456 douglas_fir
n03953020 business_establishment
n01549430 pewee
n07816575 hyssop
n04545471 zimmer
n13917690 truncated_pyramid
n02003204 marabout
n02372584 coney
n04951716 aura
n11838916 bougainvillea
n04585745 windlass
n04355115 sunday_best
n02067240 sperm_whale
n01671125 gopher
n03912218 pennywhistle
n07764315 sapota
n03547229 hovercraft
n03553486 gravimeter
n12865562 purple_sage
n02207805 worker_bee
n11916696 achillea_millefolium
n04602840 works
n02624807 spanish_mackerel
n01830915 motmot
n02523427 eelpout
n10305635 medical_officer
n03533014 narghile
n03454110 grapnel
n02003839 jabiru
n02412787 hogget
n12246232 blueberry
n12633638 apple_tree
n02207345 queen_bee
n07860629 manna
n03795976 movie_projector
n09462600 troposphere
n12663359 coffea_canephora
n04426316 thong
n03404360 fur_hat
n13132656 panicle
n04001845 pressure_suit
n12062468 helleborine
n03315644 facing
n09191635 air_bubble
n07557165 treat
n07806221 salad
n01918744 ctenophore
n11868814 crucifer
n04463679 rails
n02430045 deer
n04373428 donkey_engine
n03288500 engine_room
n01551711 manakin
n03062336 cocotte
n11639445 mountain_pine
n13154388 pinnule
n02916350 bullet
n11758122 lightwood
n01797601 sage_grouse
n09463226 tundra
n03680734 lobe
n12402596 pipal
n04543996 wainscot
n07584332 bisque
n04586581 key
n03331077 fez
n00446804 spar
n02811059 cage
n03916470 perfumery
n03397266 frigate
n12833985 streptocarpus
n04186624 shawm
n03836976 rayons
n10120671 gardener
n03855333 oriel_window
n03906106 wooden_leg
n11910271 bleeding_heart
n07897200 hock
n02033208 greyback
n07562495 dietary_supplement
n12757303 bearberry
n07889990 burton
n03139089 crown
n02388143 pacer
n03359566 flask
n02922798 gunny
n11705171 cassia
n02326862 european_hare
n00470554 professional_football
n07712959 nacho
n02767433 backrest
n11978713 helianthus_annuus
n07936548 carbonated_water
n13879320 triangle
n02667478 abbey
n03665924 electric_light
n04374735 synagogue
n02824319 belfry
n12156819 grain
n07732302 hominy
n07900825 port
n10123844 full_general
n03730153 materiel
n09315159 ion
n02341974 water_vole
n03434285 generator
n05469861 dendrite
n02976123 sheath_knife
n10735984 umpire
n04371563 swimming_costume
n04382880 tachometer
n03658858 spirit_level
n03699975 machine
n04590746 windshield_wiper
n09403427 rainbow
n03199647 diner
n07921834 scrumpy
n04535370 villa
n02384741 steeplechaser
n02911332 polisher
n02413484 cotswold
n04247876 snaffle
n07927716 birch_beer
n03187751 dialyzer
n03622058 klaxon
n01991028 slater
n02363351 castor_canadensis
n04437953 timekeeper
n07721456 chilly
n03181667 detention_house
n04318982 still
n04409384 tenement
n03452267 gramophone
n07849733 whey
n12045860 arethusa
n03644378 reata
n12244153 rhododendron
n09362945 mull
n12545635 lotus_corniculatus
n02241426 true_bug
n02801525 basin
n12202936 linden
n01441910 silversides
n02921592 burette
n03500389 hay_bale
n07888378 shebeen
n02873623 boot_camp
n03965456 mall
n02062430 cetacean
n03547054 hut
n07922764 chocolate
n09436708 sky
n03055418 clutch
n04002629 primary
n08256735 wedding
n04456734 torpedo
n11623967 deodar
n03119203 trading_post
n02031934 snipe
n03585875 ironing
n02147947 pipistrelle
n11647703 kauri
n13107694 timber_tree
n02336641 wood_mouse
n02590702 bream
n11879722 brassica_napus
n02045596 auklet
n07580253 special
n12227658 brier
n07881800 potable
n00433802 gymnastics
n03858418 pouf
n03098140 control_board
n03592245 pokey
n03883524 pannier
n02085019 feist
n02800213 mitt
n02432291 whitetail
n02208280 apis_mellifera
n12589687 latanier
n01791625 chicken
n11672269 bloomer
n03719343 mantelpiece
n02877962 bottle_opener
n11978233 sunflower
n02004492 jabiru
n01619536 condor
n03122073 covered_bridge
n01755740 timber_rattlesnake
n01480106 placoderm
n03928116 pianoforte
n04533802 vcr
n12648045 peach_tree
n02749670 assagai
n04139859 savings_bank
n02236241 praying_mantis
n02759387 autogyro
n04393095 tape_recorder
n11971248 gazania
n02863750 steam_boiler
n03238879 dress_shirt
n12065649 frog_orchid
n01547832 tyrant_flycatcher
n02022684 shorebird
n03983612 poplin
n04403413 telephoto_lens
n04568557 web
n04035912 quoin
n03826039 niqab
n02820210 bedding
n12345899 rhizophora_mangle
n07763987 mangosteen
n05218119 remains
n03419014 garment
n04543509 wagon
n02872529 booster_station
n04322531 stockade
n04340750 strongbox
n03211789 display_window
n03581125 carrefour
n05258051 forelock
n12814643 catalpa
n11904109 corydalis
n02523427 burbot
n07884567 alcoholic_beverage
n03681477 lan
n12696492 neem_tree
n03731019 mattock
n03652729 lean_to
n03815278 neckline
n03343047 fin_keel
n04288272 spring
n08238463 class
n07581346 appetizer
n03430418 gazebo
n03085915 computer_system
n02803934 contrabass
n02761034 automatic_transmission
n04381994 tableware
n03494537 organ
n03129753 credence
n03035715 cistern
n07587023 potage
n04127904 canvass
n06267564 daily
n04972451 deep_brown
n07827750 poppy_seed
n07617708 plum_pudding
n02933990 cable_television
n04177820 settee
n07596684 sweet
n02862048 body_armor
n02223266 termite
n03541696 hostelry
n12412987 orris
n07928887 root_beer
n12433178 shallot
n03365231 floatplane
n03885194 panting
n01575745 oriole
n03511175 hedge
n02034661 longlegs
n12470512 greenbrier
n04060647 receiving_system
n12493208 carob
n02123478 angora
n02878222 bottom
n03112719 corselet
n01621635 owlet
n03814817 neckerchief
n03653583 reading_desk
n07766530 mammee
n03115014 cotter_pin
n03578656 interface
n13081999 dry_rot
n07733712 pigweed
n07749312 valencia_orange
n07933799 cuppa
n04476116 trawler
n03675235 linotype_machine
n04210120 shredder
n03471347 gusset
n02843909 biretta
n01617095 gyps_fulvus
n02393580 tapir
n02486657 chacma
n01584225 wren
n12854048 horehound
n07726672 cowpea
n03504723 main_office
n03798061 mule
n03039353 claymore_mine
n12862828 patchouli
n03351262 fishing_boat
n07868340 fried_rice
n12953484 osmunda_regalis
n03342015 fingerpaint
n04524594 velcro
n07765361 guava
n03264906 edger
n12607456 pineapple
n02715513 anteroom
n07866723 egg_roll
n02766534 pusher
n03878511 palaestra
n02036711 avocet
n11765568 honey_mesquite
n03567066 brooder
n02344528 lemming
n03684823 engine
n03688943 observation_tower
n04049405 waterproof
n07574176 potluck
n03595409 jeroboam
n02776825 balaclava
n04363777 surcoat
n12124818 perennial_ryegrass
n07838073 gravy
n02513727 parr
n04452757 toolshed
n02539424 lake_whitefish
n12305986 mountain_ash
n04216634 screen
n02062017 aquatic_mammal
n07575076 lunch
n04123228 sackcloth
n04501837 turntable
n11657585 nagi
n12848499 hyssop
n03036022 city_hall
n02525382 torsk
n01781570 acarus
n07751004 peach
n02447762 american_badger
n02923129 burner
n03431745 gearing
n12590715 palm_kernel
n02774630 luggage
n04113038 rouleau
n13900422 column
n12548280 trefoil
n02770211 back_porch
n03073977 pillar
n12263204 castanea_sativa
n03085781 computer_store
n03449451 calabash
n04330189 stoup
n09448690 creek_bed
n04266162 space_platform
n02922292 grave_mound
n12006766 coneflower
n07595649 cane_sugar
n03626272 pommel
n01664990 hawkbill
n08518171 camping_site
n03326073 feedback_circuit
n03507241 fireside
n02963987 cardroom
n13137010 kernel
n03512030 helicon
n03745146 zoological_garden
n07840520 worcestershire
n01671125 gopher_tortoise
n04524941 velour
n02538562 salvelinus_alpinus
n02943241 camera_lens
n11733312 larkspur
n04215402 pavement
n07760501 tokay
n07891433 sake
n02921884 sepulchre
n04235291 sledge
n03602365 joss_house
n00483605 doubles
n03725717 masonry
n02197689 drosophila
n04955160 burnish
n01680264 spiny_lizard
n07866015 croquette
n03746005 menorah
n07693590 danish_pastry
n03900979 marquee
n03870980 pack
n01670802 giant_tortoise
n02197185 medfly
n03815149 necklet
n07759194 concord_grape
n02706806 amusement_arcade
n00452293 hunting
n01554448 woodcreeper
n13007417 oyster_mushroom
n07623136 pastry
n03003091 chalk
n02448060 meles_meles
n12621619 eglantine
n01712008 theropod
n02003204 marabou_stork
n04358491 superhighway
n03116008 couchette
n04407435 temple
n03534776 hoover
n07847198 cream
n04290079 spun_yarn
n03620353 kitchenette
n12047345 brassavola
n03358172 photoflash
n01616086 sea_eagle
n04317063 sternwheeler
n07574780 continental_breakfast
n07613158 syllabub
n11612349 mountain_pine
n02759387 gyroplane
n02055803 penguin
n03245724 drone
n02538406 charr
n02811618 battle_cruiser
n03503233 lintel
n07755929 cantaloupe
n07562379 diabetic_diet
n13905792 crinkle
n03233123 drapery
n04358874 superstructure
n11758799 red_sandalwood
n03582959 inverter
n11602873 dioon
n03253796 duffel
n03619196 kirtle
n04453156 toothbrush
n03394149 freight_elevator
n01589286 creeper
n09435739 sink
n03852280 optical_instrument
n04475900 trawl
n04563413 waterwheel
n02392824 white_rhinoceros
n12737383 loranthaceae
n00463543 hockey
n07849912 curd
n03309808 textile
n08571898 flea_market
n02793842 barn_door
n02757927 audiovisual
n01876667 bilby
n03450516 gown
n04469813 tram
n01555004 pitta
n03864139 overhand_knot
n04256520 lounge
n02125081 felis_silvestris
n02732072 aquarium
n04000311 press
n05245192 freckle
n03180969 detector
n02571652 bigeye
n04045085 radio_transmitter
n04541662 vomitory
n07840520 worcestershire_sauce
n12704041 oca
n04491388 nightstick
n07698782 wrap
n09409752 ridgeline
n13868944 undulation
n03537085 horn
n09245515 cwm
n03088580 condo
n02288268 looper
n04044307 radiotelegraphy
n11621950 canada_balsam
n01481498 rabbitfish
n02803934 double_bass
n04261506 body
n01807828 grey_partridge
n04250692 snood
n02395003 swine
n03450974 grab_bag
n07572353 commissariat
n01456756 sea_horse
n03354903 flag
n02823586 beer_garden
n03367410 florist
n03399971 fruit_machine
n04244847 smack
n11877860 swede
n03360133 flat_arch
n03038685 classroom
n07851767 cottage_cheese
n04147495 scientific_instrument
n03724756 musjid
n07567139 food_color
n12665271 woodruff
n03349296 firkin
n01594372 swallow
n01972541 cuttlefish
n12011620 dusty_miller
n03988170 post
n12352639 musa_acuminata
n03503718 headgear
n02047614 puffin
n13902793 taper
n00017222 flora
n02251593 citrus_mealybug
n02670683 throttle
n07557165 goody
n12664710 cinchona_bark
n09376526 davy_jones
n02080713 bearded_seal
n04605321 worsted_yarn
n01971620 loligo
n03304197 exocet
n03491032 hang_glider
n04452848 tooth
n02800497 cellar
n09818022 spaceman
n02058747 gooney
n02014941 rail
n05263448 attilio
n09381242 outcrop
n04540397 voltage_regulator
n03692136 smoking_jacket
n04011827 propellor
n02405929 aberdeen_angus
n02536165 sockeye_salmon
n07709333 greens
n04355267 sun_deck
n09433839 shoreline
n01792955 sitter
n07607605 lollipop
n03999992 press
n01806847 california_quail
n07924655 must
n04181228 shackle
n04041243 radiator_cap
n02299157 tobacco_hornworm
n04099429 rocket
n02613181 blenny
n15102455 hardboard
n03351262 fishing_smack
n04192521 sheraton
n09259025 crag
n03530910 cowl
n01813385 turtledove
n07672914 margarine
n03719053 manse
n03292475 epee
n01581730 nutcracker
n12697152 cedrela_odorata
n01533893 crossbill
n12710295 tangerine
n02697221 a_line
n09445289 steppe
n11658544 matai
n09470222 vein
n03685820 rooming_house
n01527617 lark
n02841506 binocular_microscope
n04590021 window_seat
n07731436 postum
n12745386 rambutan
n02412629 lambkin
n04268142 spark_arrester
n12771390 kaki
n09283193 fomite
n04264914 spacecraft
n05218119 corpse
n02951703 canopic_jar
n07903543 applejack
n07745357 loganberry
n03668488 lightship
n03124474 cowl
n04962062 silver
n03246454 drop_curtain
n01769347 arachnoid
n02982416 catboat
n09403211 radiator
n04044307 wireless_telegraph
n04552551 war_room
n04183957 shank
n05458576 oocyte
n01827403 kingfisher
n03159640 pulpit
n03497100 hash_house
n03592931 jammer
n02740533 armored_vehicle
n03201638 formal
n03543603 hot_tub
n02184720 cootie
n04488530 trouser
n07869937 kedgeree
n15090065 retinol
n04468005 train
n03820728 network
n12403513 sycamore_fig
n01321456 adult
n09228055 brae
n02472293 human_being
n01839598 flicker
n02986160 cattle_guard
n10142747 granny
n01392380 ameba
n10298912 skipper
n04541136 voltaic_pile
n03903133 peavy
n07597145 confiture
n13901211 barrel
n12733647 aspen
n07747055 citrus
n03751065 mess_hall
n03493792 ironware
n03891051 windbreaker
n03409591 gable_roof
n04134632 sandglass
n12329260 crape_myrtle
n06266633 fleet_street
n11773987 rose_bay
n04061969 niche
n03378442 foot
n01314388 pest
n07560542 kosher
n04566257 arms
n03024064 choir
n12409840 sugarberry
n03991646 potentiometer
n07767171 mulberry
n03487886 hand_pump
n12301180 olea_europaea
n04025633 purdah
n07768858 prickly_pear
n04401680 telephone_box
n07917133 sazerac
n01504344 baby_bird
n03224603 dormer_window
n01794344 tom
n04543158 wagon
n03055670 coach
n03413428 gaming_house
n04471148 transept
n03004824 bema
n07809096 fixings
n11769621 allamanda
n02535537 atlantic_salmon
n04193377 shift_key
n11919761 ambrosia_artemisiifolia
n03950899 topi
n02200630 gnat
n13163553 deadwood
n03601638 jointer
n01612275 merlin
n11916696 yarrow
n02034661 stilt
n11615607 jack_pine
n02430830 fawn
n04408871 patch
n02758960 autoclave
n03695753 luge
n13108323 pollard
n04089836 riding_crop
n02244173 assassin_bug
n07712559 crisp
n04185804 shaver
n07843636 fried_egg
n04590263 windowsill
n01583209 butcherbird
n04403925 telescopic_sight
n02024763 lapwing
n00452152 cockfighting
n03262932 easy_chair
n03180969 sensor
n02168427 glowworm
n13133932 spadix
n12479537 dracaena
n04121511 sabre
n02382132 hack
n02889996 master_cylinder
n02333909 black_rat
n12236160 salal
n02869563 boneshaker
n03268790 electric_automobile
n04395106 plaid
n13907272 crack
n04171831 semiconductor_device
n12631331 avens
n04357930 supercharger
n14810561 choline
n02037464 phalarope
n01956764 seashell
n02404186 beef
n04166281 sedan
n12656369 framboise
n02583567 characin
n03266371 eggbeater
n03102859 cooling_system
n04047401 railing
n03625539 knitting_machine
n02238594 lace_bug
n11828577 chenopodium_album
n07847827 heavy_cream
n03322704 greenmarket
n11733054 delphinium
n12564083 winged_bean
n03246454 drop
n03345837 fire_extinguisher
n02358091 gopher
n12261808 white_beech
n03086457 concert_grand
n02907873 brownstone
n00470966 rugby_football
n06267893 rag
n02024763 peewit
n02454794 peba
n11625804 spruce_pine
n03963028 plating
n02604954 spadefish
n04457157 torpedo
n03007297 frat_house
n07813107 common_salt
n07821610 tarragon
n02946824 camshaft
n02936570 kaftan
n04102162 rollerblade
n05584746 hangnail
n04371979 swing_door
n02601344 mullet
n02670683 gas_pedal
n00434075 acrobatics
n07816164 basil
n02419796 antelope
n04008385 production_line
n02341974 water_rat
n08547544 crest
n02977936 gambling_casino
n07902520 moonshine
n07840672 coconut_milk
n02472987 humanity
n13032923 verpa
n03397412 frigate
n07813107 salt
n12877244 snapdragon
n12621619 briar
n03272239 electric_heater
n01710177 diplodocus
n13901321 tube
n03813946 nebuchadnezzar
n02386224 hackney
n02627292 bluefin_tuna
n01744100 reticulated_python
n07683360 bannock
n12933274 wild_celery
n03781787 monitor
n04529962 tail_fin
n03038281 clasp
n04004475 printer
n03827536 noisemaker
n02276355 red_admiral
n02049088 diver
n04282872 split_rail
n03688066 long_iron
n02658531 plaice
n11985053 iva
n03262932 lounge_chair
n11783920 anthurium
n03451798 graffito
n02425228 bushbuck
n02990373 ceiling
n15091669 vitamin_b6
n03819448 nest_egg
n02403454 cow
n07899976 generic
n02278210 fritillary
n12402051 ficus_aurea
n01323493 dam
n12558230 lima_bean
n01748906 hamadryad
n03525693 holding_cell
n08618831 perihelion
n12086012 vanda
n01815601 sandgrouse
n03338821 photographic_film
n04164002 secondary
n02708711 analyser
n02838345 bilge_pump
n00483705 real_tennis
n04023249 punch
n03397947 frisbee
n03743279 megaphone
n01599556 loggerhead_shrike
n03193597 diesel_locomotive
n11770256 dita
n00470966 rugby
n02196344 fruit_fly
n02639087 grindle
n01664990 hawksbill
n01972541 cuttle
n04393095 tape_machine
n12061380 butterfly_orchid
n02089555 foxhound
n02393161 black_rhinoceros
n14564779 wall
n01639765 anuran
n01845132 waterfowl
n07572957 canned_foods
n02380052 lipizzan
n01965889 escallop
n12421917 jonquil
n02499316 potto
n14820180 concrete
n07864756 chicken_kiev
n11533212 basidiocarp
n03159640 podium
n12385830 weld
n02685365 air_bag
n07845166 pasteurized_milk
n03070854 collimator
n02766534 baby_carriage
n02407071 durham
n03513376 helmet
n07801779 alfalfa
n03405111 furnace_room
n02803934 string_bass
n07932841 tea
n02851099 blind
n02715513 hall
n07815839 black_pepper
n06359467 chatroom
n03657511 cat_suit
n03411927 gallery
n12950126 valerian
n03905947 peg
n11685621 silique
n04227900 skewer
n02916350 slug
n04371563 bathing_suit
n02714535 anode
n10185793 horseman
n06255081 vehicle
n07601290 orange_peel
n11944954 carduus_nutans
n04445952 toggle_switch
n03041265 cleat
n07643026 lemon_curd
n12455950 gloriosa
n11722982 aconite
n02426813 eland
n12451915 fritillary
n12659356 spiraea
n07904865 grog
n13579829 cordage
n03402941 funeral_parlor
n04026053 purifier
n01579578 daw
n03490649 handwheel
n04530566 watercraft
n03013580 shimmy
n07614348 sorbet
n12827907 manroot
n02243562 water_strider
n07743723 wintergreen
n11542137 peat_moss
n03164722 davenport
n03553019 foil
n13918717 trapezohedron
n03956922 industrial_plant
n03426462 gastroscope
n01931520 pinworm
n01726692 ophidian
n07721456 chili_pepper
n03495941 harpoon_gun
n04065464 recreation_room
n12166128 bottle_gourd
n01809106 guinea_fowl
n07897865 rioja
n04192238 shelter
n04507453 undercarriage
n02780315 roller_bearing
n02431785 american_elk
n12237486 kalmia
n11700058 mayapple
n04328329 storage_battery
n04004475 printing_machine
n01930852 ascaris_lumbricoides
n01315581 ectotherm
n03668067 lightning_conductor
n11600372 cycad
n01379389 staphylococcus
n07870894 lobster_thermidor
n09308572 berg
n04300509 stamper
n12126084 oryza_sativa
n11794519 duckweed
n07925500 tomato_juice
n07846471 condensed_milk
n01959492 tridacna_gigas
n04006411 probe
n04093625 skating_rink
n03103563 coonskin
n12052787 coelogyne
n03073545 columbarium
n02835724 bicycle_pump
n02803934 bass_fiddle
n02283951 tortricid
n03826186 quonset_hut
n07694839 hardtack
n09406793 reef
n02042180 laughing_gull
n03126385 crampon
n02286089 gipsy_moth
n03293863 equatorial
n01804653 northern_bobwhite
n01838598 woodpecker
n03315644 cladding
n04461879 toy
n00446804 sparring
n02570838 surfperch
n12683791 field_scabious
n03092166 hothouse
n04245218 scsi
n04274985 sphygmomanometer
n03759432 microfilm
n04220250 silo
n03505504 headscarf
n11706942 persea_borbonia
n13079073 monilia
n04375615 synchronous_motor
n03824713 night_light
n03871860 packing_plant
n03627954 hinge_joint
n12585629 borassus_flabellifer
n04425977 third
n03920737 petticoat
n02933462 storage_locker
n01576076 golden_oriole
n03086670 concertina
n02921756 burglar_alarm
n03232309 drainage_ditch
n10507482 rapper
n07905296 demerara
n02797692 pedestal
n03775747 mizen
n03708962 magnetron
n04225729 skate
n02843553 feeder
n07740855 jonathan
n02911332 buffer
n12365285 laurelwood
n03170872 deerstalker
n03578251 icbm
n01748906 king_cobra
n13141141 buckthorn
n02375438 stable_companion
n11611087 spruce_pine
n07925966 ade
n09257843 cove
n03714235 makeup
n02475669 modern_man
n12143215 emmer
n03047171 clockwork
n02854926 blouse
n03782190 monitoring_device
n03324928 fatigues
n04979002 warning_coloration
n07899769 vouvray
n04324515 stocks
n09245515 corrie
n02694426 warning_device
n04103665 roll_on
n02910864 buckskins
n03981094 bodkin
n04175147 server
n02125081 european_wildcat
n03502509 headdress
n09245515 cirque
n01978930 swimming_crab
n13869896 bight
n13919547 wedge
n03429137 gatling_gun
n11621281 christmas_tree
n02166229 bean_beetle
n07922764 hot_chocolate
n04400289 telecommunication_equipment
n02129463 lioness
n01886756 placental
n12428076 martagon
n02388143 pacesetter
n11965627 fleabane
n02509515 coati
n04961331 bone
n01982650 lobster
n03695452 luff
n02944075 camisole
n02473857 peking_man
n03168107 deck
n02988156 cd_drive
n03236735 dress
n04077889 research_center
n03778817 module
n11758276 acacia_pycnantha
n01531344 linnet
n12455950 gloriosa_superba
n07715561 squash
n13908201 cleft
n01605630 hawk
n03500699 haymaker
n03129636 creche
n02729965 convenience
n02983357 catchment
n02689274 air_rifle
n03524150 hockey_stick
n00468480 football
n03959701 shell
n03837606 oast
n01796729 moorhen
n07841037 ovalbumin
n04233295 skywalk
n03947466 pipe_wrench
n03035832 gittern
n04018667 public_lavatory
n04279063 spinning_jenny
n02599347 weakfish
n03108624 core_drill
n02407390 holstein
n04246855 smoking_car
n04567746 weather_ship
n01753032 puff_adder
n07736813 cocoyam
n04455048 topknot
n01885498 anteater
n04278932 spinning_frame
n07605804 panoche
n02527271 moray_eel
n01745125 elapid_snake
n02404573 bos_indicus
n02836607 bifocals
n12728656 dwarf_willow
n04089152 ridgepole
n12023108 feverfew
n02406533 brown_swiss
n07922147 perry
n04140777 sawmill
n03844233 oil_paint
n11616852 jersey_pine
n12744387 litchi
n02067240 cachalot
n01521756 nandu
n11753700 white_clover
n02276902 white_admiral
n07841495 boiled_egg
n07890352 stout
n04577293 wherry
n04118021 rug
n03801533 music_hall
n03519387 high_rise
n04510706 universal
n11890022 woad
n07565259 board
n03948830 pistol_grip
n03610524 kennel
n09189157 eyrie
n02966545 clawhammer
n09442595 tongue
n04181718 shade
n03156071 cyclotron
n03905730 thole
n07811416 herb
n09472413 crater
n07938313 soul_food
n02359324 prairie_dog
n04460130 tower
n09931640 handler
n01732614 corn_snake
n03661340 lid
n03236217 dredge
n12911673 tomatillo
n03739518 health_facility
n03551395 hydraulic_press
n02000954 wading_bird
n03637181 lamppost
n11960245 dahlia
n03996004 power_pack
n04469813 aerial_tramway
n11609475 pinyon
n01558461 redwing
n06267145 newspaper
n04190997 racing_shell
n06277135 radiocommunication
n03381450 force_pump
n02995345 processor
n03956331 epicyclic_gear
n12836862 phacelia
n11622591 subalpine_fir
n06267991 yellow_journalism
n12217851 grevillea_banksii
n04589593 window_frame
n03051540 wear
n02089232 dachshund
n01947396 whelk
n07820145 rosemary
n03387323 foundation_garment
n07618119 duff
n02861509 bodkin
n12629666 loquat
n13907272 fissure
n02610066 tautog
n04475749 trawl
n01903346 scute
n04486616 troika
n01850373 whistler
n03628728 kris
n11860555 bitterroot
n04136161 sari
n03323703 fastener
n11876634 cauliflower
n07903962 grappa
n01689081 spiny_lizard
n03138669 diadem
n03794136 hair_gel
n04402984 telegraph_wire
n02828427 belting
n04129766 sailor_suit
n03736064 meat_grinder
n02926591 bustle
n12316444 liquidambar
n06263609 print_media
n01558594 merl
n02882301 bowling_ball
n04209811 showroom
n07854066 limburger
n02629230 bonito
n03245724 bourdon
n11695974 cananga_odorata
n07745046 boysenberry
n02670683 accelerator_pedal
n04469813 tramway
n03613592 key
n02563792 bluegill
n02523110 whiting
n03041114 cleat
n01565599 sedge_warbler
n07572353 provisions
n04241249 slip_on
n03848033 open_circuit
n04343740 student_union
n02533834 anchovy
n10735984 ump
n03469031 gun_emplacement
n04082710 retaining_wall
n06255613 paper
n02745492 artificial_heart
n02975212 display_case
n03322704 green_market
n07692517 bialy
n04189282 sheeting
n02698473 alpaca
n02995345 cpu
n01694709 monitor_lizard
n08579352 grainfield
n03644378 lasso
n04113406 roulette_wheel
n03786715 mortar
n04294426 stabilizer
n01560636 chat
n02890940 shoe
n07588111 fish_chowder
n13238988 stephanotis
n03306869 extension
n04158250 scythe
n02373336 perissodactyl
n03391613 frame_buffer
n01997825 ostracod
n00446411 in_fighting
n11994150 tarweed
n03622839 knee_brace
n04485884 triskelion
n04080454 resonator
n02760855 automatic_rifle
n07750449 citron
n03056583 coaming
n02557182 yellow_perch
n03235042 drawing_room
n03943115 pinion
n12843557 lesser_calamint
n04386051 tailstock
n03063338 coffee_maker
n03135030 croquet_mallet
n03159640 soapbox
n03339643 filter
n12495146 locust
n02028451 lesser_yellowlegs
n04103094 rolling_mill
n10297234 mascot
n02797692 base
n03956922 works
n04358491 information_superhighway
n01527194 accentor
n03407369 fuse
n04234455 slat
n14131950 herpes
n07599783 brittle
n11752937 shamrock
n07928163 cream_soda
n02777100 balance
n12321077 pecan
n02026629 surfbird
n02813544 bazaar
n02061853 diving_petrel
n03991443 voltage_divider
