n02422699 impala
n03208938 disc_brake
n03770439 miniskirt
n04229816 ski_mask
n02088238 basset_hound
n07760859 custard_apple
n03970156 plunger
n04462240 toyshop
n03065424 spiral
n04081281 eating_place
n03089624 confectionery
n04517823 vacuum_cleaner
n02865351 bolo
n04026417 purse
n04153751 screw
n02110063 alaskan_malamute
n03000247 chain_mail
n02109525 st_bernard
n03929660 pick
n02948072 candle
n01531178 goldfinch
n03042490 cliff_dwelling
n02088094 afghan_hound
n03065424 whorl
n02869837 bonnet
n03733281 labyrinth
n03888257 parachute
n04599235 wool
n09399592 foreland
n02486410 baboon
n02786058 band_aid
n02783161 biro
n02948072 taper
n02981792 catamaran
n02110063 malemute
n04515003 upright
n02992529 cellphone
n04335435 streetcar
n02342885 hamster
n03201208 board
n07697537 hotdog
n03404251 fur_coat
n02917067 bullet_train
n02791124 barber_chair
n02319095 sea_urchin
n02114367 grey_wolf
n04525305 vending_machine
n02692877 airship
n02018795 bustard
n03207941 dishwasher
n04335435 tramcar
n02492660 howler_monkey
n01685808 whiptail_lizard
n03492542 hard_disk
n02977058 automatic_teller
n02690373 airliner
n02835271 tandem_bicycle
n02395406 sus_scrofa
n09288635 geyser
n07697537 red_hot
n02927161 butcher_shop
n02992529 cellular_phone
n02977058 cash_dispenser
n03032252 movie_house
n02117135 hyaena
n04597913 wooden_spoon
n04428191 threshing_machine
n01443537 goldfish
n04554684 washer
n04141076 saxophone
n03345487 fire_engine
n02412080 tup
n02361337 marmot
n03733281 maze
n02066245 devilfish
n03032252 picture_palace
n02950826 cannon
n02395406 pig
n04074963 remote
n03649909 mower
n02871525 bookshop
n07718472 cucumber
n01843065 jacamar
n03924679 photocopier
n01494475 hammerhead
n07718747 artichoke
n03871628 packet
n04192698 shield
n02484975 guenon
n02236044 mantis
n03982430 pool_table
n01981276 king_crab
n07695742 pretzel
n03095699 containership
n07802026 hay
n03063599 coffee_mug
n02892767 bra
n02488702 colobus_monkey
n03544143 hourglass
n01532829 linnet
n02641379 gar
n07753275 ananas
n02102318 cocker
n03642806 laptop_computer
n03028079 church_building
n03259280 dutch_oven
n03908618 pencil_case
n03854065 pipe_organ
n03160309 dam
n02815834 beaker
n02056570 king_penguin
n02120505 gray_fox
n04557648 water_bottle
n04335435 tram
n04127249 safety_pin
n03240683 drilling_platform
n02769748 back_pack
n03785016 moped
n02085620 chihuahua
n04346328 stupa
n03777568 model_t
n13054560 bolete
n02814860 lighthouse
n04259630 sombrero
n04254777 sock
n01955084 chiton
n03977966 police_wagon
n03884397 syrinx
n02841315 binoculars
n01498041 stingray
n04081281 restaurant
n02655020 puffer
n03272562 electric_locomotive
n01806143 peacock
n02125311 catamount
n04515003 upright_piano
n04532670 viaduct
n02099712 labrador_retriever
n02229544 cricket
n02107312 miniature_pinscher
n03425413 gasoline_pump
n04417672 thatched_roof
n07920052 espresso
n01632458 spotted_salamander
n04041544 radio
n01797886 ruffed_grouse
n02071294 orca
n13133613 ear
n02097298 scottish_terrier
n03832673 notebook
n07749582 lemon
n04540053 volleyball
n03877845 palace
n02978881 cassette
n02977058 automated_teller
n04550184 closet
n02058221 albatross
n07734744 mushroom
n07836838 chocolate_sauce
n02769748 rucksack
n07745940 strawberry
n02992529 cell
n02233338 roach
n01729977 green_snake
n02814533 station_wagon
n01986214 hermit_crab
n02128925 panther
n06785654 crossword
n03888257 chute
n02814860 pharos
n12998815 agaric
n02795169 barrel
n01768244 trilobite
n02490219 marmoset
n02790996 barbell
n03337140 filing_cabinet
n03535780 horizontal_bar
n02165456 ladybug
n03775071 mitten
n01494475 hammerhead_shark
n02117135 hyena
n02814533 wagon
n03710721 maillot
n01644900 tailed_frog
n02125311 cougar
n02787622 banjo
n02788148 handrail
n02837789 two_piece
n02509815 red_panda
n03089624 candy_store
n02114855 canis_latrans
n02980441 castle
n03776460 mobile_home
n02509815 panda
n01667778 terrapin
n09399592 promontory
n02769748 backpack
n04542943 waffle_iron
n03658185 letter_opener
n04019541 puck
n02441942 weasel
n04429376 throne
n01833805 hummingbird
n03791053 scooter
n03706229 magnetic_compass
n02396427 wild_boar
n04008634 projectile
n03602883 joystick
n03837869 obelisk
n03617480 kimono
n02165456 ladybird
n02454379 armadillo
n02837789 bikini
n03692522 loupe
n04371774 swing
n02129604 tiger
n01614925 american_eagle
n04548280 wall_clock
n03874293 paddlewheel
n01860187 black_swan
n02093754 border_terrier
n03916031 perfume
n03935335 piggy_bank
n03759954 microphone
n04162706 seat_belt
n07871810 meat_loaf
n04131690 salt_shaker
n06596364 comic_book
n02776631 bakeshop
n03777754 modem
n04584207 wig
n01795545 black_grouse
n03594945 jeep
n04147183 schooner
n03697007 lumbermill
n02804610 bassoon
n02093991 irish_terrier
n02125311 panther
n02071294 killer
n02346627 hedgehog
n12057211 cypripedium_calceolus
n02236044 mantid
n02092339 weimaraner
n01806567 quail
n01753488 horned_viper
n01582220 magpie
n03899768 patio
n02871525 bookstall
n02788148 bannister
n04141076 sax
n01984695 spiny_lobster
n02834397 bib
n07768694 pomegranate
n03991062 flowerpot
n04606251 wreck
n03980874 poncho
n01770081 harvestman
n12768682 buckeye
n09256479 coral_reef
n02002556 white_stork
n07753275 pineapple
n04335435 trolley_car
n03710637 maillot
n03825788 nipple
n03344393 fireboat
n02096051 airedale
n02279972 monarch
n07753113 fig
n03095699 container_vessel
n03065424 helix
n04326547 stone_wall
n03770679 minivan
n03400231 skillet
n03109150 corkscrew
n12768682 conker
n02317335 starfish
n03977966 black_maria
n02500267 indri
n02643566 lionfish
n04447861 toilet_seat
n01667114 mud_turtle
n02279972 danaus_plexippus
n03220513 dome
n10148035 bridegroom
n01847000 drake
n02002724 black_stork
n02927161 meat_market
n09332890 lakeside
n02088238 basset
n03775546 mixing_bowl
n03124170 cowboy_hat
n04465501 tractor
n03400231 frying_pan
n02114712 red_wolf
n02106662 german_shepherd
n03782006 monitor
n04523525 vault
n01729977 grass_snake
n01983481 american_lobster
n01748264 indian_cobra
n02091635 otterhound
n07613480 trifle
n02412080 ram
n02097298 scottie
n01734418 king_snake
n13044778 earthstar
n03376595 folding_chair
n02823428 beer_bottle
n04065272 recreational_vehicle
n02776631 bakery
n04536866 violin
n06874185 stoplight
n02108551 tibetan_mastiff
n03467068 guillotine
n03425413 petrol_pump
n04238763 slide_rule
n03089624 confectionary
n02086240 shih_tzu
n04162706 seatbelt
n04008634 missile
n02794156 barometer
n02687172 carrier
n03794056 mousetrap
n04208210 shovel
n01695060 giant_lizard
n03160309 dike
n03290653 entertainment_center
n02415577 bighorn
n01632777 axolotl
n02910353 buckle
n02326432 hare
n04501370 turnstile
n03938244 pillow
n07697537 hot_dog
n02808440 tub
n02788148 balusters
n02802426 basketball
n04553703 lavabo
n02071294 sea_wolf
n01734418 kingsnake
n02086910 papillon
n03763968 military_uniform
n09421951 sand_bar
n02325366 cottontail_rabbit
n02123597 siamese
n02488291 langur
n02110806 basenji
n07579787 plate
n02804414 bassinet
n03492542 hard_disc
n02226429 hopper
n07615774 lollipop
n01443537 carassius_auratus
n09468604 valley
n02128757 ounce
n04136333 sarong
n04310018 steam_locomotive
n02101556 clumber
n02808440 bath
n03496892 reaper
n03832673 notebook_computer
n01669191 box_turtle
n02093647 bedlington_terrier
n02356798 fox_squirrel
n02655020 blowfish
n04270147 spatula
n03594945 landrover
n12768682 horse_chestnut
n04335435 trolley
n02892767 bandeau
n04200800 shoe_store
n02493793 spider_monkey
n04592741 wing
n03977966 patrol_wagon
n03026506 christmas_stocking
n03770439 mini
n04204347 shopping_cart
n04458633 totem_pole
n02125311 painter
n11939491 daisy
n01984695 rock_lobster
n03271574 blower
n07892512 red_wine
n02105641 bobtail
n03494278 mouth_harp
n03187595 dial_telephone
n03950228 pitcher
n03891332 parking_meter
n02110341 dalmatian
n02279972 monarch_butterfly
n04311174 steel_drum
n02113799 standard_poodle
n04380533 table_lamp
n03742115 medicine_chest
n04389033 tank
n07711569 mashed_potato
n02086079 pekingese
n07614500 ice_cream
n07716358 zucchini
n02097047 miniature_schnauzer
n04040759 radiator
n01914609 sea_anemone
n01631663 eft
n03291819 envelope
n03857828 cro
n04493381 tub
n02206856 bee
n04404412 television
n03535780 high_bar
n03065424 coil
n02105412 kelpie
n03733131 maypole
n01484850 white_shark
n01601694 dipper
n02105505 komondor
n02268853 damselfly
n02704792 amphibian
n01728572 worm_snake
n02395406 squealer
n03976467 polaroid_camera
n07716906 spaghetti_squash
n06785654 crossword_puzzle
n07871810 meatloaf
n03759954 mike
n02169497 leaf_beetle
n01818515 macaw
n03000684 chainsaw
n07730033 cardoon
n04081281 eatery
n02071294 grampus
n03691459 speaker
n02114367 timber_wolf
n03337140 file
n02276258 admiral
n01755581 diamondback
n04376876 syringe
n03584254 ipod
n02979186 cassette_player
n02415577 cimarron
n02395406 hog
n04141975 weighing_machine
n03196217 digital_clock
n04553703 washbasin
n01616318 vulture
n12144580 corn
n03649909 lawn_mower
n03691459 speaker_system
n04579432 whistle
n02963159 cardigan
n01558993 american_robin
n02447366 badger
n01665541 leatherback
n02641379 billfish
n02092002 deerhound
n03691459 loudspeaker_system
n02797295 barrow
n02769748 haversack
n01608432 kite
n01930112 roundworm
n01872401 echidna
n01983481 maine_lobster
n02442845 mink
n04141975 scale
n04258138 solar_collector
n02514041 snoek
n02325366 cottontail
n02088094 afghan
n01770393 scorpion
n03032252 movie_theatre
n03127925 crate
n02841315 field_glasses
n02113186 cardigan
n03697007 sawmill
n04366367 suspension_bridge
n02906734 broom
n03908714 pencil_sharpener
n01978455 rock_crab
n01749939 green_mamba
n03991062 pot
n02841315 opera_glasses
n06874185 traffic_light
n02814533 estate_car
n03977966 police_van
n02398521 hippo
n02123045 tabby_cat
n03884397 panpipe
n04074963 remote_control
n02364673 guinea_pig
n02814533 waggon
n02776631 bakehouse
n02346627 porcupine
n01704323 triceratops
n04277352 spindle
n02129165 panthera_leo
n02096051 airedale_terrier
n02129165 lion
n01978287 dungeness_crab
n07615774 popsicle
n01784675 centipede
n04141327 scabbard
n02793495 barn
n04442312 toaster
n01534433 snowbird
n03014705 chest
n01440764 tench
n03998194 prayer_rug
n01755581 diamondback_rattlesnake
n04146614 school_bus
n02006656 spoonbill
n07697313 cheeseburger
n02398521 hippopotamus
n04548362 wallet
n02870880 bookcase
