n02447366 badger
n02091032 italian_greyhound
n03902125 pay_phone
n02643566 lionfish
n01742172 boa_constrictor
n04423845 thimble
n02708093 analog_clock
n04146614 school_bus
n02790996 barbell
n03777754 modem
n02093754 border_terrier
n03127747 crash_helmet
n02791270 barbershop
n02090622 borzoi
n02134418 sloth_bear
n01582220 magpie
n03887697 paper_towel
n04074963 remote
n04074963 remote_control
n01871265 tusker
n02480495 orangutan
n02480495 orang
n02105162 malinois
n01943899 conch
n02951585 can_opener
n09288635 geyser
n03344393 fireboat
n12620546 rosehip
n12620546 hip
n12620546 rose_hip
n02105056 groenendael
n04254680 soccer_ball
n03871628 packet
n02096051 airedale
n02096051 airedale_terrier
n04392985 tape_player
n12267677 acorn
n02099712 labrador_retriever
n03467068 guillotine
n03710193 letter_box
n03710193 mailbox
n04542943 waffle_iron
n01695060 komodo_dragon
n01695060 giant_lizard
n03769881 minibus
n02058221 albatross
n03930313 picket_fence
n03930313 paling
n03888605 bars
n03888605 parallel_bars
n04326547 stone_wall
n04532670 viaduct
n02085936 maltese
n04179913 sewing_machine
n01824575 coucal
n02444819 otter
n02971356 carton
n13044778 earthstar
n07871810 meat_loaf
n07871810 meatloaf
n01955084 chiton
n04275548 spider_web
n07565083 menu
n01818515 macaw
n02437312 dromedary
n04443257 tobacconist
n04443257 tobacco_shop
n02094433 yorkshire_terrier
n04235860 sleeping_bag
n02666196 abacus
n03998194 prayer_rug
n04409515 tennis_ball
n03417042 garbage_truck
n03376595 folding_chair
n02105855 shetland_sheepdog
n02105855 shetland
n02494079 squirrel_monkey
n02028035 redshank
n02783161 ballpoint_pen
n02783161 ballpoint
n02783161 biro
n01530575 brambling
n04355933 sunglass
n02268853 damselfly
n03908714 pencil_sharpener
n02256656 cicala
n02256656 cicada
n01632777 axolotl
n04149813 scoreboard
n07742313 granny_smith
n04328186 stopwatch
n04328186 stop_watch
n02098413 lhasa_apso
n02098413 lhasa
n13040303 stinkhorn
n01669191 box_turtle
n02112018 pomeranian
n03535780 horizontal_bar
n03535780 high_bar
n07697537 hotdog
n07697537 red_hot
n07697537 hot_dog
n03843555 oil_filter
n04462240 toyshop
n02483362 gibbon
n03483316 hair_dryer
n01698640 american_alligator
n01882714 koala
n01860187 black_swan
n01847000 drake
n04501370 turnstile
n02096585 boston_terrier
n02669723 academic_gown
n04238763 slide_rule
n04259630 sombrero
n03187595 dial_telephone
n07711569 mashed_potato
n03445924 golf_cart
n03240683 drilling_platform
n02097047 miniature_schnauzer
n03980874 poncho
n02504458 african_elephant
n02504458 loxodonta_africana
n03218198 dog_sled
n03218198 dogsled
n02108551 tibetan_mastiff
n02090379 redbone
n02441942 weasel
n04243546 slot
n03662601 lifeboat
n04136333 sarong
n02786058 band_aid
n02110806 basenji
n03146219 cuirass
n03642806 laptop
n03642806 laptop_computer
n03874599 padlock
n02817516 shako
n02817516 busby
n02817516 bearskin
n01641577 bullfrog
n03794056 mousetrap
n02492660 howler
n02492660 howler_monkey
n03617480 kimono
n06596364 comic_book
n02106166 border_collie
n02486261 patas
n03814639 neck_brace
n02676566 acoustic_guitar
n04325704 stole
n01806567 quail
n02074367 dugong
n04461696 wrecker
n04461696 tow_truck
n01692333 gila_monster
n04562935 water_tower
n03196217 digital_clock
n02130308 acinonyx_jubatus
n02130308 cheetah
n02109525 saint_bernard
n02109525 st_bernard
n04346328 tope
n04346328 stupa
n04201297 shoji
n03935335 piggy_bank
n03796401 moving_van
n03649909 mower
n03649909 lawn_mower
n01687978 agama
n03042490 cliff_dwelling
n02823428 beer_bottle
n02749479 assault_gun
n02749479 assault_rifle
n04118538 rugby_ball
n02091635 otterhound
n04310018 steam_locomotive
n04596742 wok
n02317335 sea_star
n02317335 starfish
n03141823 crutch
n02481823 chimp
n02481823 chimpanzee
n02481823 pan_troglodytes
n02027492 dunlin
n02106550 rottweiler
n02701002 ambulance
n03599486 jinrikisha
n03599486 rickshaw
n02834397 bib
n03764736 milk_can
n02871525 bookstore
n02871525 bookshop
n02871525 bookstall
n02259212 leafhopper
n03496892 harvester
n03496892 reaper
n03776460 mobile_home
n02089973 english_foxhound
n02110063 malamute
n02110063 alaskan_malamute
n02110063 malemute
n04019541 hockey_puck
n04019541 puck
n04553703 lavabo
n04553703 washbasin
n01751748 sea_snake
n07613480 trifle
n02088364 beagle
n04371430 swimming_trunks
n04200800 shoe_shop
n04200800 shoe_store
n02099601 golden_retriever
n01775062 wolf_spider
n02091134 whippet
n02109961 husky
n02109961 eskimo_dog
n02088238 basset_hound
n02088238 basset
n06794110 street_sign
n04479046 trench_coat
n07831146 carbonara
n01753488 cerastes
n01753488 horned_viper
n02364673 guinea_pig
n02102318 cocker_spaniel
n02102318 cocker
n03788365 mosquito_net
n01664065 loggerhead_turtle
n01664065 loggerhead
n01664065 caretta_caretta
n04229816 ski_mask
n02111889 samoyed
n02128757 snow_leopard
n02128757 ounce
n02727426 apiary
n04560804 water_jug
n02123394 persian_cat
n02002556 white_stork
n04370456 sweatshirt
n04204347 shopping_cart
n03197337 digital_watch
n02109047 great_dane
n02398521 river_horse
n02398521 hippo
n02398521 hippopotamus
n03075370 combination_lock
n02112350 keeshond
n03868242 oxcart
n03657121 lens_cover
n02769748 knapsack
n02769748 back_pack
n02769748 rucksack
n02769748 backpack
n02769748 haversack
n03630383 lab_coat
n01682714 anole
n03841143 odometer
n02097474 tibetan_terrier
n02782093 balloon
n03062245 cocktail_shaker
n07720875 bell_pepper
n04069434 reflex_camera
n01689811 alligator_lizard
n02988304 cd_player
n03976467 polaroid_camera
n04447861 toilet_seat
n03837869 obelisk
n01484850 white_shark
n02006656 spoonbill
n03584254 ipod
n03207941 dish_washer
n03207941 dishwasher
n02086910 papillon
n02415577 bighorn_sheep
n02415577 bighorn
n02415577 cimarron
n02981792 catamaran
n07583066 guacamole
n04317175 stethoscope
n02093428 staffordshire_terrier
n03721384 xylophone
n03721384 marimba
n02013706 limpkin
n03425413 gas_pump
n03425413 gasoline_pump
n03425413 petrol_pump
n03384352 forklift
n04597913 wooden_spoon
n02115913 dhole
n04263257 soup_bowl
n01494475 hammerhead
n01494475 hammerhead_shark
n02114367 gray_wolf
n02114367 canis_lupus
n02114367 grey_wolf
n02114367 timber_wolf
n03720891 maraca
n02086240 shih_tzu
n03787032 mortarboard
n03874293 paddle_wheel
n03874293 paddlewheel
n02095889 sealyham
n04252225 snowplough
n04252225 snowplow
n02966193 carousel
n02966193 roundabout
n02966193 whirligig
n02966193 carrousel
n01978455 rock_crab
n04599235 woollen
n04599235 woolen
n04599235 wool
n03825788 nipple
n02100583 vizsla
n03314780 face_powder
n03272562 electric_locomotive
n01740131 night_snake
n01537544 indigo_bunting
n03938244 pillow
n04486054 triumphal_arch
n02134084 polar_bear
n02134084 ice_bear
n07590611 hot_pot
n07590611 hotpot
n02111129 leonberg
n02108915 french_bulldog
n02977058 cash_machine
n02977058 atm
n02977058 automatic_teller
n02977058 cash_dispenser
n02977058 automated_teller
n01592084 chickadee
n03868863 oxygen_mask
n04147183 schooner
n03891251 park_bench
n02002724 black_stork
n02091467 elkhound
n02091467 norwegian_elkhound
n02730930 apron
n04023962 punching_bag
n02106030 collie
n02165105 tiger_beetle
