n02422699 impala
n03314780 face_powder
n02090379 redbone
n04591713 wine_bottle
n03017168 chime
n12267677 acorn
n03388183 fountain_pen
n02233338 cockroach
n02102318 cocker_spaniel
n03345487 fire_truck
n03595614 jersey
n02894605 breakwater
n02133161 ursus_americanus
n03272010 electric_guitar
n02259212 leafhopper
n02108915 french_bulldog
n02704792 amphibious_vehicle
n02226429 grasshopper
n02138441 meerkat
n03895866 carriage
n06874185 traffic_signal
n02128925 panthera_onca
n02123045 tabby
n02111889 samoyed
n03485794 hanky
n03873416 paddle
n02012849 crane
n02791270 barbershop
n02088364 beagle
n04443257 tobacco_shop
n07248320 dust_jacket
n03207941 dish_washer
n02510455 panda_bear
n03494278 harp
n04482393 tricycle
n09399592 headland
n07248320 book_jacket
n03868863 oxygen_mask
n03977966 wagon
n04370456 sweatshirt
n02909870 pail
n02051845 pelican
n04613696 yurt
n02415577 bighorn_sheep
n03944341 pinwheel
n02097474 tibetan_terrier
n01984695 crayfish
n07248320 dust_cover
n04118538 rugby_ball
n02018207 american_coot
n02391049 zebra
n02504013 elephas_maximus
n03841143 odometer
n02966193 carousel
n03743016 megalith
n02783161 ballpoint_pen
n02130308 cheetah
n07720875 bell_pepper
n07873807 pizza
n03527444 holster
n01753488 cerastes
n03662601 lifeboat
n04599235 woolen
n02089973 english_foxhound
n03657121 lens_cover
n04086273 revolver
n01796340 ptarmigan
n02321529 sea_cucumber
n03691459 loudspeaker
n03249569 drum
n02992529 cellular_telephone
n03838899 oboe
n01534433 junco
n04493381 vat
n03457902 glasshouse
n02860847 bobsleigh
n07614500 icecream
n03630383 lab_coat
n03045698 cloak
n03461385 grocery_store
n06794110 street_sign
n07583066 guacamole
n03100240 convertible
n03085013 keypad
n01774384 black_widow
n03482405 hamper
n03788195 mosque
n02480495 orangutan
n02443484 ferret
n01677366 iguana_iguana
n03710193 letter_box
n03930630 pickup
n01689811 alligator_lizard
n02395406 grunter
n07590611 hot_pot
n04019541 hockey_puck
n01950731 nudibranch
n03032252 movie_theater
n02749479 assault_rifle
n02481823 chimp
n02895154 aegis
n02112137 chow_chow
n02641379 garfish
n02114367 gray_wolf
n03000684 chain_saw
n04532106 vestment
n02165456 ladybird_beetle
n03388043 fountain
n02769748 knapsack
n04044716 radio_telescope
n07754684 jackfruit
n02443114 fitch
n02917067 bullet
n02966193 roundabout
n03761084 microwave_oven
n03485794 hankey
n02106550 rottweiler
n02397096 warthog
n02666196 abacus
n04482393 trike
n09332890 lakeshore
n10565667 scuba_diver
n07831146 carbonara
n03065424 volute
n01737021 water_snake
n03485794 handkerchief
n02492035 ringtail
n04125021 safe
n02174001 rhinoceros_beetle
n03710193 mailbox
n02112018 pomeranian
n02879718 bow
n02814860 beacon
n03787032 mortarboard
n03496892 harvester
n03000247 mail
n04070727 icebox
n02504013 indian_elephant
n02835271 tandem
n03977966 paddy_wagon
n03494278 harmonica
n01944390 snail
n02098413 lhasa_apso
n02437616 llama
n04428191 thrasher
n02488702 colobus
n02930766 cab
n01558993 robin
n07615774 lolly
n03180011 desktop_computer
n02129604 panthera_tigris
n03450230 gown
n02783161 ballpoint
n01641577 bullfrog
n01695060 komodo_dragon
n03733805 measuring_cup
n03160309 dyke
n02443114 polecat
n02115641 dingo
n04398044 teapot
n03791053 motor_scooter
n03494278 mouth_organ
n01697457 nile_crocodile
n02860847 bobsled
n03125729 cradle
n03743016 megalithic_structure
n02132136 bruin
n03903868 plinth
n01537544 indigo_bunting
n02113023 pembroke
n04554684 washing_machine
n02930766 taxicab
n03786901 mortar
n03874293 paddle_wheel
n13040303 stinkhorn
n02111129 leonberg
n03995372 power_drill
n04266014 space_shuttle
n02123394 persian_cat
n03840681 ocarina
n02795169 cask
n03110669 trumpet
n01873310 platypus
n07693725 bagel
n04296562 stage
n03188531 diaper
n02123597 siamese_cat
n02037110 oystercatcher
n01872401 anteater
n01491361 tiger_shark
n09421951 sandbar
n02992529 mobile_phone
n01530575 brambling
n01664065 caretta_caretta
n04346328 tope
n02930766 hack
n04467665 rig
n04317175 stethoscope
n04070727 refrigerator
n03916031 essence
n07836838 chocolate_syrup
n04192698 buckler
n03444034 go_kart
n04435653 tile_roof
n01985128 crawfish
n09835506 ballplayer
n02114367 canis_lupus
n03141823 crutch
n03447721 gong
n02165456 lady_beetle
n02132136 brown_bear
n03131574 crib
n02128385 leopard
n01756291 sidewinder
n04522168 vase
n03666591 igniter
n02100877 irish_setter
n01735189 grass_snake
n03146219 cuirass
n04487394 trombone
n02814860 beacon_light
n03131574 cot
n03721384 xylophone
n01665541 leatherback_turtle
n02219486 ant
n04356056 shades
n03627232 knot
n03476991 hair_spray
n03208938 disc_brake
n03770439 miniskirt
n02119022 red_fox
n03970156 plunger
n04462240 toyshop
n02894605 groyne
n03065424 spiral
n04081281 eating_place
n03089624 confectionery
n04153751 screw
n03000247 chain_mail
n03891251 park_bench
n02536864 silver_salmon
n03110669 cornet
n01531178 goldfinch
n03042490 cliff_dwelling
n02088094 afghan_hound
n03065424 whorl
n03733281 labyrinth
n03888257 parachute
n03126707 crane
n04599235 wool
n09399592 foreland
n02486410 baboon
n02786058 band_aid
n02783161 biro
n04515003 upright
n15075141 bathroom_tissue
n02992529 cellphone
n02342885 hamster
n07697537 hotdog
n09428293 seashore
n02917067 bullet_train
n02791124 barber_chair
n02883205 bow_tie
n02319095 sea_urchin
n03761084 microwave
n03676483 lipstick
n02114367 grey_wolf
n02817516 shako
n02692877 airship
n02930766 taxi
n03207941 dishwasher
n02480855 gorilla
n02492660 howler_monkey
n03492542 hard_disk
n02690373 airliner
n03325584 boa
n03666591 lighter
n02835271 tandem_bicycle
n02090721 irish_wolfhound
n06359193 site
n02395406 sus_scrofa
n09288635 geyser
n07697537 red_hot
n02927161 butcher_shop
n02992529 cellular_phone
n03888605 bars
n03032252 movie_house
n02117135 hyaena
n07742313 granny_smith
n04597913 wooden_spoon
n02109047 great_dane
n03895866 coach
n04428191 threshing_machine
n04372370 switch
n01443537 goldfish
n04554684 washer
n04141076 saxophone
n03345487 fire_engine
n01592084 chickadee
n01687978 agama
n02098413 lhasa
n02361337 marmot
n03733281 maze
n03838899 hautbois
n02894605 bulwark
n02066245 devilfish
n03032252 picture_palace
n04252225 snowplow
n02437312 dromedary
n02395406 pig
n04074963 remote
n03372029 flute
n03649909 mower
n04560804 water_jug
n01843065 jacamar
n03924679 photocopier
n04033901 quill
n07718747 artichoke
n03729826 matchstick
n01775062 wolf_spider
n04192698 shield
n03218198 dog_sled
n02236044 mantis
n04347754 submarine
n03047690 patten
n01981276 king_crab
n07695742 pretzel
n03095699 containership
n07802026 hay
n02488702 colobus_monkey
n03544143 hourglass
n03016953 commode
n04069434 reflex_camera
n03976657 pole
n02641379 gar
n07753275 ananas
n02102318 cocker
n03461385 grocery
n03642806 laptop_computer
n03259280 dutch_oven
n03908618 pencil_case
n03160309 dam
n02095889 sealyham
n02056570 king_penguin
n04557648 water_bottle
n04325704 stole
n04127249 safety_pin
n03240683 drilling_platform
n02769748 back_pack
n03785016 moped
n02085620 chihuahua
n04346328 stupa
n13054560 bolete
n02814860 lighthouse
n04259630 sombrero
n02894605 seawall
n02894605 groin
n04254777 sock
n03947888 pirate
n09246464 drop
n03977966 police_wagon
n02504458 african_elephant
n03956157 planetarium
n03884397 syrinx
n02841315 binoculars
n02536864 cohoe
n04081281 restaurant
n02843684 birdhouse
n02655020 puffer
n03272562 electric_locomotive
n01985128 crawdaddy
n04515003 upright_piano
n04532670 viaduct
n02504458 loxodonta_africana
n02099712 labrador_retriever
n02229544 cricket
n01698640 american_alligator
n07920052 espresso
n01632458 spotted_salamander
n01740131 night_snake
n01797886 ruffed_grouse
n02097298 scottish_terrier
n04252077 snowmobile
n03967562 plow
n07749582 lemon
n01817953 african_grey
n09428293 seacoast
n04540053 volleyball
n03877845 palace
n02978881 cassette
n01729977 green_snake
n07836838 chocolate_sauce
n02091831 saluki
n01871265 tusker
n02769748 rucksack
n02992529 cell
n01924916 flatworm
n02233338 roach
n01986214 hermit_crab
n04476259 tray
n02128925 panther
n06785654 crossword
n04552348 military_plane
n03888257 chute
n02814860 pharos
n12998815 agaric
n03188531 napkin
n02795169 barrel
n01768244 trilobite
n02490219 marmoset
n04409515 tennis_ball
n02790996 barbell
n03337140 filing_cabinet
n02480495 orang
n02165456 ladybug
n03535780 horizontal_bar
n03775071 mitten
n02117135 hyena
n02120079 white_fox
n03710721 maillot
n02837789 two_piece
n02509815 red_panda
n03089624 candy_store
n02509815 panda
n03776460 mobile_home
n03529860 home_theater
n09399592 promontory
n02769748 backpack
n04019541 puck
n02441942 weasel
n04429376 throne
n01833805 hummingbird
n01873310 duckbill
n07930864 cup
n03791053 scooter
n04008634 projectile
n03706229 magnetic_compass
n03602883 joystick
n03837869 obelisk
n03617480 kimono
n02165456 ladybird
n03930313 paling
n06359193 internet_site
n02454379 armadillo
n02837789 bikini
n04285008 sports_car
n03692522 loupe
n04371774 swing
n02536864 coho
n02129604 tiger
n01614925 american_eagle
n04548280 wall_clock
n03874293 paddlewheel
n01860187 black_swan
n02093754 border_terrier
n03916031 perfume
n03935335 piggy_bank
n03633091 ladle
n03759954 microphone
n04162706 seat_belt
n02776631 bakeshop
n03777754 modem
n03443371 goblet
n04584207 wig
n04023962 punching_bag
n01795545 black_grouse
n03947888 pirate_ship
n03594945 jeep
n03697007 lumbermill
n02804610 bassoon
n02219486 emmet
n02093991 irish_terrier
n04149813 scoreboard
n02346627 hedgehog
n12057211 cypripedium_calceolus
n02236044 mantid
n09246464 cliff
n01806567 quail
n02231487 walkingstick
n01753488 horned_viper
n01582220 magpie
n02483708 siamang
n04141076 sax
n03788365 mosquito_net
n01984695 spiny_lobster
n03047690 clog
n07768694 pomegranate
n03991062 flowerpot
n04606251 wreck
n03980874 poncho
n04461696 wrecker
n01985128 crawdad
n03888605 parallel_bars
n03255030 dumbbell
n09256479 coral_reef
n02002556 white_stork
n07753275 pineapple
n02817516 busby
n02883205 bowtie
n03710637 maillot
n03344393 fireboat
n02096051 airedale
n02279972 monarch
n07753113 fig
n03095699 container_vessel
n02895154 egis
n02859443 boathouse
n03065424 helix
n03400231 skillet
n02013706 limpkin
n01580077 jay
n03770679 minivan
n02134418 sloth_bear
n03977966 black_maria
n02500267 indri
n02643566 lionfish
n04447861 toilet_seat
n01667114 mud_turtle
n02279972 danaus_plexippus
n03220513 dome
n03085013 computer_keyboard
n10148035 bridegroom
n04371430 swimming_trunks
n02002724 black_stork
n02120079 arctic_fox
n02927161 meat_market
n09332890 lakeside
n03124170 cowboy_hat
n04465501 tractor
n03400231 frying_pan
n02114712 red_wolf
n03461385 market
n03782006 monitor
n01729977 grass_snake
n01748264 indian_cobra
n07613480 trifle
n04209239 shower_curtain
n02119022 vulpes_vulpes
n02894605 mole
n02708093 analog_clock
n02097298 scottie
n13044778 earthstar
n03376595 folding_chair
n02823428 beer_bottle
n03447447 gondola
n04065272 recreational_vehicle
n02776631 bakery
n04536866 violin
n06874185 stoplight
n02108551 tibetan_mastiff
n03467068 guillotine
n04238763 slide_rule
n03089624 confectionary
n02086240 shih_tzu
n04162706 seatbelt
n04008634 missile
n02363005 beaver
n02510455 panda
n02687172 carrier
n02794156 barometer
n03794056 mousetrap
n02894605 jetty
n01855672 goose
n01695060 giant_lizard
n03290653 entertainment_center
n03160309 dike
n02415577 bighorn
n01632777 axolotl
n01798484 prairie_chicken
n04483307 trimaran
n02231487 walking_stick
n03481172 hammer
n02910353 buckle
n02326432 hare
n04501370 turnstile
n02105855 shetland
n07697537 hot_dog
n02895154 breastplate
n02802426 basketball
n03967562 plough
n03763968 military_uniform
n09421951 sand_bar
n02132136 ursus_arctos
n03483316 hair_dryer
n02123597 siamese
n02488291 langur
n02110806 basenji
n07579787 plate
n02804414 bassinet
n03492542 hard_disc
n02226429 hopper
n06359193 web_site
n03930630 pickup_truck
n07615774 lollipop
n01443537 carassius_auratus
n03721384 marimba
n03461385 food_market
n02939185 caldron
n09468604 valley
n02128757 ounce
n03764736 milk_can
n04136333 sarong
n04310018 steam_locomotive
n02101556 clumber
n03496892 reaper
n01669191 box_turtle
n02093647 bedlington_terrier
n02655020 blowfish
n04552348 warplane
n03594945 landrover
n07753592 banana
n02137549 mongoose
n02493793 spider_monkey
n04592741 wing
n03977966 patrol_wagon
n03026506 christmas_stocking
n03770439 mini
n02966687 tool_kit
n04204347 shopping_cart
n04357314 sunblock
n02408429 water_buffalo
n02481823 chimpanzee
n03950228 pitcher
n11939491 daisy
n01984695 rock_lobster
n03494278 mouth_harp
n03187595 dial_telephone
n02481823 pan_troglodytes
n02279972 monarch_butterfly
n03595614 tee_shirt
n04311174 steel_drum
n02113799 standard_poodle
n04380533 table_lamp
n03742115 medicine_chest
n04389033 tank
n01751748 sea_snake
n07711569 mashed_potato
n01950731 sea_slug
n07614500 ice_cream
n07716358 zucchini
n02097047 miniature_schnauzer
n01914609 sea_anemone
n01631663 eft
n02536864 coho_salmon
n03814639 neck_brace
n02444819 otter
n03857828 cro
n04493381 tub
n01744401 rock_python
n02206856 bee
n04404412 television
n09428293 coast
n03065424 coil
n03535780 high_bar
n02105412 kelpie
n03733131 maypole
n01484850 white_shark
n01601694 dipper
n02704792 amphibian
n01728572 worm_snake
n02115913 dhole
n03218198 dogsled
n02395406 squealer
n03976467 polaroid_camera
n07716906 spaghetti_squash
n04116512 rubber
n06785654 crossword_puzzle
n03017168 bell
n03759954 mike
n02169497 leaf_beetle
n02966193 whirligig
n01818515 macaw
n03000684 chainsaw
n02483362 gibbon
n04081281 eatery
n01677366 iguana
n01877812 wallaby
n02114367 timber_wolf
n15075141 toilet_paper
n03691459 speaker
n03337140 file
n04376876 syringe
n01682714 anole
n03584254 ipod
n02979186 cassette_player
n02415577 cimarron
n03895866 passenger_car
n02395406 hog
n04461696 tow_truck
n03196217 digital_clock
n02916936 bulletproof_vest
n01616318 vulture
n04357314 sunscreen
n02085936 maltese
n02115641 warrigal
n03649909 lawn_mower
n03691459 speaker_system
n04579432 whistle
n02963159 cardigan
n01558993 american_robin
n01665541 leatherback
n02641379 billfish
n02092002 deerhound
n03691459 loudspeaker_system
n02769748 haversack
n01608432 kite
n02102040 english_springer
n01930112 roundworm
n01872401 echidna
n04258138 solar_collector
n02268443 sewing_needle
n03216828 dock
n02088094 afghan
n01770393 scorpion
n03032252 movie_theatre
n03127925 crate
n02841315 field_glasses
n02113186 cardigan
n03697007 sawmill
n02966193 carrousel
n04366367 suspension_bridge
n02906734 broom
n03666591 light
n01749939 green_mamba
n03991062 pot
n02841315 opera_glasses
n02321529 holothurian
n06874185 traffic_light
n04332243 strainer
n01514859 hen
n03977966 police_van
n02123045 tabby_cat
n03884397 panpipe
n04074963 remote_control
n02817516 bearskin
n02776631 bakehouse
n02346627 porcupine
n01704323 triceratops
n04277352 spindle
n02129165 panthera_leo
n02096051 airedale_terrier
n03249569 membranophone
n02129165 lion
n03445924 golf_cart
n07615774 popsicle
n03188531 nappy
n01784675 centipede
n04141327 scabbard
n02793495 barn
n03372029 transverse_flute
n03661043 library
n03584829 iron
n07590611 hotpot
n04442312 toaster
n01534433 snowbird
n03014705 chest
n01440764 tench
n03998194 prayer_rug
n04146614 school_bus
n06359193 website
n02006656 spoonbill
n07697313 cheeseburger
n02134084 ice_bear
n04118776 rule
