n11845793 hedgehog_cactus
n02975994 casein_paint
n01821869 budgie
n03610992 kerchief
n12274358 bur_oak
n04340521 stroboscope
n00523513 sport
n12112008 grama
n03220692 domed_stadium
n02823510 beer_can
n00466880 croquet
n05578095 heel
n03332393 field_gun
n07607361 licorice
n02984203 duomo
n03551582 hydraulic_ram
n02891188 brakes
n07694659 shortcake
n12271643 red_oak
n01733957 gopher_snake
n07928578 phosphate
n04037076 rabbit_ears
n04181228 trammel
n02786198 bandanna
n11627512 tsuga_canadensis
n07928790 pepsi_cola
n08494231 funfair
n13132756 thyrsus
n04348359 submersible
n06415688 jotter
n12711984 lime_tree
n11628456 douglas_fir
n02918964 bumper_car
n04967191 green
n01549430 pewee
n07816575 hyssop
n04506895 ultrasuede
n04545471 zimmer
n13917690 truncated_pyramid
n04301760 standard_transmission
n12771192 persimmon
n03193107 diesel_engine
n04585745 windlass
n02067240 sperm_whale
n10638922 sportsman
n03912218 pennywhistle
n07764315 sapota
n03547229 hovercraft
n03553486 gravimeter
n12865562 purple_sage
n04602840 works
n02523427 eelpout
n10305635 medical_officer
n03533014 narghile
n04095210 river_boat
n03454110 grapnel
n02003839 jabiru
n02412787 hogget
n04209509 shower_room
n01662784 turtle
n12633638 apple_tree
n12246232 blueberry
n07909954 curacao
n03770954 mink
n02207345 queen_bee
n03548195 huck
n07860629 manna
n03795976 movie_projector
n02796207 barrel_vault
n12935609 hemlock
n03404360 fur_hat
n13132656 panicle
n13038068 gyromitra_esculenta
n12062468 helleborine
n02981911 trebuchet
n09263912 gorge
n09191635 air_bubble
n07557165 treat
n01918744 ctenophore
n11868814 crucifer
n03744276 computer_storage
n04513827 upholstery
n04463679 rails
n02430045 deer
n04373428 donkey_engine
n03288500 engine_room
n03572107 inkle
n03062336 cocotte
n13154388 pinnule
n02916350 bullet
n11758122 lightwood
n01797601 sage_grouse
n09463226 tundra
n03680734 lobe
n04543996 wainscot
n07584332 bisque
n07584423 borsht
n04586581 key
n00446804 spar
n02811059 cage
n03916470 perfumery
n03397266 frigate
n04385079 tailor_made
n03836976 rayons
n10120671 gardener
n11910271 bleeding_heart
n07897200 hock
n07562495 dietary_supplement
n12757303 bearberry
n07889990 burton
n03273913 fridge
n02626265 kingfish
n02388143 pacer
n02922798 gunny
n11705171 cassia
n04409128 pinnace
n03979377 polyester
n02326862 european_hare
n00470554 professional_football
n07712959 nacho
n02767433 backrest
n11978713 helianthus_annuus
n13879320 triangle
n03732458 maxi
n02667478 abbey
n04374735 synagogue
n07732302 hominy
n07900825 port
n10123844 full_general
n03730153 materiel
n04579056 whiskey_bottle
n02210427 mining_bee
n05469861 dendrite
n03682487 lock
n07818995 marjoram
n04371563 swimming_costume
n04382880 tachometer
n03859000 outboard
n03699975 machine
n04590746 windshield_wiper
n09403427 rainbow
n02384741 steeplechaser
n04247876 snaffle
n07927716 birch_beer
n02490811 pygmy_marmoset
n02689434 jackhammer
n03187751 dialyzer
n03566193 incinerator
n03622058 klaxon
n01991028 slater
n02363351 castor_canadensis
n04437953 timekeeper
n07721456 chilly
n02786736 bandoneon
n03181667 detention_house
n04318982 still
n04409384 tenement
n03452267 gramophone
n03656484 lense
n07849733 whey
n12045860 arethusa
n03644378 reata
n12545635 lotus_corniculatus
n01813948 turtledove
n02801525 basin
n12202936 linden
n02921592 burette
n04052442 ranch
n04017807 pt_boat
n03965456 mall
n02062430 cetacean
n09436708 sky
n03055418 clutch
n04002629 primary
n08256735 wedding
n07851926 processed_cheese
n11623967 deodar
n03119203 trading_post
n12737898 mistletoe
n02031934 snipe
n03585875 ironing
n11647703 kauri
n03082807 compressor
n13107694 timber_tree
n02336641 wood_mouse
n07903208 brandy
n03209910 floppy
n11879722 brassica_napus
n07580253 special
n03401279 fuel_injection
n12227658 brier
n07881800 potable
n00433802 gymnastics
n03858418 pouf
n03508101 warmer
n03883524 pannier
n02432291 whitetail
n12416703 saffron
n02208280 apis_mellifera
n00523513 athletics
n12589687 latanier
n13139647 husk
n01791625 chicken
n11672269 bloomer
n03719343 mantelpiece
n02877962 bottle_opener
n11978233 sunflower
n02004492 jabiru
n01619536 condor
n03122073 covered_bridge
n12092262 pimpernel
n03928116 pianoforte
n08555710 crawl_space
n12648045 peach_tree
n02749670 assagai
n02236241 praying_mantis
n02759387 autogyro
n11727091 aquilegia
n04311595 steel_mill
n11859472 spring_beauty
n04393095 tape_recorder
n04586932 wind
n02863750 steam_boiler
n03238879 dress_shirt
n12065649 frog_orchid
n01547832 tyrant_flycatcher
n03983612 poplin
n04403413 telephoto_lens
n04568557 web
n04035912 quoin
n03957315 planter
n03186818 telephone_dial
n03826039 niqab
n03931980 picture_rail
n12345899 rhizophora_mangle
n07763987 mangosteen
n05218119 remains
n09218641 ben
n04543509 wagon
n04322531 stockade
n03211789 display_window
n12814643 catalpa
n11904109 corydalis
n02523427 burbot
n07884567 alcoholic_beverage
n12696492 neem_tree
n03731019 mattock
n03128427 crazy_quilt
n03815278 neckline
n01490360 dusky_shark
n02084732 barker
n04288272 spring
n07584423 borsch
n03927539 photostat
n03343047 fin_keel
n07581346 appetizer
n07893891 burgundy_wine
n02761034 automatic_transmission
n03494537 organ
n03129753 credence
n03572631 inlay
n03035715 cistern
n07587023 potage
n04387932 tampax
n04127904 canvass
n06267564 daily
n03309687 eyeshadow
n07827750 poppy_seed
n07617708 plum_pudding
n02933990 cable_television
n07596684 sweet
n02862048 body_armor
n04084889 revere
n12276477 quercus_petraea
n02223266 termite
n03541696 hostelry
n12412987 orris
n01575745 oriole
n02034661 longlegs
n04060647 receiving_system
n01714231 allosaurus
n12493208 carob
n02123478 angora
n02878222 bottom
n03112719 corselet
n01621635 owlet
n03814817 neckerchief
n03653583 reading_desk
n03115014 cotter_pin
n03986949 portmanteau
n07733712 pigweed
n04445327 toggle
n07749312 valencia_orange
n07933799 cuppa
n04476116 trawler
n03615406 khaki
n03675235 linotype_machine
n04461570 towpath
n02843909 biretta
n04305323 stately_home
n12854048 horehound
n07726672 cowpea
n03504723 main_office
n03798061 mule
n03039353 claymore_mine
n01533651 serin
n03883054 panic_button
n07868340 fried_rice
n03342015 fingerpaint
n04524594 velcro
n07765361 guava
n03264906 edger
n04183329 shaker
n02126640 margay
n04261638 sound_camera
n11765568 honey_mesquite
n02036711 avocet
n03567066 brooder
n03068181 neckband
n03684823 engine
n03688943 observation_tower
n04049405 waterproof
n07574176 potluck
n04363777 surcoat
n12124818 perennial_ryegrass
n07838073 gravy
n02513727 parr
n03302790 exercise_device
n03776997 mock_up
n04452757 toolshed
n02539424 lake_whitefish
n02433925 caribou
n04453910 cover
n12305986 mountain_ash
n03360731 flat
n12117695 barnyard_grass
n04216634 screen
n02062017 aquatic_mammal
n02791665 barbican
n07575076 lunch
n04123228 sackcloth
n11657585 nagi
n03036022 city_hall
n02525382 torsk
n14765422 leopard
n01781570 acarus
n07751004 peach
n02447762 american_badger
n02923129 burner
n03431745 gearing
n02774630 luggage
n01573360 western_meadowlark
n12548280 trefoil
n03073977 pillar
n12263204 castanea_sativa
n03085781 computer_store
n03449451 calabash
n04330189 stoup
n09448690 creek_bed
n04266162 space_platform
n02922292 grave_mound
n12006766 coneflower
n07595649 cane_sugar
n03626272 pommel
n03889726 parasail
n03173929 delivery_truck
n01664990 hawkbill
n08518171 camping_site
n03507241 fireside
n02963987 cardroom
n02167820 calosoma
n03512030 helicon
n04043733 radio_receiver
n07840520 worcestershire
n04524941 velour
n02538562 salvelinus_alpinus
n02943241 camera_lens
n11733312 larkspur
n03788047 mosaic
n07760501 tokay
n03123809 cow_barn
n07891433 sake
n02921884 sepulchre
n04235291 sledge
n03602365 joss_house
n00483605 doubles
n02197689 drosophila
n01680264 spiny_lizard
n03746005 menorah
n07693590 danish_pastry
n03870980 pack
n01670802 giant_tortoise
n02197185 medfly
n03815149 necklet
n07759194 concord_grape
n00452293 hunting
n02706806 amusement_arcade
n01554448 woodcreeper
n03145277 cuddy
n07623136 pastry
n02448060 meles_meles
n12621619 eglantine
n01712008 theropod
n04358491 superhighway
n03116008 couchette
n04407435 temple
n10304914 medalist
n03534776 hoover
n04290079 spun_yarn
n04231272 skirt
n04191595 shelter
n03009794 charnel
n12583401 palmetto
n02962200 carburetor
n01616086 sea_eagle
n04317063 sternwheeler
n02931148 cab
n07574780 continental_breakfast
n07613158 syllabub
n11612349 mountain_pine
n01654637 xenopus_laevis
n02759387 gyroplane
n03245724 drone
n02811618 battle_cruiser
n07804323 rice
n07562379 diabetic_diet
n13905792 crinkle
n04358874 superstructure
n03582959 inverter
n11602873 dioon
n03253796 duffel
n03619196 kirtle
n11690455 petal
n04453156 toothbrush
n06272803 call
n00440382 broad_jump
n03342432 cot
n01589286 creeper
n09435739 sink
n03852280 optical_instrument
n04475900 trawl
n02176747 firefly
n02003037 adjutant
n12737383 loranthaceae
n04397168 tea_chest
n00463543 hockey
n07849912 curd
n02557318 european_perch
n01537895 ortolan
n02793842 barn_door
n02895328 breast_pocket
n02757927 audiovisual
n04126852 safety_lamp
n01876667 bilby
n03450516 gown
n04469813 tram
n03864139 overhand_knot
n04256520 lounge
n02732072 aquarium
n05245192 freckle
n02571652 bigeye
n03662887 life_jacket
n04045085 radio_transmitter
n04541662 vomitory
n07840520 worcestershire_sauce
n12704041 oca
n07698782 wrap
n09409752 ridgeline
n03537085 horn
n03914831 percale
n09245515 cwm
n04044307 radiotelegraphy
n11621950 canada_balsam
n01481498 rabbitfish
n04261506 body
n04250692 snood
n03450974 grab_bag
n03819595 mesh
n02823586 beer_garden
n03367410 florist
n03399971 fruit_machine
n03326948 magic_marker
n11877860 swede
n04389521 tank
n03360133 flat_arch
n13886260 bell
n04147495 scientific_instrument
n03349296 firkin
n01594372 swallow
n03698815 lychgate
n13902793 taper
n00017222 flora
n02251593 citrus_mealybug
n02670683 throttle
n07557165 goody
n01852671 muscovy_duck
n02080713 bearded_seal
n04605321 worsted_yarn
n04462011 toy_box
n01971620 loligo
n03304197 exocet
n03491032 hang_glider
n04452848 tooth
n09818022 spaceman
n03091374 connective
n02058747 gooney
n02014941 rail
n07854982 emmentaler
n09381242 outcrop
n07709333 greens
n02536165 sockeye_salmon
n09433839 shoreline
n07607605 lollipop
n03999992 press
n01806847 california_quail
n07924655 must
n03046257 clock
n11855553 poke
n04181228 shackle
n03457451 greave
n02299157 tobacco_hornworm
n02613181 blenny
n15102455 hardboard
n04192521 sheraton
n11931918 aster
n09259025 crag
n03530910 cowl
n01813385 turtledove
n03292475 epee
n04140631 sawbuck
n12697152 cedrela_odorata
n01533893 crossbill
n02697221 a_line
n09445289 steppe
n01527617 lark
n02841506 binocular_microscope
n04590021 window_seat
n12745386 rambutan
n02412629 lambkin
n03513137 helmet
n04268142 spark_arrester
n01487506 sand_tiger
n09283193 fomite
n05218119 corpse
n12104238 tallgrass
n02951703 canopic_jar
n07903543 applejack
n03124474 cowl
n03246454 drop_curtain
n01769347 arachnoid
n09403211 radiator
n04044307 wireless_telegraph
n04552551 war_room
n10560106 schoolmate
n03592931 jammer
n03614782 keyhole
n02112826 welsh_corgi
n09874862 bridesmaid
n02740533 armored_vehicle
n12321873 shagbark_hickory
n03201638 formal
n03543603 hot_tub
n02184720 cootie
n03861430 outrigger_canoe
n04488530 trouser
n15090065 retinol
n03820728 network
n12403513 sycamore_fig
n09428628 seaside
n01321456 adult
n09228055 brae
n02924116 omnibus
n02472293 human_being
n04076052 repeater
n01839598 flicker
n02986160 cattle_guard
n15092227 ergocalciferol
n01392380 ameba
n03726516 spectrometer
n10298912 skipper
n04541136 voltaic_pile
n04043733 radio
n07597145 confiture
n12733647 aspen
n07747055 citrus
n03891051 windbreaker
n03656484 lens
n04134632 sandglass
n06266633 fleet_street
n11773987 rose_bay
n03508101 heater
n04061969 niche
n11728099 cowslip
n01314388 pest
n04566257 arms
n03024064 choir
n12409840 sugarberry
n03991646 potentiometer
n12301180 olea_europaea
n02736798 argyle
n04025633 purdah
n03431243 gear
n07768858 prickly_pear
n04401680 telephone_box
n07917133 sazerac
n01504344 baby_bird
n03224603 dormer_window
n01794344 tom
n04543158 wagon
n02917521 bullion
n03413428 gaming_house
n04471148 transept
n03004824 bema
n03146687 cullis
n07809096 fixings
n04419073 theodolite
n11769621 allamanda
n02535537 atlantic_salmon
n02396088 sow
n11919761 ambrosia_artemisiifolia
n12274358 quercus_macrocarpa
n02200630 gnat
n13163553 deadwood
n01612275 merlin
n02034661 stilt
n07606538 peppermint_candy
n02430830 fawn
n04408871 patch
n02758960 autoclave
n03695753 luge
n04097373 roadster
n03154895 cutwork
n12401335 fig_tree
n02687992 field
n04164406 second_base
n04590263 windowsill
n02244173 assassin_bug
n07712559 crisp
n12714254 trifoliata
n04185804 shaver
n07843636 fried_egg
n01583209 butcherbird
n02024763 lapwing
n03262932 easy_chair
n01734808 milk_snake
n02435216 musk_deer
n13133932 spadix
n12479537 dracaena
n04121511 sabre
n02382132 hack
n02889996 master_cylinder
n02333909 black_rat
n03674270 link
n12236160 salal
n03090000 conference_table
n03268790 electric_automobile
n04395106 plaid
n04171831 semiconductor_device
n02760429 automatic_gun
n02983507 caterpillar
n12684379 celandine
n03344509 firebox
n14810561 choline
n01956764 seashell
n02404186 beef
n04166281 sedan
n02936402 kaftan
n03266371 eggbeater
n03102859 cooling_system
n07822197 tomato_ketchup
n11800236 ginseng
n03625539 knitting_machine
n02238594 lace_bug
n01858441 swan
n11828577 chenopodium_album
n10721321 traffic_cop
n03322704 greenmarket
n01323155 kit
n12564083 winged_bean
n03246454 drop
n02958343 car
n03345837 fire_extinguisher
n02358091 gopher
n12261808 white_beech
n03086457 concert_grand
n02907873 brownstone
n00470966 rugby_football
n06267893 rag
n02024763 peewit
n02454794 peba
n01592694 tomtit
n03963028 plating
n01911839 hydrozoan
n07813107 common_salt
n07821610 tarragon
n02946824 camshaft
n02285179 codling_moth
n02958343 machine
n02936570 kaftan
n04102162 rollerblade
n04586932 wind_instrument
n02670683 gas_pedal
n00434075 acrobatics
n07816164 basil
n04008385 production_line
n08547544 crest
n02977936 gambling_casino
n07902520 moonshine
n02472987 humanity
n13032923 verpa
n03397412 frigate
n07813107 salt
n12877244 snapdragon
n03724538 five_iron
n12621619 briar
n03272239 electric_heater
n01444339 electric_eel
n03813946 nebuchadnezzar
n02677718 action
n02386224 hackney
n04412416 teepee
n01744100 reticulated_python
n03541091 hospital_room
n07683360 bannock
n03781594 moneybag
n03781787 monitor
n04529962 tail_fin
n03171356 defense
n03038281 clasp
n04004475 printer
n03827536 noisemaker
n02276355 red_admiral
n02387722 poster
n03688066 long_iron
n11985053 iva
n03262932 lounge_chair
n03451798 graffito
n02425228 bushbuck
n02990373 ceiling
n15091669 vitamin_b6
n03819448 nest_egg
n12684379 jewelweed
n07899976 generic
n12402051 ficus_aurea
n01323493 dam
n00449517 auto_racing
n12558230 lima_bean
n01748906 hamadryad
n03525693 holding_cell
n01857325 brent_goose
n07688757 dodger
n01815601 sandgrouse
n03338821 photographic_film
n04164002 secondary
n02931417 nightclub
n00483705 real_tennis
n11811473 lychnis
n03743279 megaphone
n01599556 loggerhead_shrike
n03193597 diesel_locomotive
n00470966 rugby
n01664990 hawksbill
n04393095 tape_machine
n12061380 butterfly_orchid
n02089555 foxhound
n02393161 black_rhinoceros
n01639765 anuran
n02694662 alarm_clock
n12178129 kenaf
n01845132 waterfowl
n02847461 blackjack
n07572957 canned_foods
n01965889 escallop
n02499316 potto
n07864756 chicken_kiev
n12385830 weld
n02685365 air_bag
n03357716 flaps
n07845166 pasteurized_milk
n03070854 collimator
n02407071 durham
n07729485 soy
n03513376 helmet
n07801779 alfalfa
n03405111 furnace_room
n08685188 zodiac
n03984381 porch
n07932841 tea
n02851099 blind
n06359467 chatroom
n11664418 ginkgo
n12950126 valerian
n11685621 silique
n03530189 homing_torpedo
n02916350 slug
n04371563 bathing_suit
n03002711 chaise
n02714535 anode
n11944954 carduus_nutans
n06255081 vehicle
n07601290 orange_peel
n04445952 toggle_switch
n03041265 cleat
n10147710 grocer
n07643026 lemon_curd
n02750169 assembly_plant
n12455950 gloriosa
n11722982 aconite
n02426813 eland
n12451915 fritillary
n07678729 stuffing
n01634227 olm
n07904865 grog
n07895100 pinot_blanc
n03402941 funeral_parlor
n04026053 purifier
n01579578 daw
n03490649 handwheel
n04084889 revers
n03610682 kepi
n12622875 agrimony
n02243562 water_strider
n03903424 pedal
n07758680 grape
n07743723 wintergreen
n03164722 davenport
n03553019 foil
n03426462 gastroscope
n01931520 pinworm
n01726692 ophidian
n07721456 chili_pepper
n03495941 harpoon_gun
n12166128 bottle_gourd
n01809106 guinea_fowl
n04192238 shelter
n12086778 vanilla_orchid
n04507453 undercarriage
n02780315 roller_bearing
n13043926 puffball
n04004475 printing_machine
n01930852 ascaris_lumbricoides
n01315581 ectotherm
n03668067 lightning_conductor
n11600372 cycad
n01379389 staphylococcus
n09308572 berg
n02793684 barndoor
n04300509 stamper
n02752615 supporter
n12126084 oryza_sativa
n07916437 old_fashioned
n11794519 duckweed
n07925500 tomato_juice
n07846471 condensed_milk
n01959492 tridacna_gigas
n04006411 probe
n01818832 kea
n03227856 double_reed
n03875218 pigment
n12052787 coelogyne
n04967191 greenness
n02835724 bicycle_pump
n12437513 kniphofia
n03826186 quonset_hut
n02109811 sled_dog
n09406793 reef
n04094720 riser
n02042180 laughing_gull
n02938886 calculator
n02286089 gipsy_moth
n05581932 cuticle
n04101701 roller
n03293863 equatorial
n01838598 woodpecker
n04052442 cattle_ranch
n10474064 princess
n04461879 toy
n00446804 sparring
n02973904 carving_knife
n02570838 surfperch
n02414043 karakul
n01448951 poeciliid
n12683791 field_scabious
n01887623 bull
n03092166 hothouse
n04245218 scsi
n04274985 sphygmomanometer
n03505504 headscarf
n04448070 toilet_water
n04583022 wickiup
n02113335 poodle
n11706942 persea_borbonia
n13079073 monilia
n03796974 muff
n04375615 synchronous_motor
n01697178 crocodile
n03871860 packing_plant
n03627954 hinge_joint
n12585629 borassus_flabellifer
n04425977 third
n02379430 walking_horse
n04441662 tithe_barn
n02933462 storage_locker
n01576076 golden_oriole
n03086670 concertina
n02921756 burglar_alarm
n03232309 drainage_ditch
n10507482 rapper
n07905296 demerara
n12858397 beebalm
n01641739 green_frog
n12658308 sorbus_aucuparia
n12184912 pavonia
n11793403 malanga
n02797692 pedestal
n03775747 mizen
n03708962 magnetron
n07759576 scuppernong
n04225729 skate
n02843553 feeder
n07740855 jonathan
n03385295 formica
n12365285 laurelwood
n03170872 deerstalker
n03578251 icbm
n01748906 king_cobra
n11611087 spruce_pine
n09257843 cove
n03714235 makeup
n07910970 kahlua
n02475669 modern_man
n12143215 emmer
n03047171 clockwork
n03324928 fatigues
n03535284 hopper
n04979002 warning_coloration
n10316862 military_leader
n07686873 toast
n07899769 vouvray
n12332555 feijoa
n09459979 tor
n04324515 stocks
n09245515 corrie
n04103665 roll_on
n04175147 server
n09245515 cirque
n01978930 swimming_crab
n13869896 bight
n07898895 tokay
n13919547 wedge
n12642600 gean
n11621281 christmas_tree
n02166229 bean_beetle
n00449168 speed_skating
n04400289 telecommunication_equipment
n02129463 lioness
n01886756 placental
n12428076 martagon
n02388143 pacesetter
n02509515 coati
n04961331 bone
n01982650 lobster
n03695452 luff
n02473857 peking_man
n03168107 deck
n02988156 cd_drive
n03778817 module
n03356279 flail
n11758276 acacia_pycnantha
n01531344 linnet
n12455950 gloriosa_superba
n07715561 squash
n01605630 hawk
n03500699 haymaker
n02729965 convenience
n07642471 preserves
n03524150 hockey_stick
n04607869 wristwatch
n04067658 reel
n12721477 palo_santo
n03663531 flotation_device
n03837606 oast
n01796729 moorhen
n07841037 ovalbumin
n03947466 pipe_wrench
n09326662 knoll
n02283617 miller
n03035832 gittern
n04018667 public_lavatory
n04279063 spinning_jenny
n02599347 weakfish
n07757312 black_cherry
n02407390 holstein
n01753032 puff_adder
n03819595 net
n07736813 cocoyam
n12709103 shaddock
n04455048 topknot
n01731545 whipsnake
n02527271 moray_eel
n01745125 elapid_snake
n02404573 bos_indicus
n02836607 bifocals
n12728656 dwarf_willow
n04089152 ridgepole
n12023108 feverfew
n02406533 brown_swiss
n03605598 jumpsuit
n01541386 redbird
n03361550 flats
n03844233 oil_paint
n11616852 jersey_pine
n12744387 litchi
n04404200 teleprinter
n02067240 cachalot
n04968056 emerald
n11753700 white_clover
n02276902 white_admiral
n04185529 sharpie
n04123567 bagging
n07890352 stout
n04577293 wherry
n13137225 syconium
n03801533 music_hall
n04510706 universal
n11890022 woad
n03948830 pistol_grip
n04553389 wash
n03610524 kennel
n02966545 clawhammer
n07642471 conserve
n09442595 tongue
n12014355 artemisia_maritima
n07890617 kvass
n06272290 telephony
n04207343 shoulder_bag
n04181718 shade
n12602262 eriogonum
n03156071 cyclotron
n02174659 cockchafer
n07811416 herb
n07807594 potato_salad
n02359324 prairie_dog
n04460130 tower
n09931640 handler
n01732614 corn_snake
n03661340 lid
n03236217 dredge
n00444340 jackknife
n03739518 health_facility
n03551395 hydraulic_press
n02000954 wading_bird
n11960245 dahlia
n03996004 power_pack
n04596492 witness_stand
n04469813 aerial_tramway
n04190997 racing_shell
n03381450 force_pump
n02995345 processor
n07697699 sloppy_joe
n03956331 epicyclic_gear
n12494794 delonix_regia
n11622591 subalpine_fir
n06267991 yellow_journalism
n12774641 sapodilla
n03109693 quoin
n12217851 grevillea_banksii
n04024983 punt
n01342269 moneron
n04589593 window_frame
n10227266 junior
n03051540 wear
n02089232 dachshund
n03387323 foundation_garment
n07618119 duff
n02861509 bodkin
n12629666 loquat
n02610066 tautog
n01903346 scute
n04486616 troika
n01850373 whistler
n03628728 kris
n11860555 bitterroot
n04136161 sari
n03323703 fastener
n07903962 grappa
n01689081 spiny_lizard
n03794136 hair_gel
n04487724 troop_carrier
n07560193 fast_food
n00454493 troll
n02692232 aerodrome
n02828427 belting
n03736064 meat_grinder
n02926591 bustle
n12316444 liquidambar
n07906111 vodka
n06263609 print_media
n12270946 quercus_chrysolepis
n12278650 cork_oak
n01558594 merl
n02882301 bowling_ball
n07854066 limburger
n02629230 bonito
n03245724 bourdon
n11695974 cananga_odorata
n07745046 boysenberry
n02670683 accelerator_pedal
n03327133 felucca
n03902220 pc_board
n04469813 tramway
n03613592 key
n03585438 chains
n01922717 helminth
n01565599 sedge_warbler
n04241249 slip_on
n04343740 student_union
n02533834 anchovy
n03469031 gun_emplacement
n06255613 paper
n02745492 artificial_heart
n03365374 flood
n02975212 display_case
n03322704 green_market
n07692517 bialy
n03120198 court
n04189282 sheeting
n01974773 crustacean
n02698473 alpaca
n08579352 grainfield
n02995345 cpu
n11812910 sandwort
n03644378 lasso
n03786715 mortar
n01560636 chat
n02890940 shoe
n07588111 fish_chowder
n11994150 tarweed
n03306869 extension
n07900225 varietal
n04158250 scythe
n01809752 hoatzin
n02373336 perissodactyl
n01997825 ostracod
n03622839 knee_brace
n07896661 macon
n04080454 resonator
n04485884 triskelion
n07750449 citron
n01375204 actinomycete
n12062781 chatterbox
n03056583 coaming
n02557182 yellow_perch
n03389611 4wd
n12843557 lesser_calamint
n03943115 pinion
n04386051 tailstock
n03135030 croquet_mallet
n01814921 homer
n03339643 filter
n12495146 locust
n02028451 lesser_yellowlegs
n02797692 base
n03452449 garner
n04358491 information_superhighway
n01527194 accentor
n03431243 gear_mechanism
n12330469 myrtle
n03407369 fuse
n04234455 slat
n14131950 herpes
n07599783 brittle
n11752937 shamrock
n02867592 bomb
n07928163 cream_soda
n03405265 furnishing
n02026629 surfbird
n02813544 bazaar
n02061853 diving_petrel
n02449350 glutton
n01925270 planaria
n03325941 stetson
n12641413 cherry
n11895092 radish
n04062428 lounger
n09210862 atoll
n01803893 argus
n01326291 microorganism
n02257284 periodical_cicada
n07881800 drink
n01958531 geoduck
n04335693 street_clothes
n07880458 wiener_schnitzel
n12301445 olive
n12713063 kumquat
n13068434 bunt
n02991847 cellar
n03034663 buzz_saw
n02934451 car
n07614198 frappe
n03087521 condenser
n04469003 tramway
n07710616 irish_potato
n11537327 bryophyte
n03790755 motor_inn
n03123809 cowhouse
n12273768 pin_oak
n10109443 monstrosity
n07575510 afternoon_tea
n03072201 color_television
n11691857 lip
n03529175 homeroom
n02520147 flathead_catfish
n04255586 soda_can
n02424909 nyala
n10155849 stylist
n02240517 chinch
n13078021 verticillium
n02755823 attic
n03460147 grinding_wheel
n12711984 lime
n12762896 sumach
n12201580 cacao
n02200509 wriggler
n07680932 roll
n01323599 purebred
n03612814 kettle
n12898342 atropa_belladonna
n03766508 hat_shop
n02666943 shambles
n03109881 corner
n05218119 cadaver
n12915140 lantana
n04295881 bowl
n04324387 stock_room
n02874642 bootleg
n04532504 vestry
n12965626 ergot
n02029087 curlew_sandpiper
n12121610 fescue
