n02918112 bullring
n02433318 fallow_deer
n02433318 dama_dama
n02379183 quarter_horse
n07730708 celeriac
n07730708 celery_root
n02009380 snowy_egret
n11927215 arnica_montana
n12856287 spearmint
n03112719 corselet
n04292921 squeegee
n03981760 floating_bridge
n03981760 pontoon_bridge
n01573627 cacique
n12905412 christmas_berry
n11691857 lip
n01794158 turkey
n01794158 meleagris_gallopavo
n03577312 integrator
n03577312 planimeter
n07843636 fried_egg
n04554998 washhouse
n03451365 grade_separation
n03003091 chalk
n02081798 atlantic_walrus
n01912152 hydra
n03971218 plywood
n03514129 hematocrit
n03514129 haematocrit
n02271897 thrips
n12676534 woodbine
n03620353 kitchenette
n12230794 strawberry_tree
n12230794 arbutus_unedo
n12575322 vetch
n03985069 portable
n12831535 columnea
n07860208 golden_syrup
n07860208 treacle
n02098906 water_dog
n03153246 cutlass
n01849863 ruddy_duck
n00477392 lacrosse
n07730207 carrot
n03772584 minute_hand
n07823105 chutney
n02533834 anchovy
n03844965 oil_slick
n03152951 cutaway
n07924655 must
n01318894 pet
n07926250 lemonade
n02056228 adelie
n02477516 paranthropus
n01469103 sea_squirt
n03938037 pillory
n12408280 slippery_elm
n03239054 tailcoat
n03239054 white_tie
n03239054 dress_suit
n03239054 tails
n03239054 full_dress
n01632601 tiger_salamander
n13102775 tendril
n01453087 john_dory
n12621945 cherokee_rose
n07853762 grated_cheese
n07919787 decaffeinated_coffee
n07919787 decaf
n03764822 milk_float
n02993194 cenotaph
n02993194 empty_tomb
n04448361 token
n04969952 purplish_blue
n04969952 royal_blue
n03724417 masher
n03432061 gearset
n12199790 brown_oak
n12199790 booyong
n04370600 sweatshop
n04299963 stamp
n03788498 motel
n10707233 therapist
n10707233 healer
n02432511 mule_deer
n03612010 ketch
n07903643 calvados
n07876550 scampi
n11958080 cosmos
n03349771 first_base
n04329681 storm_cellar
n01828556 kookaburra
n02970685 car_seat
n08659242 coal_seam
n07925229 lemon_juice
n02129463 lioness
n02871147 bookmark
n12472024 clintonia
n04170933 selvage
n04170933 selvedge
n03395859 fresnel_lens
n09348460 massif
n01782516 red_spider
n00434075 tumbling
n00434075 acrobatics
n03354207 fixer_upper
n02026629 surfbird
n11769621 allamanda
n11609475 pinyon
n11609475 pinon
n01843719 toucanet
n03066359 coil_spring
n14698884 gravel
n14698884 crushed_rock
n04483925 trimmer
n07868508 frittata
n04246731 meat_house
n04246731 smokehouse
n10618342 soccer_player
n03901974 pawnshop
n03901974 loan_office
n04047139 railhead
n04454908 topiary
n11793779 calla
n11793779 arum_lily
n11793779 calla_lily
n01330497 arenavirus
n05244755 bacterial_plaque
n05244755 dental_plaque
n01595974 house_martin
n01756089 prairie_rattlesnake
n09452395 swampland
n09452395 swamp
n02694045 aisle
n12073991 odontoglossum
n12765846 spondias_mombin
n02976123 sheath_knife
n09206896 arroyo
n10560106 schoolmate
n10560106 classmate
n04410886 tensiometer
n03879705 palette
n03879705 pallette
n04967674 sea_green
n01937909 bloodsucker
n01937909 leech
n01824344 ani
n03949317 piston_rod
n04564278 wattmeter
n01857079 snow_goose
n01350701 yersinia_pestis
n13137225 syconium
n07575392 high_tea
n07895595 chianti
n04496614 tulle
n04502059 turret_clock
n03711999 mainmast
n03530189 homing_torpedo
n04595855 wiring
n03978421 polling_booth
n09205509 arete
n04151108 scratcher
n04132985 samovar
n03935883 pilaster
n12753245 sugar_maple
n12753245 acer_saccharum
n12168565 lobelia
n03527149 holloware
n03527149 hollowware
n07738224 clingstone
n07738224 cling
n03359436 flash_memory
n04131208 beauty_parlor
n04131208 beauty_parlour
n04131208 salon
n04131208 beauty_shop
n04131208 beauty_salon
n03985881 portcullis
n01841679 wryneck
n02772435 badminton_court
n07860447 maple_syrup
n02250280 cochineal
n03974070 pogo_stick
n02981024 catacomb
n07914128 refresher
n04452757 toolshed
n03443912 goggles
n12119238 wild_rye
n12122725 yorkshire_fog
n12865562 purple_sage
n03161016 dampener
n02415829 mouflon
n01541102 pine_grosbeak
n02820556 bedford_cord
n03178674 derringer
n02317781 brittle_star
n02030837 willet
n04964878 maroon
n04069166 reflectometer
n13025647 yeast
n10223177 jockey
n12455950 gloriosa_superba
n12455950 gloriosa
n02758863 autobahn
n02424909 nyala
n12757816 american_holly
n03693860 lowboy
n04266162 space_platform
n04266162 space_station
n04266162 space_laboratory
n12726670 weeping_willow
n13006631 milkcap
n03293863 equatorial
n03474896 haft
n04075813 rep
n04075813 repp
n04328580 secondary_cell
n02407071 durham
n02407071 shorthorn
n02182045 seed_weevil
n04244847 smack
n12103894 shortgrass
n07625324 timbale
n11811921 maltese_cross
n12176953 upland_cotton
n12584715 sugar_palm
n03620967 kitchen_table
n03546112 house_paint
n02864504 bolero
n02961225 car_battery
n12329260 crape_myrtle
n04555291 washroom
n04539053 vdu
n03447358 golliwog
n03173270 delft
n12128071 paspalum
n12414329 iris_pallida
n11733312 larkspur
n02870772 bookbindery
n01594787 barn_swallow
n02927053 butcher_knife
n03177059 departure_lounge
n05453657 neutrophil
n01378545 myxobacteria
n02356977 black_squirrel
n07890068 pale_ale
n12450344 dogtooth
n03666362 led
n04420720 thermocouple
n02578454 lookdown
n11545350 pecopteris
n13917785 truncated_cone
n05242928 squamous_cell
n04189651 sheet_piling
n04189651 sheet_pile
n03729482 matchlock
n09279986 fireball
n04597309 woodcarving
n04378956 tabi
n03475581 hairbrush
n03826186 nissen_hut
n03826186 quonset_hut
n07822053 caper
n04026180 purl
n01791107 jungle_fowl
n01791107 gallina
n04081699 rest_house
n02288268 inchworm
n02288268 looper
n03147280 culvert
n02068206 beaked_whale
n02844214 bistro
n02905886 bronchoscope
n04206356 shotgun
n02828427 belting
n02433729 roebuck
n04328703 storage_ring
n02563648 pumpkinseed
n03703945 mae_west
n09461069 trapezium
n01622352 horned_owl
n03652100 lead_pencil
n07643679 grape_jelly
n05468739 oligodendrocyte
n03226880 double_door
n01596608 purple_martin
n07886317 kava
n02895008 breast_implant
n03474352 hacienda
n04521863 variometer
n12625383 cotoneaster
n02348788 pocket_mouse
n00887544 team_sport
n01915700 sea_pen
n02069412 common_dolphin
n11939699 bellis_perennis
n07869611 jambalaya
n02935017 cache
n12766595 poison_sumac
n01641206 wood_frog
n09915651 chess_master
n03716887 mandola
n12281974 betula_papyrifera
n12281974 paper_birch
n07709881 bean_curd
n07709881 tofu
n07845087 formula
n11710136 southern_magnolia
n11710136 bull_bay
n11996677 mutisia
n03301568 euphonium
n07770869 areca_nut
n07770869 betel_nut
n07916437 old_fashioned
n03030880 cigarette_butt
n13022709 mycelium
n12279772 quercus_virginiana
n11978713 helianthus_annuus
n11978713 mirasol
n02522722 atlantic_cod
n03271260 electric_clock
n03408054 fuselage
n02419634 takin
n01791954 bantam
n03784270 monstrance
n01552034 bellbird
n01852142 wood_duck
n01991520 pill_bug
n02393161 black_rhinoceros
n02393161 diceros_bicornis
n04976319 pigmentation
n12939874 hogweed
n12939874 cow_parsnip
n12939874 heracleum_sphondylium
n04040247 radial_tire
n04040247 radial
n03984643 porkpie
n12849952 english_lavender
n07887099 draft_beer
n07887099 draught_beer
n00447221 tobogganing
n04305471 state_prison
n13917690 truncated_pyramid
n06267564 daily
n03517760 hi_fi
n07874259 cheese_pizza
n02666501 abandoned_ship
n02666501 derelict
n09245515 cwm
n09245515 cirque
n09245515 corrie
n03284308 empty
n02485536 vervet
n09376198 ocean
n11661909 taxus_baccata
n02409038 anoa
n02431976 sika
n02095727 welsh_terrier
n03413264 galvanometer
n03875806 paintball
n01565599 sedge_warbler
