n04410886 tensiometer
n11628793 pseudotsuga_menziesii
n11811706 ragged_robin
n12500518 cassia_tora
n04097760 roaster
n04245508 small_stores
n08628141 kasbah
n08628141 casbah
n04592356 winepress
n04541662 vomitory
n03145147 cuckoo_clock
n03607923 kameez
n07768230 bartlett
n04282231 splicer
n04366033 sushi_bar
n02386746 packhorse
n04466871 trail_bike
n04466871 dirt_bike
n04466871 scrambler
n01322508 wolf_cub
n03016209 chicane
n12904938 boxthorn
n02846511 blackboard
n02846511 chalkboard
n01824035 roadrunner
n03767459 mimeograph
n03767459 mimeograph_machine
n03767459 mimeo
n03543112 hot_pants
n03949317 piston_rod
n00446493 fight
n02892499 brasserie
n03788498 motel
n03602365 joss_house
n02513939 spawner
n12052787 coelogyne
n03260504 dynamo
n02424486 greater_kudu
n03103396 cooling_tower
n01937909 bloodsucker
n01937909 leech
n12872458 bladderwort
n04200258 shoebox
n03054605 cluster_bomb
n04016240 lopper
n04016240 pruner
n01447331 may_fish
n11919761 ambrosia_artemisiifolia
n04599124 woofer
n08645212 weald
n01812662 rock_pigeon
n01812662 rock_dove
n01812662 columba_livia
n03099147 convector
n07614103 apple_dumpling
n09932508 collier
n09932508 pitman
n09932508 coal_miner
n07877675 steak_tartare
n01614556 tawny_eagle
n07835701 bercy
n08560295 dude_ranch
n03205304 direction_finder
n09233446 canyon
n09233446 canon
n03657511 cat_suit
n03657511 leotard
n03657511 body_suit
n04491638 trundle
n05263448 attilio
n03290195 entablature
n11949402 chamomile
n11949402 camomile
n04410086 tenor_drum
n03178674 derringer
n02655848 porcupinefish
n09450163 sun
n04373089 switchblade
n12402840 rubber_plant
n06419354 collegiate_dictionary
n04258859 soldering_iron
n07842753 omelette
n07842753 omelet
n03977592 police_boat
n01756089 prairie_rattlesnake
n03309687 eyeshadow
n03609397 kazoo
n03788601 motel_room
n03586631 ironmongery
n03637181 lamppost
n06273555 call_in
n03788047 mosaic
n07928578 phosphate
n03829857 norfolk_jacket
n07908923 chartreuse
n11723452 wolfsbane
n02378870 prancer
n03539103 horseless_carriage
n03822656 newsstand
n02925666 combat_boot
n02925666 buskin
n03012013 cheekpiece
n11683838 nectary
n12612170 water_plantain
n04585980 winchester
n11728945 black_cohosh
n04206356 shotgun
n07688757 dodger
n03307037 extension_cord
n12986227 tooth_fungus
n03194297 differential_gear
n03194297 differential
n01686044 racerunner
n04533700 videocassette
n04525821 venn_diagram
n13108481 sapling
n07624466 turnover
n12112008 grama
n12112008 gramma
n07826250 tomato_paste
n03413124 gibbet
n01698782 chinese_alligator
n04524941 velours
n04524941 velour
n04292080 square_sail
n04213530 sickroom
n02303284 cecropia
n01384164 zooplankton
n11717577 american_lotus
n11717577 nelumbo_lutea
n03914831 percale
n07711080 fries
n07711080 chips
n07711080 french_fries
n03326948 magic_marker
n03163381 dashiki
n04388473 tandoor
n12991184 cladonia_rangiferina
n12991184 reindeer_lichen
n12991184 reindeer_moss
n15048888 spackle
n11879722 brassica_napus
n11879722 colza
n07814203 cinnamon
n02060133 fulmar
n02813752 bazooka
n02406533 brown_swiss
n07586485 oxtail_soup
n10151760 guitarist
n10151760 guitar_player
n01671479 desert_tortoise
n12639736 bullace
n03062122 cocktail_lounge
n02631330 blue_marlin
n02386310 workhorse
n03495671 harpoon
n02322047 trepang
n02109150 guide_dog
n02393940 malayan_tapir
n03051249 clothespin
n03939677 wheelhouse
n03939677 pilothouse
n04186624 shawm
n03401129 fuel_gauge
n11552976 biennial
n03036022 city_hall
n02405302 yak
n04095342 rivet
n04262530 sounding_rocket
n07871588 porcupines
n00442981 dive
n00442981 diving
n07691650 croissant
n03423479 gas_heater
n03536568 horizontal_tail
n04370774 sweats
n02326862 european_hare
n11598886 ephedra_sinica
n03941231 pinata
n07696728 chicken_sandwich
n01906749 sponge
n07825850 apple_sauce
n07825850 applesauce
n01977485 stone_crab
n02384741 steeplechaser
n08782627 aegean_island
n03126090 cramp
n01815601 sandgrouse
n03560430 igloo
n04538552 vise
n07582441 relish
n03272810 power_meter
n02710600 aneroid_barometer
n02710600 aneroid
n02181235 darkling_beetle
n02181235 tenebrionid
n03325288 fauld
n01714231 allosaurus
n04077889 research_center
n04077889 research_facility
n04528079 verdigris
n07845166 pasteurized_milk
n07927070 negus
n12785889 stonecrop
n12305819 blue_ash
n07905618 pulque
n13108323 pollard
n03609235 kayak
n04241249 slip_on
n04105704 roofing
n02685365 air_bag
n02926591 bustle
n01999767 peripatus
n01999767 velvet_worm
n03975788 needlepoint
n04306592 stator
n03915320 percussion_cap
n03260206 dye_works
n01619835 vultur_gryphus
n01619835 andean_condor
n04541987 voting_booth
n02867966 bomber_jacket
n05239437 skin_graft
n07609407 taffy
n02089725 american_foxhound
n07812790 lemon_oil
n01750167 death_adder
n02003037 adjutant
n03615563 khakis
n07624924 pirozhki
n02046939 black_guillemot
n07683490 chapati
n02840515 bindery
n02881757 bowler
n02881757 bowler_hat
n02881757 derby
n12945177 water_parsnip
n00825773 judo
n12146311 zoysia
n04206570 shotgun_shell
n04029734 pyrometer
n12001707 cineraria
n03517509 hibachi
n03314608 faceplate
n04287898 spray_paint
n03607659 kalashnikov
n04292921 squeegee
n12928307 candelilla
n03024064 choir
n12496427 chicot
n02073831 manatee
n03190458 dibber
n03190458 dibble
n04127521 safety_razor
n04953296 glint
n09357346 molehill
n04132158 salwar
n04132158 shalwar
n02300554 bombyx_mori
n01489501 bull_shark
n07896893 muscadet
n09223487 bladder_stone
n03854722 organ_loft
n03703862 madras
n02434954 muntjac
n02434954 barking_deer
n11599324 welwitschia_mirabilis
n11599324 welwitschia
n04035748 quirt
n02228341 katydid
n08598568 mecca
n03251932 dry_fly
n04238128 slide
n03378005 food_court
n05449196 osteocyte
n03988758 postage_meter
n01604968 accipitriformes
n03567066 incubator
n03567066 brooder
n01770795 pseudoscorpion
n06596727 slick
n06596727 glossy
n04387400 tambourine
n02761206 automation
n04290615 sputnik
n12957803 nardoo
n12957803 nardo
n02315487 brachiopod
n11609475 pinyon
n11609475 pinon
n03317788 faience
n12937130 wild_carrot
n12937130 daucus_carota
n02811618 battle_cruiser
n01555004 pitta
n01481331 chimaera
n03946162 pipe_fitting
n03212406 distaff
n02064816 blue_whale
n09208496 asterism
n04495698 tudung
n02044908 great_skua
n04208065 shoulder_patch
n04403524 teleprompter
n12051103 red_helleborine
n03978815 polonaise
n04615644 zoot_suit
n02983357 catchment
n13137951 bacca
n02415253 dall_sheep
n02415253 white_sheep
n11735570 golden_seal
n11735570 goldenseal
n07608245 marzipan
n02864593 bollard
n02864593 bitt
n04065909 recycling_plant
n02212958 paper_wasp
n03019938 chintz
n12225563 australian_pine
n03676759 lcd
n02179012 blister_beetle
n06596607 pulp_magazine
n06596607 pulp
n04242408 sloop
n04561287 water_meter
n04034367 quilting
n06274092 long_distance
n02862916 body_lotion
n12263204 castanea_sativa
n12263204 sweet_chestnut
n03499354 hatpin
n03931765 picture_frame
n02094721 manchester_terrier
n07756951 watermelon
n11622591 subalpine_fir
n12733870 populus_tremula
n12733870 quaking_aspen
n04562262 water_ski
n04070545 refrigeration_system
n07822687 chili_powder
n07904072 kirsch
n02947977 candid_camera
n13108545 shade_tree
n12879527 calceolaria
n02839592 billiard_room
n02839592 billiard_hall
n02839592 billiard_parlor
n07785487 rollmops
n01315213 peeper
n12128490 knotgrass
n07932614 rickey
n03649674 lawn_chair
n02275560 mourning_cloak
n02126640 margay
n03865557 flyover
n03865557 overpass
n03900194 patrol_boat
n03900194 patrol_ship
n03146449 dead_end
n13102775 tendril
n03135030 croquet_mallet
n02177196 water_beetle
n02658531 plaice
n07598256 candy_bar
n01668892 river_cooter
n01668892 cooter
n07836600 blanc
n01330126 adenovirus
n02340358 eastern_woodrat
n12081215 greenhood
n03980478 pommel_horse
n03451365 grade_separation
n13219422 horsetail
n03524976 hogshead
n03583419 ion_engine
n04413969 terraced_house
n12274358 burr_oak
n12274358 bur_oak
n12274358 quercus_macrocarpa
n04220805 silver_plate
n02081798 atlantic_walrus
n02662993 brill
n08618831 perihelion
n04046974 rail_fence
n02562971 black_crappie
n05458576 oocyte
n12754648 field_maple
n12754648 acer_campestre
n05604434 abdominal_wall
n07601175 lemon_peel
n04273285 speculum
n03249342 drugstore
n03249342 pharmacy
n12671651 abelia
n13131618 petiole
n04038338 single_shell
n03030880 cigarette_butt
n08551296 eparchy
n08551296 exarchate
n03010915 chateau
n03416900 garbage
n13084834 cultivar
n02340930 pine_vole
n02794474 barouche
n02884859 box_beam
n02884859 box_girder
n04189816 sheetrock
n04375405 rotary_converter
n04375405 rotary
n07585015 beef_stock
n07585015 beef_broth
n07616386 parfait
n11632167 cupressus_macrocarpa
n11632167 monterey_cypress
n04176295 servomechanism
n04176295 servo
n03832144 nosewheel
n11757017 gidgee
n04453390 toothpick
n03783430 eyeglass
n03783430 monocle
n03036244 city_university
n07838441 marinara
n07926250 lemonade
n04246855 smoking_car
n04246855 smoker
n07832416 pesto
n04360798 support_column
n03102516 coolant_system
n01972131 giant_squid
n01972131 architeuthis
n01791107 jungle_fowl
n01791107 gallina
n02942349 camcorder
n01751215 banded_krait
n04172512 sennit
n14786943 lagging
n01444339 electric_eel
n14858292 litter
n07857356 wasabi
n02870772 bookbindery
n03206282 disco
n03206282 discotheque
n07855105 gruyere
n12780563 trumpets
n02786736 bandoneon
n09215023 baryon
n03012897 chemical_plant
n02917521 bullion
n01879217 pademelon
n13111881 bonsai
n12320414 water_hickory
n13103877 snag
n02003577 openbill
n03408444 futon
n03001115 chain_store
n12920204 christmas_star
n12920204 poinsettia
n01322604 puppy
n07848093 sour_cream
n03066359 coil_spring
n02726017 ao_dai
n03416094 gantry
n04040247 radial_tire
n04040247 radial
n02048115 horned_puffin
n11930038 artemisia_campestris
n07915618 manhattan
n02925107 bushing
n03966206 plenum
n11958499 brass_buttons
n03993703 pound
n03993703 dog_pound
n07569873 soy_flour
n07569873 soybean_meal
n03006626 chanter
n04259202 solenoid
n01792429 cockerel
n02841187 binnacle
n01691217 legless_lizard
n02324850 oryctolagus_cuniculus
n02324850 european_rabbit
n04541320 voltmeter
n07904865 grog
n02979399 cassette_tape
n07694659 shortcake
n02407521 guernsey
n05453657 neutrophil
n01758895 carrion
n11611758 stone_pine
n11611758 pinus_pinea
n11961100 mum
n11984542 inula
n03837606 oast
n02125689 jaguarundi
n04295353 stabling
n01882125 flying_squirrel
n02873623 boot_camp
n12915140 lantana
n03283827 emitter
n01834540 thornbill
n05244934 macula
n01884476 tasmanian_tiger
n01884476 thylacine
n02678897 adapter
n02678897 adaptor
n02644501 rasher
n13099999 deciduous_plant
n04028315 puzzle
n03601638 jointer
n04241042 slipknot
n03283221 emergency_room
n12093600 cyclamen_hederifolium
n03842986 ohmmeter
n01646388 bufo_marinus
n01646388 agua
n02352591 dormouse
n03119396 coupe
n02823586 beer_garden
n11602091 coontie
n01596608 purple_martin
n03236217 dredge
n12737383 loranthaceae
n12737383 family_loranthaceae
n12627119 blackthorn
n12498055 palo_verde
n01731764 coachwhip
n02378541 cavalry_horse
n04220250 silo
n02037464 phalarope
n04357121 sunroof
n12365285 laurelwood
n02756854 audio_amplifier
n02230187 field_cricket
n03901974 pawnshop
n03901974 loan_office
n04072960 relay
n12390099 pale_violet
n04257986 solar_cell
n04257986 photovoltaic_cell
n03250089 drum_brake
n02115096 jackal
n03066849 colander
n03177708 depressor
n03423877 gas_lamp
n04226464 skein
n04142434 scalpel
n03442597 gnomon
n12973791 rhizopus
n03672827 line_printer
n12129986 canary_grass
n12807624 platanus_orientalis
n02470709 anthropoid
n02551134 halfbeak
n02828427 belting
n02579928 permit
n02461128 tamandua
n13879049 quadrate
n02775897 bailey_bridge
n07741461 pippin
n03500389 hay_bale
n02795670 barrelhouse
n04542095 voting_machine
n12385566 mignonette
n07898745 table_wine
n04165409 sectional
n12564083 winged_bean
n03087069 cement_mixer
n03087069 concrete_mixer
n04567593 meteorological_satellite
n04567593 weather_satellite
n04307767 staysail
n07720277 chard
n12604460 rumex_acetosella
n03629520 kylix
n01814549 squab
n02056728 emperor_penguin
n03465151 guard_ship
n11759853 zaman
n11759853 monkeypod
n11759853 rain_tree
n11759853 saman
n02643836 stonefish
n04439712 tinfoil
n04439712 tin_foil
n03487090 handlebar
n12599874 psyllium
n02396796 babirusa
n03036701 clack
n02080415 elephant_seal
n07875436 risotto
n01533339 canary
n03205458 dirk
n03759661 micrometer
n11898639 pennycress
n00443803 flip
n02797535 bascule
n04431925 thunderer
n02389128 palomino
n07899660 verdicchio
n07925116 pineapple_juice
n04025633 purdah
n11685621 siliqua
n11685621 silique
n02563949 spotted_sunfish
n03523506 hobble_skirt
n02692232 drome
n02692232 airport
n02692232 aerodrome
n02692232 airdrome
n11549895 zoospore
n01683558 night_lizard
n03446268 club_head
n03446268 clubhead
n04569063 webcam
n02921406 burberry
n07896994 plonk
n03697366 lunar_module
n03697366 lem
n03809211 spikenard
n03809211 nard
n02095727 welsh_terrier
n11782761 amorphophallus
n07574504 refreshment
n03690851 lota
n02319555 sand_dollar
n04252331 snowshoe
n03252324 dry_masonry
n01517966 carinate
n01517966 flying_bird
n04215153 sidesaddle
n02003204 marabou
n02003204 marabout
n02003204 marabou_stork
n03610524 dog_house
n03610524 doghouse
n03610524 kennel
n03517760 hi_fi
n03594148 javelin
n02117900 spotted_hyena
n03519387 tower_block
n03519387 high_rise
n04084889 revers
n04084889 revere
n03723885 martingale
n04225222 sixpack
n04225222 six_pack
n12281974 betula_papyrifera
n12281974 paper_birch
n04201733 shooting_brake
n13918717 trapezohedron
n03848348 opener
n11902200 papaver_rhoeas
n01541102 pine_grosbeak
n12513613 judas_tree
n03423224 gas_furnace
n05467758 astrocyte
n02645953 sea_raven
n00454983 fly_casting
n04485423 triptych
n03212114 garbage_disposal
n03212114 disposal
n02498743 slender_loris
n05468739 oligodendrocyte
n02543565 lizardfish
n03953901 placket
n04045644 balk
n04045644 baulk
n04045644 rafter
n02826886 bell_tower
n03698815 lychgate
n07741706 stayman
n03684740 lockup
n01995686 brine_shrimp
n03485309 hand_grenade
n12541403 grass_pea
n12541403 khesari
n03943115 pinion
n04255499 socle
n01958346 littleneck
n02700064 alternator
n12199790 brown_oak
n12199790 booyong
n01732614 corn_snake
n02533834 anchovy
n13880199 isosceles_triangle
n07739923 baldwin
n02102605 water_spaniel
n03176594 deodorant
n09264803 delta
n07617051 frozen_custard
n04449550 tollgate
n01793715 orpington
n12647376 bird_cherry
n03285578 encaustic
n12263038 american_chestnut
n03152951 cutaway
n03829954 noria
n03200231 dining_area
n15090065 retinol
n04389854 tank_engine
n04389854 tank_locomotive
n04432203 tiara
n02731398 apse
n02731398 apsis
n02080713 bearded_seal
n02312175 maggot
n03171228 defence_system
n03171228 defense_system
n01646648 natterjack
n07605597 chocolate_fudge
n07855510 peanut_butter
n03221059 eye_mask
n03221059 domino
n03221059 half_mask
n01849676 shelduck
n12717644 dika
n12115180 pampas_grass
n02028451 lesser_yellowlegs
n02587300 mangrove_snapper
n04003359 prince_albert
n04510706 universal_joint
n04510706 universal
n04346428 pigsty
n04346428 sty
n04346428 pigpen
n04194127 shin_guard
n12590232 oil_palm
n04386051 tailstock
n02058747 gooney
n02058747 gooney_bird
n01797307 spruce_grouse
n02023992 kildeer
n02023992 killdeer
n03475581 hairbrush
n14867545 fish_meal
n09327077 kopje
n04137355 sateen
n01836087 whippoorwill
n03175081 den
n05459101 spermatid
n02065726 humpback
n02065726 humpback_whale
n04280845 spirometer
n06892775 concert
n12570972 kowhai
n04515729 upstairs
n01670802 giant_tortoise
n02220055 pharaoh_ant
n07906111 vodka
n04533499 victrola
n11792341 spathiphyllum
n02216365 mud_dauber
n02965216 cargo_liner
n02195819 bee_fly
n11664418 gingko
n11664418 ginkgo_biloba
n11664418 ginkgo
n09344324 lunar_crater
n07828642 vanilla_bean
n02147328 serotine
n02726210 apadana
n04267435 spanker
n09259025 crag
n12589687 latanier
n04266486 spade
n02739889 armoured_car
n02739889 armored_car
n01688961 moloch
n03876111 paintbox
n07714188 collard_greens
n13190747 dicksonia_antarctica
n01448594 guppy
n01448594 rainbow_fish
n02820556 bedford_cord
n02759257 autofocus
n03349892 first_class
n02420828 gerenuk
n02419336 chamois
n01495006 bonnethead
n02994573 center_punch
n02898585 bridal_gown
n02898585 wedding_dress
n02898585 wedding_gown
n04122685 sachet
n07642742 apple_butter
n03064350 coffer
n11661372 yew
n04110439 positioner
n03643491 lgb
n00452034 bullfighting
n02061853 diving_petrel
n07931870 may_wine
n02350989 jumping_mouse
