n06281040 reception
n02967626 underlay
n02132788 kodiak_bear
n02132788 kodiak
n12722071 lignum_vitae
n03172738 delayed_action
n11652039 podocarp
n02543565 lizardfish
n02811618 battle_cruiser
n11625391 engelmann_spruce
n02207805 worker_bee
n11672269 bloomer
n03192543 dictaphone
n04104925 rood_screen
n03856465 orrery
n03175983 dental_implant
n07852376 gorgonzola
n02421449 wildebeest
n02421449 gnu
n02813752 bazooka
n03622839 knee_brace
n07815294 mace
n04290762 spy_satellite
n03330947 fetter
n03330947 hobble
n02431976 sika
n04458843 touch_screen
n04458843 touchscreen
n12613706 hydrilla
n01477875 sea_lamprey
n02749169 headache_powder
n03788914 muumuu
n12631331 avens
n07738224 clingstone
n07738224 cling
n01542786 weaver
n00452864 beagling
n02983357 catchment
n13132756 thyrsus
n07906111 vodka
n03616428 kickstand
n12726159 golden_willow
n03717447 manhole
n07743902 cranberry
n01812662 rock_pigeon
n01812662 rock_dove
n01812662 columba_livia
n03200539 dining_hall
n03145522 cue
n01778217 ixodes_ricinus
n02310334 corn_earworm
n01491006 blue_shark
n02852360 blister_pack
n04061969 niche
n04061969 recess
n09452395 swampland
n09452395 swamp
n11992479 texas_star
n02519472 brown_bullhead
n08560295 dude_ranch
n03256032 dumpster
n04083649 retort
n13079567 candida_albicans
n04442441 toaster_oven
n02710324 anechoic_chamber
n03729402 matchbox
n07584332 bisque
n07899660 verdicchio
n12228387 bell_heather
n02291748 clothes_moth
n02499022 slow_loris
n03615655 khimar
n02387346 shire
n02387346 shire_horse
n02184589 head_louse
n02216740 gall_wasp
n10297234 mascot
n09230202 butte
n03556173 i_beam
n02688273 air_filter
n02688273 air_cleaner
n04385799 tail_rotor
n03565288 imprint
n04964878 maroon
n00442437 bathe
n03861430 outrigger_canoe
n03609397 kazoo
n03915118 percolator
n01880716 bettong
n07730406 celery
n09218641 ben
n02098906 water_dog
n03390673 frail
n07560331 finger_food
n09906704 champ
n09906704 champion
n12277800 quercus_rubra
n12365462 calophyllum_inophyllum
n02930645 byway
n11985053 iva
n11646955 hoop_pine
n02681392 adobe
n02681392 adobe_brick
n07765073 date
n01847407 dabbling_duck
n03487533 hand_luggage
n00825773 judo
n02909706 buckboard
n07935737 bottled_water
n07803213 pearl_barley
n11645590 wollemi_pine
n07561848 balanced_diet
n03594148 javelin
n02125494 ocelot
n04198722 shiv
n01652026 chorus_frog
n06273743 call_waiting
n01686044 racerunner
n07759194 concord_grape
n03454442 grass_skirt
n09300905 hail
n03155502 cyclopean_masonry
n03514129 hematocrit
n03514129 haematocrit
n03519387 tower_block
n03519387 high_rise
n02414043 karakul
n03724538 five_iron
n01330126 adenovirus
n02451415 taira
n02451415 tayra
n03032453 cinquefoil
n07752514 dried_apricot
n12110236 wild_oat
n11996677 mutisia
n12683791 field_scabious
n01849676 shelduck
n03499907 hawaiian_guitar
n03499907 steel_guitar
n13883763 spherical_triangle
n02562796 crappie
n01944955 garden_snail
n02312640 chrysalis
n00483848 pallone
n11835251 greasewood
n01847978 black_duck
n03168774 deckle
n03602365 joss_house
n10769188 laundress
n10769188 washerwoman
n12862512 plectranthus
n12029635 coltsfoot
n03045800 cloakroom
n02488415 hanuman
n02488415 entellus
